# ----------------------------------------
# 보고서 CSV 내보내기
# 계정: SK이노베이션(한글)
# 속성: SK이노베이션 - GA4
# ----------------------------------------
# 
# 모든 사용자
# 시작일: 20241001
# 종료일: 20241031
페이지 경로 및 화면 클래스,세션 소스,조회수,활성 사용자,활성 사용자당 조회수,활성 사용자당 평균 참여 시간,이벤트 수,주요 이벤트,총수익
/,(direct),1374,793,1.7326607818411097,22.890290037831022,11455,0,0
/,google,1206,470,2.5659574468085107,38.736170212765956,6878,0,0
/archives/115674,google,998,744,1.3413978494623655,81.2997311827957,4494,0,0
/archives/32828,naver,909,860,1.0569767441860465,52.76627906976744,4745,0,0
/archives/32828,google,859,730,1.1767123287671233,54.47397260273973,4022,0,0
/archives/117002,facebook,734,643,1.1415241057542769,87.95800933125972,3122,0,0
/archives/115057,google,712,594,1.1986531986531987,63.78114478114478,3243,0,0
/archives/84588,google,664,550,1.2072727272727273,46.57272727272727,3107,0,0
/archives/116954,facebook,587,512,1.146484375,74.42578125,2384,0,0
/archives/96864,google,495,462,1.0714285714285714,41.45021645021645,2313,0,0
/archives/114973,google,489,353,1.385269121813031,54.92917847025496,2193,0,0
/archives/113797,google,484,418,1.1578947368421053,63.100478468899524,2318,0,0
/archives/115731,google,426,360,1.1833333333333333,105.175,2098,0,0
/archives/117027,google,409,346,1.1820809248554913,69.25722543352602,1896,0,0
/archives/83720,google,405,380,1.0657894736842106,45.56842105263158,1962,0,0
/archives/48028,google,365,285,1.280701754385965,53.796491228070174,1643,0,0
/archives/category/press/press-release,(direct),360,231,1.5584415584415585,8.826839826839826,1447,0,0
/archives/114094,google,350,313,1.1182108626198084,52.945686900958464,1682,0,0
/archives/113952,google,338,290,1.1655172413793105,50.248275862068965,1551,0,0
/archives/32828,naver.com,335,325,1.0307692307692307,45.37230769230769,1660,0,0
/archives/116346,google,316,279,1.1326164874551972,43.17204301075269,1482,0,0
/,naver,310,95,3.263157894736842,75.9578947368421,4950,0,0
/archives/49884,google,271,214,1.266355140186916,66.64953271028037,1233,0,0
/posts,(direct),271,149,1.8187919463087248,42.18791946308725,1183,0,0
/archives/24686,google,220,194,1.134020618556701,36.21649484536083,978,0,0
/archives/111387,enclean.com,211,170,1.2411764705882353,52.205882352941174,1021,0,0
/archives/104002,google,200,174,1.1494252873563218,66.34482758620689,926,0,0
/archives/21277,google,193,141,1.3687943262411348,58.90070921985816,793,0,0
/archives/116690,facebook,189,161,1.173913043478261,30.956521739130434,702,0,0
/archives/16295,google,184,169,1.0887573964497042,29.01775147928994,827,0,0
/archives/category/business/sk-on,google,175,113,1.5486725663716814,19.053097345132745,719,0,0
/archives/112580,google,174,153,1.1372549019607843,63.790849673202615,805,0,0
/archives/category/business/sk-innovation,google,170,118,1.4406779661016949,19.423728813559322,669,0,0
/archives/116921,facebook,161,133,1.2105263157894737,14.819548872180452,608,0,0
/archives/116690,google,160,126,1.2698412698412698,60.57936507936508,671,0,0
/archives/115537,google,156,120,1.3,50.9,677,0,0
/archives/23352,google,155,136,1.1397058823529411,29.051470588235293,703,0,0
/archives/22283,google,152,120,1.2666666666666666,55.11666666666667,653,0,0
/archives/category/business/sk-on,naver,152,97,1.5670103092783505,27.391752577319586,678,0,0
/archives/34678,google,141,125,1.128,49.232,691,0,0
/archives/98107,google,141,117,1.205128205128205,47.324786324786324,673,0,0
/archives/113159,google,139,95,1.4631578947368422,37.2,609,0,0
/archives/116437,google,138,130,1.0615384615384615,48.16923076923077,660,0,0
/archives/32828,m.search.naver.com,136,127,1.0708661417322836,31.362204724409448,687,0,0
/archives/8502,google,133,107,1.2429906542056075,23.672897196261683,581,0,0
/archives/111831,google,132,105,1.2571428571428571,51.457142857142856,593,0,0
/archives/115988,google,132,99,1.3333333333333333,39.27272727272727,545,0,0
/,sk-on.com,129,87,1.4827586206896552,19.126436781609197,779,0,0
/,ozmailer.com,124,27,4.592592592592593,29.962962962962962,565,0,0
/archives/115020,google,120,89,1.348314606741573,35.52808988764045,513,0,0
/archives/8448,google,115,101,1.1386138613861385,38.148514851485146,545,0,0
/archives/114065,google,112,72,1.5555555555555556,165.79166666666666,523,0,0
/archives/category/industry-and-insight/basics,google,110,68,1.6176470588235294,35.779411764705884,438,0,0
/archives/category/business/sk-enmove,skenmove.com,109,52,2.0961538461538463,34.78846153846154,467,0,0
/archives/115877,google,108,87,1.2413793103448276,54.735632183908045,476,0,0
/archives/114094,naver,107,77,1.3896103896103895,73.87012987012987,505,0,0
/archives/63622,google,106,98,1.0816326530612246,30.06122448979592,489,0,0
/archives/48881,google,103,73,1.4109589041095891,47.83561643835616,413,0,0
/archives/8935,google,103,91,1.1318681318681318,25.087912087912088,481,0,0
/archives/category/press/press-release,google,103,51,2.019607843137255,20.50980392156863,413,0,0
/archives/117027,(direct),102,78,1.3076923076923077,70.02564102564102,416,0,0
/archives/category/business/sk-innovation,(direct),101,61,1.6557377049180328,34.14754098360656,397,0,0
/archives/48279,google,100,83,1.2048192771084338,36.265060240963855,474,0,0
/archives/category/business,google,100,57,1.7543859649122806,14.929824561403509,389,0,0
/archives/10815,google,99,88,1.125,33.53409090909091,469,0,0
/archives/111978,google,96,88,1.0909090909090908,24.613636363636363,468,0,0
/archives/114773,google,93,79,1.1772151898734178,39.379746835443036,434,0,0
/archives/25903,google,92,78,1.1794871794871795,27.692307692307693,412,0,0
/archives/83720,(direct),92,81,1.1358024691358024,16.617283950617285,397,0,0
/archives/category/business/sk-energy,skenergy.com,92,66,1.393939393939394,21.12121212121212,409,0,0
/archives/115674,(direct),91,66,1.378787878787879,40.72727272727273,383,0,0
/archives/8355,google,91,76,1.1973684210526316,66.4342105263158,417,0,0
/archives/103947,google,89,79,1.1265822784810127,39.848101265822784,433,0,0
/archives/114138,google,89,74,1.2027027027027026,46.16216216216216,396,0,0
/archives/116624,google,87,69,1.2608695652173914,78.02898550724638,369,0,0
/archives/36237,google,85,62,1.3709677419354838,37.82258064516129,354,0,0
/archives/115258,google,83,67,1.2388059701492538,71.17910447761194,384,0,0
/archives/22310,google,83,70,1.1857142857142857,26.47142857142857,379,0,0
/archives/45433,google,83,71,1.1690140845070423,51.61971830985915,396,0,0
/posts,google,82,52,1.5769230769230769,25.307692307692307,342,0,0
/archives/28782,google,81,63,1.2857142857142858,53.111111111111114,368,0,0
/archives/8544,google,81,76,1.0657894736842106,22.644736842105264,375,0,0
/archives/116635,google,80,57,1.4035087719298245,35.45614035087719,334,0,0
/archives/category/business/sk-enmove,google,79,43,1.8372093023255813,29.162790697674417,320,0,0
/,skgeocentric.com,78,46,1.6956521739130435,21.47826086956522,606,0,0
/archives/107411,google,77,72,1.0694444444444444,31.166666666666668,363,0,0
/archives/51077,google,76,61,1.2459016393442623,56.622950819672134,374,0,0
/archives/category/business,(direct),76,32,2.375,33.625,285,0,0
/archives/8422,google,75,68,1.1029411764705883,19.455882352941178,336,0,0
/archives/99361,google,73,60,1.2166666666666666,75,325,0,0
/archives/category/field-news/inno-people,google,72,45,1.6,47.86666666666667,285,0,0
/archives/category/business/sk-energy,google,71,55,1.290909090909091,19.363636363636363,278,0,0
/archives/tag/sk이노베이션-울산complex,google,71,54,1.3148148148148149,12.648148148148149,317,0,0
/archives/112908,google,70,58,1.206896551724138,53.741379310344826,305,0,0
/archives/84762,google,70,62,1.1290322580645162,47.83870967741935,324,0,0
/archives/111540,google,69,54,1.2777777777777777,49.407407407407405,321,0,0
/archives/116801,google,68,56,1.2142857142857142,56.107142857142854,295,0,0
/archives/91050,google,68,55,1.2363636363636363,38.69090909090909,318,0,0
/archives/112956,google,67,60,1.1166666666666667,19.666666666666668,308,0,0
/archives/113680,google,67,61,1.098360655737705,44.19672131147541,316,0,0
/archives/category/business/sk-on,(direct),66,31,2.129032258064516,77.06451612903226,259,0,0
/archives/115558,google,65,56,1.1607142857142858,76.78571428571429,322,0,0
/archives/98731,google,65,49,1.3265306122448979,48.6530612244898,283,0,0
/archives/51614,google,64,56,1.1428571428571428,28.660714285714285,287,0,0
/archives/116844,google,63,56,1.125,40.839285714285715,254,0,0
/archives/category/business/sk-on,sk-on.com,63,25,2.52,47.6,242,0,0
/archives/105883,google,62,56,1.1071428571428572,45.55357142857143,290,0,0
/archives/110471,google,61,38,1.605263157894737,35.36842105263158,240,0,0
/archives/112487,google,61,57,1.0701754385964912,32.19298245614035,286,0,0
/privacy-policy,google,61,16,3.8125,234.1875,248,0,0
/archives/116690,(direct),59,49,1.2040816326530612,71.3265306122449,231,0,0
/archives/114309,google,58,44,1.3181818181818181,43.93181818181818,251,0,0
/,naver.com,57,21,2.7142857142857144,40.285714285714285,226,0,0
/,skietechnology.com,57,43,1.3255813953488371,16.976744186046513,346,0,0
/archives/114522,google,57,52,1.0961538461538463,35.80769230769231,271,0,0
/archives/114632,google,57,47,1.2127659574468086,40.170212765957444,268,0,0
/archives/33788,google,57,52,1.0961538461538463,12.326923076923077,273,0,0
/archives/category/industry-and-insight/inno-column,google,57,46,1.2391304347826086,13.652173913043478,228,0,0
/archives/110323,google,56,52,1.0769230769230769,55.34615384615385,267,0,0
/archives/category/industry-and-insight,google,55,37,1.4864864864864864,18.18918918918919,213,0,0
/archives/8482,google,54,45,1.2,26.977777777777778,243,0,0
/archives/category/business/sk-geo-centric,google,54,30,1.8,40.1,219,0,0
/archives/category/field-news,google,54,44,1.2272727272727273,23.727272727272727,213,0,0
/archives/category/press,(direct),54,25,2.16,16.32,213,0,0
/archives/112480,google,53,46,1.1521739130434783,18.47826086956522,242,0,0
/archives/97077,google,53,44,1.2045454545454546,52.59090909090909,241,0,0
/archives/115727,google,52,44,1.1818181818181819,38.59090909090909,234,0,0
/archives/115899,google,52,37,1.4054054054054055,23.2972972972973,222,0,0
/archives/27825,google,52,41,1.2682926829268293,22.75609756097561,258,0,0
/archives/65154,google,52,49,1.0612244897959184,40.16326530612245,256,0,0
/archives/78785,google,52,46,1.1304347826086956,31.347826086956523,233,0,0
/archives/category/business/sk-incheonpetrochem,skincheonpetrochem.com,52,31,1.6774193548387097,58.87096774193548,221,0,0
/,chatgpt.com,51,18,2.8333333333333335,34.111111111111114,314,0,0
/archives/25579,google,51,47,1.0851063829787233,39.723404255319146,237,0,0
/archives/category/field-news,(direct),51,46,1.108695652173913,17.08695652173913,243,0,0
/archives/113998,google,50,32,1.5625,81.375,198,0,0
/archives/83571,google,50,47,1.0638297872340425,58.12765957446808,230,0,0
/archives/category/industry-and-insight,(direct),50,48,1.0416666666666667,29.625,242,0,0
/archives/100667,google,49,44,1.1136363636363635,61.25,225,0,0
/archives/114973,(direct),49,37,1.3243243243243243,23.594594594594593,192,0,0
/archives/18648,google,49,37,1.3243243243243243,52.24324324324324,229,0,0
/archives/60291,google,49,39,1.2564102564102564,30.743589743589745,213,0,0
/archives/10963,google,48,41,1.170731707317073,25.24390243902439,212,0,0
/archives/116844,(direct),48,44,1.0909090909090908,38.25,189,0,0
/archives/57901,google,48,30,1.6,24.266666666666666,192,0,0
/archives/115587,google,46,40,1.15,29.55,203,0,0
/archives/tag/sk경영경제연구소,google,46,37,1.2432432432432432,9.054054054054054,215,0,0
/archives/113855,google,45,37,1.2162162162162162,32.2972972972973,187,0,0
/archives/115664,google,45,33,1.3636363636363635,33.21212121212121,214,0,0
/archives/117027,ozmailer.com,45,24,1.875,41.916666666666664,154,0,0
/archives/14327,google,45,40,1.125,13.125,215,0,0
/archives/6688,google,45,33,1.3636363636363635,26.060606060606062,211,0,0
/archives/92880,google,45,34,1.3235294117647058,55.94117647058823,194,0,0
/archives/tag/sk루브리컨츠,google,45,38,1.1842105263157894,24.05263157894737,212,0,0
/,skenergy.com,44,17,2.588235294117647,35,230,0,0
/archives/108755,google,44,32,1.375,43.90625,203,0,0
/archives/115899,naver,44,35,1.2571428571428571,46.25714285714286,211,0,0
/archives/116170,google,44,43,1.0232558139534884,19.27906976744186,212,0,0
/archives/116822,(direct),44,36,1.2222222222222223,49.94444444444444,169,0,0
/archives/9637,google,44,38,1.1578947368421053,56.3421052631579,189,0,0
/,(not set),43,57,0.7543859649122807,16.912280701754387,330,0,0
/archives/14875,google,43,36,1.1944444444444444,26.72222222222222,198,0,0
/archives/105770,google,42,34,1.2352941176470589,52.64705882352941,186,0,0
/archives/110015,google,42,41,1.024390243902439,31.463414634146343,199,0,0
/archives/114153,google,42,36,1.1666666666666667,53.333333333333336,184,0,0
/archives/116290,google,42,36,1.1666666666666667,44.80555555555556,179,0,0
/archives/116942,(direct),42,39,1.0769230769230769,32.12820512820513,168,0,0
/,bing,41,19,2.1578947368421053,25.894736842105264,236,0,0
/archives/100892,google,41,28,1.4642857142857142,62.25,177,0,0
/archives/18301,google,41,35,1.1714285714285715,49.285714285714285,194,0,0
/archives/84588,(direct),40,36,1.1111111111111112,22.72222222222222,188,0,0
/archives/category/business/sk-energy,(direct),40,27,1.4814814814814814,17.037037037037038,168,0,0
/archives/10557,google,39,34,1.1470588235294117,67.44117647058823,188,0,0
/archives/107887,google,39,29,1.3448275862068966,92,180,0,0
