# ----------------------------------------
# 보고서 CSV 내보내기
# 계정: SK이노베이션(한글)
# 속성: SK이노베이션 - GA4
# ----------------------------------------
# 
# 모든 사용자
# 시작일: 20241001
# 종료일: 20241031
페이지 경로 및 화면 클래스,조회수,활성 사용자,활성 사용자당 조회수,활성 사용자당 평균 참여 시간,이벤트 수,주요 이벤트,총수익
/,3824,1743,2.193918531267929,31.12794033275961,28450,0,0
/archives/32828,2296,2084,1.1017274472168905,52.0278310940499,11370,0,0
/archives/115674,1158,867,1.3356401384083045,79.49480968858131,5189,0,0
/archives/115057,815,683,1.1932650073206441,62,3709,0,0
/archives/117002,803,701,1.145506419400856,83.7089871611983,3400,0,0
/archives/84588,743,622,1.1945337620578778,45.70096463022508,3495,0,0
/archives/116954,680,586,1.1604095563139931,74.9863481228669,2755,0,0
/archives/116690,630,512,1.23046875,45.119140625,2525,0,0
/archives/117027,597,474,1.259493670886076,68.92616033755274,2622,0,0
/archives/category/press/press-release,590,346,1.7052023121387283,15.329479768786127,2368,0,0
/archives/96864,580,528,1.0984848484848484,42.35606060606061,2682,0,0
/archives/114973,564,410,1.3756097560975609,50.74390243902439,2499,0,0
/archives/113797,551,478,1.1527196652719665,59.48953974895397,2623,0,0
/archives/category/business/sk-on,534,316,1.6898734177215189,31.727848101265824,2217,0,0
/archives/114094,517,437,1.1830663615560641,58.725400457665906,2471,0,0
/archives/115731,501,416,1.2043269230769231,107.79086538461539,2444,0,0
/archives/83720,500,464,1.0775862068965518,40.640086206896555,2374,0,0
/posts,431,254,1.6968503937007875,39.75196850393701,1829,0,0
/archives/48028,392,308,1.2727272727272727,51.93181818181818,1776,0,0
/archives/category/business/sk-innovation,368,244,1.5081967213114753,23.225409836065573,1443,0,0
/archives/116346,358,314,1.1401273885350318,40.92356687898089,1658,0,0
/archives/113952,353,305,1.157377049180328,48.99016393442623,1617,0,0
/archives/49884,308,243,1.2674897119341564,69.55555555555556,1404,0,0
/archives/category/business/sk-energy,269,186,1.446236559139785,21.77956989247312,1112,0,0
/archives/111387,251,199,1.2613065326633166,51.35678391959799,1203,0,0
