# ----------------------------------------
# 보고서 CSV 내보내기
# 계정: SK이노베이션(한글)
# 속성: SK이노베이션 - GA4
# ----------------------------------------
# 
# 모든 사용자
# 시작일: 20241023
# 종료일: 20241023
기기 카테고리,페이지 경로 및 화면 클래스,총 사용자,새 사용자 수,조회수
mobile,/archives/116954,122,102,129
mobile,/archives/32828,45,43,45
desktop,/,73,32,127
mobile,/archives/116921,35,32,39
desktop,/archives/115674,34,23,38
mobile,/archives/115057,21,21,27
desktop,/archives/115057,21,16,19
desktop,/archives/84588,20,16,20
mobile,/archives/96864,16,16,20
desktop,/archives/114094,16,15,16
desktop,/archives/32828,13,13,14
desktop,/archives/115731,15,12,15
mobile,/archives/24686,12,12,12
desktop,/archives/48028,17,11,16
desktop,/archives/113797,11,10,12
desktop,/archives/116346,12,8,12
mobile,/archives/115674,9,8,9
desktop,/archives/114973,16,7,17
mobile,/archives/115988,8,7,9
mobile,/archives/23352,7,7,8
desktop,/archives/113952,7,6,9
desktop,/archives/96864,6,6,7
mobile,/archives/114094,6,6,8
mobile,/archives/116346,7,6,7
mobile,/archives/16295,6,6,6
desktop,/archives/104002,11,5,9
desktop,/archives/111387,8,5,9
desktop,/archives/112580,7,5,6
desktop,/archives/65154,5,5,5
desktop,/archives/category/business/sk-on,9,5,10
mobile,/,11,5,18
mobile,/archives/48028,7,5,12
tablet,/archives/115057,5,5,5
desktop,/archives/103336,5,4,5
desktop,/archives/103947,5,4,6
desktop,/archives/110471,7,4,8
desktop,/archives/112908,7,4,7
desktop,/archives/114065,9,4,9
desktop,/archives/115020,5,4,5
desktop,/archives/34678,5,4,5
desktop,/archives/49884,8,4,6
desktop,/archives/51077,6,4,8
desktop,/archives/8448,5,4,5
desktop,/archives/tag/sk루브리컨츠,4,4,6
desktop,/posts,7,4,10
mobile,/archives/113797,4,4,7
mobile,/archives/114973,5,4,6
tablet,/archives/116954,5,4,5
desktop,/archives/10557,3,3,3
desktop,/archives/113159,4,3,6
desktop,/archives/113663,3,3,3
desktop,/archives/113680,3,3,3
desktop,/archives/114632,3,3,3
desktop,/archives/115537,6,3,9
desktop,/archives/115877,5,3,6
desktop,/archives/116170,3,3,3
desktop,/archives/116954,5,3,7
desktop,/archives/25903,4,3,5
desktop,/archives/51614,3,3,4
desktop,/archives/6688,3,3,4
desktop,/archives/73965,3,3,3
desktop,/archives/8502,4,3,6
desktop,/archives/95110,4,3,6
mobile,/archives/111387,3,3,3
mobile,/archives/112908,4,3,5
mobile,/archives/113952,4,3,3
mobile,/archives/115899,4,3,4
mobile,/archives/19961,3,3,3
mobile,/archives/22310,3,3,3
mobile,/archives/25903,3,3,5
mobile,/archives/48881,3,3,3
mobile,/archives/84588,3,3,4
mobile,/archives/8502,4,3,6
mobile,/archives/8544,3,3,3
mobile,/archives/8935,3,3,3
tablet,/archives/32828,3,3,3
desktop,/archives/100667,3,2,3
desktop,/archives/102419,3,2,3
desktop,/archives/102795,2,2,2
desktop,/archives/104517,2,2,2
desktop,/archives/109118,3,2,3
desktop,/archives/10963,2,2,3
desktop,/archives/111540,3,2,3
desktop,/archives/111978,3,2,3
desktop,/archives/114138,5,2,5
desktop,/archives/114153,2,2,3
desktop,/archives/114751,2,2,2
desktop,/archives/115587,2,2,2
desktop,/archives/115664,2,2,2
desktop,/archives/115727,2,2,2
desktop,/archives/115899,3,2,3
desktop,/archives/116437,3,2,4
desktop,/archives/12929,2,2,2
desktop,/archives/14327,2,2,2
desktop,/archives/18301,3,2,4
desktop,/archives/22283,2,2,3
desktop,/archives/23900,2,2,2
desktop,/archives/35072,2,2,2
desktop,/archives/48279,2,2,3
desktop,/archives/53791,2,2,2
desktop,/archives/61743,2,2,2
desktop,/archives/8544,2,2,2
desktop,/archives/85853,2,2,2
desktop,/archives/90811,2,2,2
desktop,/archives/90963,2,2,4
desktop,/archives/97264,2,2,4
desktop,/archives/98107,4,2,4
desktop,/archives/category/business/sk-energy,7,2,8
desktop,/archives/category/business/sk-enmove,6,2,13
desktop,/archives/category/field-news,5,2,6
desktop,/archives/tag/sk경영경제연구소,2,2,2
desktop,/archives/tag/sk이노베이션-울산complex,2,2,2
desktop,/archives/tag/환경과학기술원,2,2,4
mobile,/archives/107557,2,2,2
mobile,/archives/110120,2,2,2
mobile,/archives/115020,2,2,2
mobile,/archives/115731,5,2,4
mobile,/archives/116437,2,2,2
mobile,/archives/116690,4,2,6
mobile,/archives/11993,2,2,3
mobile,/archives/14327,2,2,2
mobile,/archives/24192,2,2,2
mobile,/archives/28520,2,2,2
mobile,/archives/28782,2,2,2
mobile,/archives/34678,2,2,2
mobile,/archives/35072,2,2,2
mobile,/archives/51077,2,2,2
mobile,/archives/51614,2,2,2
mobile,/archives/8171,2,2,2
mobile,/archives/8448,2,2,2
mobile,/archives/90219,2,2,2
mobile,/archives/9439,2,2,2
mobile,/archives/98731,2,2,2
mobile,/archives/category/business/sk-on,2,2,2
tablet,/archives/114773,2,2,2
tablet,/archives/114973,2,2,4
tablet,/archives/115674,2,2,2
tablet,/archives/22283,2,2,2
tablet,/archives/92880,2,2,3
desktop,/archives/100159,2,1,1
desktop,/archives/100438,1,1,1
desktop,/archives/100970,1,1,1
desktop,/archives/100999,1,1,1
desktop,/archives/101143,1,1,2
desktop,/archives/101213,1,1,1
desktop,/archives/101248,1,1,1
desktop,/archives/101315,1,1,1
desktop,/archives/102733,1,1,1
desktop,/archives/103372,1,1,1
desktop,/archives/103449,2,1,2
desktop,/archives/103500,1,1,1
desktop,/archives/104439,1,1,1
desktop,/archives/104487,1,1,1
desktop,/archives/104596,1,1,1
desktop,/archives/105362,1,1,1
desktop,/archives/105726,1,1,1
desktop,/archives/106205,1,1,1
desktop,/archives/106626,1,1,1
desktop,/archives/107388,1,1,1
desktop,/archives/107411,1,1,1
desktop,/archives/107610,1,1,1
desktop,/archives/107738,1,1,1
desktop,/archives/107845,1,1,1
desktop,/archives/107887,2,1,2
desktop,/archives/108815,1,1,1
desktop,/archives/109888,1,1,1
desktop,/archives/109962,2,1,2
desktop,/archives/110120,1,1,1
desktop,/archives/110195,1,1,1
desktop,/archives/110323,2,1,2
desktop,/archives/110382,1,1,1
desktop,/archives/110932,1,1,1
desktop,/archives/111373,1,1,1
desktop,/archives/111466,1,1,1
desktop,/archives/111614,1,1,1
desktop,/archives/111652,1,1,1
desktop,/archives/112036,1,1,1
desktop,/archives/112210,1,1,1
desktop,/archives/112331,1,1,1
desktop,/archives/112345,1,1,1
desktop,/archives/112480,1,1,1
desktop,/archives/112487,1,1,1
desktop,/archives/112956,1,1,1
desktop,/archives/112995,1,1,1
desktop,/archives/113197,2,1,2
desktop,/archives/113226,1,1,1
desktop,/archives/113289,3,1,3
desktop,/archives/113855,1,1,1
desktop,/archives/113998,1,1,1
desktop,/archives/114336,2,1,2
desktop,/archives/114354,1,1,1
desktop,/archives/114483,1,1,1
desktop,/archives/114688,1,1,3
desktop,/archives/114773,3,1,3
desktop,/archives/114801,1,1,4
desktop,/archives/114999,1,1,1
desktop,/archives/115258,3,1,4
desktop,/archives/115371,1,1,2
desktop,/archives/115558,2,1,3
desktop,/archives/115933,1,1,1
desktop,/archives/115950,1,1,1
desktop,/archives/115988,3,1,3
desktop,/archives/116483,1,1,1
desktop,/archives/116690,7,1,8
desktop,/archives/116844,3,1,3
desktop,/archives/116921,4,1,4
desktop,/archives/116942,3,1,4
desktop,/archives/13682,1,1,1
desktop,/archives/13864,1,1,1
desktop,/archives/14875,1,1,1
