# ----------------------------------------
# 보고서 CSV 내보내기
# 계정: SK이노베이션(한글)
# 속성: SK이노베이션 - GA4
# ----------------------------------------
# 
# 모든 사용자
# 시작일: 20240201
# 종료일: 20240229
페이지 경로 및 화면 클래스,세션 소스,조회수,사용자,사용자당 조회수,평균 참여 시간,이벤트 수,전환,총 수익
/,(direct),1617,1016,1.5915354330708662,14.233267716535433,6955,0,0
/,google,1248,392,3.183673469387755,41.66326530612245,5656,0,0
/archives/24686,naver,919,786,1.1692111959287532,81.76081424936386,4426,0,0
/archives/32828,google,682,603,1.1310116086235489,58.07794361525705,3335,0,0
/,naver,610,156,3.91025641025641,62.62820512820513,2754,0,0
/archives/category/press/press-release,(direct),605,494,1.2246963562753037,8.263157894736842,2791,0,0
/archives/24686,google,569,477,1.1928721174004193,38.526205450733755,2459,0,0
/archives/24686,naver.com,509,478,1.0648535564853556,34.82217573221757,2307,0,0
/archives/84588,google,443,376,1.178191489361702,52.912234042553195,2170,0,0
/archives/96864,google,443,381,1.162729658792651,46.13385826771653,2052,0,0
/archives/103947,google,380,305,1.2459016393442623,58.57377049180328,1816,0,0
/,sk-on.com,293,167,1.7544910179640718,19.119760479041915,1436,0,0
/archives/113881,facebook,277,228,1.2149122807017543,7.62719298245614,1171,0,0
/archives/32828,naver,272,260,1.0461538461538462,60.6,1428,0,0
/archives/104002,google,251,223,1.1255605381165918,63.08520179372197,1260,0,0
/archives/113998,google,223,180,1.238888888888889,62.87777777777778,1005,0,0
/archives/113952,(direct),221,191,1.1570680628272252,23.837696335078533,907,0,0
/archives/49884,google,187,162,1.154320987654321,69.22222222222223,902,0,0
/archives/category/business/sk-on,google,186,107,1.7383177570093458,36.80373831775701,766,0,0
/archives/24686,m.search.naver.com,181,131,1.381679389312977,58.13740458015267,755,0,0
/archives/category/business/sk-on,sk-on.com,169,52,3.25,81.0576923076923,668,0,0
/archives/category/business/sk-on,naver,165,110,1.5,37.57272727272727,751,0,0
/archives/16295,google,163,152,1.0723684210526316,22.19078947368421,743,0,0
/archives/114094,facebook,155,114,1.3596491228070176,13.964912280701755,628,0,0
/archives/category/business/sk-energy,skenergy.com,149,86,1.7325581395348837,27.453488372093023,638,0,0
/archives/100667,google,146,125,1.168,68.664,686,0,0
/archives/category/business/sk-innovation,google,145,102,1.4215686274509804,24.00980392156863,540,0,0
/archives/113952,koreapas.com,143,122,1.1721311475409837,37.92622950819672,632,0,0
/archives/113680,google,141,120,1.175,54.8,664,0,0
/archives/category/industry-and-insight/basics,google,139,69,2.0144927536231885,35.65217391304348,513,0,0
/archives/107411,google,126,117,1.0769230769230769,67.31623931623932,633,0,0
/archives/113998,(direct),125,88,1.4204545454545454,72.81818181818181,499,0,0
/archives/8355,google,124,111,1.117117117117117,63.927927927927925,619,0,0
/archives/category/press/press-release,google,113,59,1.9152542372881356,33.355932203389834,445,0,0
/archives/16013,google,112,96,1.1666666666666667,43.229166666666664,542,0,0
/,skgeocentric.com,109,54,2.0185185185185186,28.314814814814813,513,0,0
/archives/32828,naver.com,107,102,1.0490196078431373,40.23529411764706,539,0,0
/archives/category/business/sk-energy,google,105,64,1.640625,26.703125,415,0,0
/archives/34678,google,103,91,1.1318681318681318,48.67032967032967,505,0,0
/archives/98107,google,102,88,1.1590909090909092,47.11363636363637,493,0,0
/archives/category/business,google,102,72,1.4166666666666667,15.944444444444445,396,0,0
/newsroom-guide,m.naver.com,100,1,100,0,277,0,0
/archives/111540,google,97,62,1.564516129032258,63.225806451612904,456,0,0
/archives/category/business/sk-innovation,(direct),96,66,1.4545454545454546,31.515151515151516,361,0,0
/archives/113159,google,95,63,1.507936507936508,60.06349206349206,434,0,0
/posts,(direct),95,67,1.4179104477611941,26.940298507462686,400,0,0
/archives/25903,google,93,84,1.1071428571428572,51.98809523809524,439,0,0
/archives/8935,google,92,86,1.069767441860465,36.55813953488372,450,0,0
/archives/8448,google,90,87,1.0344827586206897,28.275862068965516,444,0,0
/archives/113952,google,89,66,1.3484848484848484,60.60606060606061,365,0,0
