# ----------------------------------------
# 보고서 CSV 내보내기
# 계정: SK이노베이션(한글)
# 속성: SK이노베이션 - GA4
# ----------------------------------------
# 
# 모든 사용자
# 시작일: 20240301
# 종료일: 20240331
페이지 경로 및 화면 클래스,기기 카테고리,조회수,사용자,사용자당 조회수,평균 참여 시간,이벤트 수,전환,총 수익
/,desktop,4075,1635,2.492354740061162,30.276452599388378,18585,0,0
/archives/32828,mobile,1257,1117,1.125335720680394,58.581915846016116,6147,0,0
/archives/24686,mobile,1244,1080,1.151851851851852,57.71944444444444,5775,0,0
/,mobile,855,386,2.215025906735751,25.852331606217618,3526,0,0
/archives/84588,desktop,668,561,1.1907308377896613,50.4777183600713,3222,0,0
/archives/category/business/sk-on,desktop,646,343,1.8833819241982508,34.95626822157434,2670,0,0
/archives/category/press/press-release,desktop,458,191,2.397905759162304,27.06806282722513,1717,0,0
/archives/114153,desktop,445,318,1.39937106918239,51.74842767295598,1927,0,0
/archives/103947,desktop,416,337,1.2344213649851632,52.11275964391692,2092,0,0
/archives/114172,desktop,398,267,1.4906367041198503,40.670411985018724,1660,0,0
/archives/85006,mobile,380,313,1.2140575079872205,29.575079872204473,1790,0,0
/archives/114172,mobile,360,299,1.2040133779264215,15.327759197324415,1444,0,0
/archives/104002,desktop,349,287,1.21602787456446,65.57491289198606,1692,0,0
/posts,desktop,308,177,1.7401129943502824,44.14689265536723,1304,0,0
/archives/category/business/sk-energy,desktop,305,165,1.8484848484848484,45.375757575757575,1216,0,0
/archives/96864,mobile,303,273,1.10989010989011,40.42857142857143,1398,0,0
/archives/114208,desktop,300,193,1.5544041450777202,36.17616580310881,1240,0,0
/archives/32828,desktop,290,276,1.0507246376811594,90.6340579710145,1537,0,0
/archives/category/business/sk-innovation,desktop,274,198,1.3838383838383839,25.393939393939394,1087,0,0
/archives/category/business,desktop,267,168,1.5892857142857142,24.261904761904763,1020,0,0
/archives/113998,desktop,266,210,1.2666666666666666,50.647619047619045,1179,0,0
/archives/category/business/sk-enmove,desktop,249,135,1.8444444444444446,39.12592592592593,1048,0,0
/archives/114278,desktop,235,174,1.3505747126436782,41.40229885057471,940,0,0
/archives/category/business/sk-on,mobile,233,172,1.3546511627906976,33.68023255813954,1037,0,0
/archives/49884,desktop,221,183,1.2076502732240437,50.63934426229508,1085,0,0
/archives/category/business/sk-enterm,desktop,218,127,1.7165354330708662,8.724409448818898,973,0,0
/archives/category/business/sk-geo-centric,desktop,195,84,2.3214285714285716,38.80952380952381,767,0,0
/archives/113797,desktop,188,153,1.2287581699346406,87.22875816993464,908,0,0
/archives/114364,mobile,184,162,1.1358024691358024,11.512345679012345,668,0,0
/archives/category/industry-and-insight/basics,desktop,176,112,1.5714285714285714,22.991071428571427,701,0,0
/newsroom-guide,mobile,176,134,1.3134328358208955,1.6567164179104477,650,0,0
/archives/category/industry-and-insight,desktop,157,118,1.3305084745762712,32.279661016949156,680,0,0
/archives/84588,mobile,156,132,1.1818181818181819,74.03787878787878,707,0,0
/archives/category/field-news/inno-people,desktop,156,108,1.4444444444444444,28.574074074074073,636,0,0
/archives/104187,desktop,154,133,1.1578947368421053,46.17293233082707,722,0,0
/archives/113680,desktop,154,130,1.1846153846153846,49.323076923076925,724,0,0
/archives/113998,mobile,153,132,1.1590909090909092,65.97727272727273,705,0,0
/archives/48279,desktop,153,130,1.176923076923077,61.51538461538462,765,0,0
/archives/96864,desktop,153,143,1.06993006993007,66.58041958041959,756,0,0
/archives/category/business/sk-incheonpetrochem,mobile,153,91,1.6813186813186813,9.604395604395604,607,0,0
/archives/category/field-news,desktop,153,126,1.2142857142857142,15.396825396825397,631,0,0
/archives/48028,desktop,148,126,1.1746031746031746,43.48412698412698,698,0,0
/archives/8448,desktop,148,140,1.0571428571428572,41.635714285714286,750,0,0
/archives/16295,mobile,146,131,1.1145038167938932,26.633587786259543,651,0,0
