# ----------------------------------------
# 보고서 CSV 내보내기
# 계정: SK이노베이션(한글)
# 속성: SK이노베이션 - GA4
# ----------------------------------------
# 
# 모든 사용자
# 시작일: 20240513
# 종료일: 20240513
기기 카테고리,페이지 경로 및 화면 클래스,총 사용자,새 사용자 수,조회수
mobile,/archives/115057,117,105,123
desktop,/,95,38,166
mobile,/archives/85006,35,35,37
mobile,/archives/32828,37,34,46
desktop,/archives/104002,22,20,24
desktop,/archives/84588,25,20,26
desktop,/archives/107142,18,17,17
desktop,/archives/85006,15,14,17
mobile,/archives/115113,16,14,16
desktop,/archives/113797,18,13,18
desktop,/archives/111540,19,10,35
desktop,/archives/32828,10,10,11
desktop,/archives/49884,11,10,12
desktop,/archives/103947,11,9,10
desktop,/archives/111978,9,9,10
desktop,/archives/108755,13,8,20
desktop,/archives/category/business/sk-energy,17,8,31
mobile,/archives/96864,8,8,8
desktop,/archives/114094,8,7,10
desktop,/archives/115057,16,7,17
desktop,/archives/8448,7,7,12
mobile,/archives/8935,7,7,13
desktop,/archives/91050,9,6,8
desktop,/archives/98107,8,6,6
desktop,/posts,11,6,16
tablet,/archives/115057,6,6,6
desktop,/archives/114065,5,5,5
desktop,/archives/114973,12,5,14
desktop,/archives/83065,5,5,6
desktop,/archives/83571,9,5,10
desktop,/archives/96864,5,5,5
desktop,/archives/category/business/sk-on,11,5,23
mobile,/archives/111540,5,5,5
tablet,/archives/114094,5,5,6
tablet,/archives/8448,7,5,11
desktop,/archives/100667,5,4,5
desktop,/archives/111387,4,4,4
desktop,/archives/111831,6,4,8
desktop,/archives/112487,7,4,8
desktop,/archives/112580,5,4,5
desktop,/archives/45433,4,4,4
desktop,/archives/48279,5,4,6
desktop,/archives/51077,4,4,4
desktop,/archives/63622,5,4,5
desktop,/archives/95110,6,4,6
mobile,/,9,4,12
mobile,/archives/25903,4,4,4
mobile,/archives/category/business/sk-on,4,4,5
desktop,/archives/100207,3,3,4
desktop,/archives/105770,3,3,3
desktop,/archives/108874,3,3,3
desktop,/archives/109888,5,3,5
desktop,/archives/111466,3,3,5
desktop,/archives/111929,3,3,3
desktop,/archives/113952,7,3,7
desktop,/archives/113998,4,3,4
desktop,/archives/114999,3,3,3
desktop,/archives/15214,4,3,4
desktop,/archives/47000,4,3,4
desktop,/archives/48881,3,3,4
desktop,/archives/61743,3,3,3
desktop,/archives/69357,3,3,3
desktop,/archives/71038,3,3,4
desktop,/archives/76541,4,3,4
desktop,/archives/8355,4,3,4
desktop,/archives/9439,3,3,3
mobile,/archives/111978,3,3,3
mobile,/archives/16295,4,3,4
mobile,/archives/36348,3,3,3
mobile,/archives/57901,3,3,3
mobile,/archives/60291,3,3,5
mobile,/archives/63622,3,3,3
mobile,/archives/66432,3,3,4
mobile,/archives/83571,3,3,5
mobile,/archives/8448,3,3,3
mobile,/archives/84588,3,3,3
desktop,/archives/100159,2,2,2
desktop,/archives/100244,2,2,2
desktop,/archives/101589,2,2,3
desktop,/archives/10330,2,2,2
desktop,/archives/10557,2,2,2
desktop,/archives/10614,2,2,4
desktop,/archives/107411,2,2,4
desktop,/archives/10815,2,2,2
desktop,/archives/10963,2,2,2
desktop,/archives/110055,4,2,3
desktop,/archives/110323,5,2,5
desktop,/archives/111406,2,2,3
desktop,/archives/112956,4,2,4
desktop,/archives/113226,2,2,2
desktop,/archives/113289,2,2,2
desktop,/archives/114153,5,2,5
desktop,/archives/114632,5,2,7
desktop,/archives/114688,2,2,2
desktop,/archives/114931,4,2,4
desktop,/archives/12929,2,2,3
desktop,/archives/13682,2,2,2
desktop,/archives/21558,2,2,2
desktop,/archives/22283,2,2,2
desktop,/archives/25579,4,2,4
desktop,/archives/25596,2,2,2
desktop,/archives/27825,2,2,2
desktop,/archives/29155,2,2,4
desktop,/archives/38936,2,2,3
desktop,/archives/47895,2,2,2
desktop,/archives/48028,4,2,6
desktop,/archives/50898,2,2,2
desktop,/archives/57901,2,2,2
desktop,/archives/59030,2,2,2
desktop,/archives/61110,2,2,2
desktop,/archives/62659,2,2,2
desktop,/archives/64469,2,2,4
desktop,/archives/6688,3,2,3
desktop,/archives/6811,3,2,4
desktop,/archives/70048,2,2,2
desktop,/archives/72120,4,2,4
desktop,/archives/72905,2,2,2
desktop,/archives/78457,2,2,2
desktop,/archives/78553,2,2,3
desktop,/archives/79287,2,2,2
desktop,/archives/80568,2,2,2
desktop,/archives/81784,3,2,3
desktop,/archives/83720,2,2,2
desktop,/archives/85894,2,2,2
desktop,/archives/86689,3,2,4
desktop,/archives/88198,3,2,3
desktop,/archives/8935,2,2,2
desktop,/archives/93491,2,2,2
desktop,/archives/94030,2,2,2
desktop,/archives/94311,3,2,4
desktop,/archives/96443,2,2,2
desktop,/archives/97077,2,2,2
desktop,/archives/97579,3,2,3
desktop,/archives/98610,10,2,13
desktop,/archives/tag/sk엔무브,2,2,2
desktop,/archives/tag/세대공감-clan,4,2,6
desktop,/archives/tag/열분해유,2,2,9
mobile,/archives/104002,2,2,2
mobile,/archives/10512,2,2,2
mobile,/archives/105651,2,2,2
mobile,/archives/105883,2,2,2
mobile,/archives/111387,3,2,3
mobile,/archives/111831,2,2,2
mobile,/archives/112580,2,2,2
mobile,/archives/113680,2,2,2
mobile,/archives/113797,2,2,2
mobile,/archives/113952,7,2,7
mobile,/archives/15214,2,2,2
mobile,/archives/24686,2,2,2
mobile,/archives/25030,2,2,2
mobile,/archives/32685,2,2,3
mobile,/archives/45433,2,2,2
mobile,/archives/48881,2,2,2
mobile,/archives/49884,2,2,3
mobile,/archives/51077,2,2,2
mobile,/archives/7636,2,2,3
mobile,/archives/93235,2,2,2
mobile,/archives/98215,2,2,2
mobile,/archives/tag/창립기념일,2,2,3
tablet,/archives/114973,2,2,2
tablet,/archives/12929,2,2,4
tablet,/archives/85006,2,2,2
tablet,/archives/89977,2,2,2
tablet,/archives/98182,2,2,2
desktop,/archives/10019,1,1,1
desktop,/archives/100303,1,1,1
desktop,/archives/100327,2,1,2
desktop,/archives/100553,1,1,1
desktop,/archives/100892,2,1,2
desktop,/archives/100916,2,1,2
desktop,/archives/101080,1,1,1
desktop,/archives/101342,1,1,1
desktop,/archives/101442,1,1,1
desktop,/archives/10147,1,1,1
desktop,/archives/10179,1,1,1
desktop,/archives/101917,1,1,1
desktop,/archives/102095,1,1,1
desktop,/archives/102193,1,1,1
desktop,/archives/102285,2,1,2
desktop,/archives/102543,1,1,1
desktop,/archives/102588,1,1,1
desktop,/archives/102626,1,1,1
desktop,/archives/102811,1,1,1
desktop,/archives/103076,1,1,1
desktop,/archives/103287,2,1,2
desktop,/archives/103349,1,1,1
desktop,/archives/103372,1,1,1
desktop,/archives/103449,1,1,1
desktop,/archives/103500,1,1,1
desktop,/archives/103803,1,1,1
desktop,/archives/103938,1,1,1
desktop,/archives/104136,1,1,1
desktop,/archives/104439,1,1,1
desktop,/archives/104937,1,1,1
desktop,/archives/105091,1,1,1
desktop,/archives/10512,1,1,2
desktop,/archives/105264,1,1,1
desktop,/archives/105499,1,1,1
desktop,/archives/105637,1,1,1
desktop,/archives/105821,1,1,2
desktop,/archives/105883,1,1,2
desktop,/archives/106172,2,1,4
desktop,/archives/106345,1,1,1
desktop,/archives/106387,1,1,1
desktop,/archives/106411,2,1,2
desktop,/archives/106701,1,1,3
desktop,/archives/107289,3,1,3
desktop,/archives/107388,1,1,1
desktop,/archives/107523,1,1,1
desktop,/archives/107557,3,1,3
desktop,/archives/107822,1,1,1
desktop,/archives/107963,1,1,1
desktop,/archives/108569,2,1,2
