# ----------------------------------------
# 보고서 CSV 내보내기
# 계정: SK이노베이션(한글)
# 속성: SK이노베이션 - GA4
# ----------------------------------------
# 
# 모든 사용자
# 시작일: 20240501
# 종료일: 20240531
페이지 경로 및 화면 클래스,세션 소스,조회수,사용자,사용자당 조회수,평균 참여 시간,이벤트 수,주요 이벤트,총 수익
/,google,1613,539,2.9925788497217067,45.80148423005566,7424,0,0
/,(direct),1254,733,1.7107776261937244,16.145975443383357,5496,0,0
/archives/32828,google,998,852,1.1713615023474178,69.94718309859155,4875,0,0
/archives/84588,google,752,598,1.2575250836120402,57.24581939799331,3551,0,0
/,naver,664,132,5.03030303030303,131.92424242424244,3047,0,0
/archives/115057,facebook,635,548,1.1587591240875912,24.759124087591243,2810,0,0
/archives/113797,google,547,434,1.26036866359447,70.8594470046083,2655,0,0
/archives/85006,namu.wiki,507,475,1.0673684210526315,8.40421052631579,2167,0,0
/archives/107142,google,495,398,1.243718592964824,33.037688442211056,2397,0,0
/archives/104002,google,492,392,1.2551020408163265,71.38265306122449,2350,0,0
/archives/49884,google,466,343,1.358600583090379,71.47521865889213,2104,0,0
/archives/96864,google,435,397,1.0957178841309825,51.03022670025189,2092,0,0
/archives/103947,google,347,268,1.294776119402985,48.958955223880594,1616,0,0
/archives/48028,google,329,190,1.731578947368421,50.142105263157895,1394,0,0
/archives/114973,google,271,187,1.4491978609625669,70.54010695187166,1201,0,0
/archives/114094,google,269,231,1.1645021645021645,58.493506493506494,1339,0,0
/posts,(direct),269,150,1.7933333333333332,51.95333333333333,1111,0,0
/archives/category/business/sk-on,google,264,130,2.0307692307692307,52.37692307692308,1088,0,0
/,sk-on.com,253,149,1.6979865771812082,15.194630872483222,1213,0,0
/archives/48279,google,253,195,1.2974358974358975,39.04102564102564,1166,0,0
/archives/115057,google,249,199,1.2512562814070352,77.58291457286433,1154,0,0
/archives/113159,google,246,152,1.618421052631579,64.69736842105263,1055,0,0
/archives/32828,naver,234,220,1.0636363636363637,64.88636363636364,1228,0,0
/archives/111540,google,231,125,1.848,73.6,1052,0,0
/archives/115209,facebook,227,207,1.0966183574879227,3.468599033816425,946,0,0
/archives/115113,facebook,216,180,1.2,3.95,878,0,0
/archives/115020,facebook,215,201,1.0696517412935322,2.9800995024875623,896,0,0
/archives/16295,google,210,190,1.105263157894737,33.51578947368421,964,0,0
/archives/25903,google,210,165,1.2727272727272727,54.38787878787879,921,0,0
/archives/111831,google,205,150,1.3666666666666667,59.86,926,0,0
/archives/98107,google,203,165,1.2303030303030302,66.10303030303031,974,0,0
/archives/48881,google,193,133,1.4511278195488722,51.17293233082707,818,0,0
/archives/8935,google,186,148,1.2567567567567568,30.33783783783784,852,0,0
/archives/112580,google,179,141,1.2695035460992907,59.851063829787236,861,0,0
/archives/60291,google,179,136,1.3161764705882353,50.875,786,0,0
/archives/category/press/press-release,(direct),179,67,2.671641791044776,39.52238805970149,692,0,0
/archives/113952,google,177,160,1.10625,54.43125,852,0,0
/archives/83720,google,175,155,1.1290322580645162,55.50967741935484,816,0,0
/archives/category/business/sk-innovation,google,174,113,1.5398230088495575,19.327433628318584,667,0,0
/archives/111978,google,171,143,1.1958041958041958,25.853146853146853,824,0,0
/archives/category/business/sk-energy,skenergy.com,167,94,1.7765957446808511,30.78723404255319,740,0,0
/archives/45433,google,165,130,1.2692307692307692,62.13846153846154,762,0,0
/archives/100667,google,156,114,1.368421052631579,59.96491228070175,700,0,0
/archives/category/business/sk-on,naver,153,88,1.7386363636363635,39.625,694,0,0
/archives/113998,google,147,122,1.2049180327868851,31.172131147540984,662,0,0
/archives/8448,google,147,116,1.2672413793103448,53.172413793103445,666,0,0
/archives/category/business/sk-on,sk-on.com,141,47,3,70.80851063829788,549,0,0
/archives/category/business,google,135,89,1.5168539325842696,24.96629213483146,513,0,0
/archives/110323,google,134,105,1.276190476190476,41.93333333333333,611,0,0
/archives/114153,google,134,117,1.1452991452991452,44.53846153846154,617,0,0
/archives/category/industry-and-insight/basics,google,133,93,1.4301075268817205,26.903225806451612,516,0,0
/archives/108755,google,132,63,2.0952380952380953,104.68253968253968,543,0,0
/archives/99361,google,131,103,1.2718446601941749,114.48543689320388,586,0,0
/archives/107411,google,129,112,1.1517857142857142,57.857142857142854,636,0,0
/archives/111387,enclean.com,126,118,1.0677966101694916,25.440677966101696,653,0,0
/archives/8355,google,126,107,1.1775700934579438,65.90654205607477,607,0,0
/archives/category/business/sk-energy,google,126,74,1.7027027027027026,28.54054054054054,500,0,0
/archives/114138,google,125,99,1.2626262626262625,45.707070707070706,558,0,0
/archives/category/business/sk-geo-centric,google,121,50,2.42,44.24,466,0,0
/archives/category/press/press-release,google,121,69,1.7536231884057971,31.55072463768116,486,0,0
/archives/10815,google,118,90,1.3111111111111111,68.66666666666667,533,0,0
/archives/114999,google,118,101,1.1683168316831682,35.554455445544555,491,0,0
/archives/115214,facebook,116,89,1.303370786516854,9.910112359550562,450,0,0
/archives/8502,google,112,91,1.2307692307692308,56.37362637362637,497,0,0
/,skgeocentric.com,111,59,1.88135593220339,19.677966101694917,551,0,0
/archives/57901,google,110,76,1.4473684210526316,45.78947368421053,488,0,0
/archives/63622,google,110,97,1.134020618556701,34.175257731958766,523,0,0
/archives/85006,naver.com,109,90,1.211111111111111,26.788888888888888,504,0,0
/archives/88269,google,109,85,1.2823529411764707,33.188235294117646,507,0,0
/archives/category/business/sk-innovation,(direct),109,56,1.9464285714285714,40.160714285714285,412,0,0
/archives/97077,google,106,87,1.2183908045977012,93.80459770114942,501,0,0
/posts,google,105,48,2.1875,27.604166666666668,413,0,0
/archives/34678,google,104,91,1.1428571428571428,20.945054945054945,506,0,0
/archives/84762,google,102,92,1.108695652173913,63.47826086956522,486,0,0
/archives/91050,google,102,85,1.2,44.78823529411765,472,0,0
/archives/98610,google,102,60,1.7,70.1,423,0,0
/,skietechnology.com,100,68,1.4705882352941178,15.25,481,0,0
/archives/10557,google,100,85,1.1764705882352942,44.294117647058826,480,0,0
/archives/28782,google,100,85,1.1764705882352942,71.7764705882353,490,0,0
/,bing,99,23,4.304347826086956,54.391304347826086,470,0,0
/archives/95110,google,98,83,1.180722891566265,40,443,0,0
/archives/category/field-news,google,97,69,1.4057971014492754,20.666666666666668,376,0,0
/archives/83571,google,96,82,1.170731707317073,90.65853658536585,432,0,0
/archives/category/business/sk-enterm,naver,96,57,1.6842105263157894,9.614035087719298,428,0,0
/archives/113680,google,92,79,1.1645569620253164,35.0126582278481,431,0,0
/archives/tag/열분해유,google,91,51,1.7843137254901962,19.666666666666668,395,0,0
/archives/22283,google,90,81,1.1111111111111112,34.407407407407405,438,0,0
/archives/category/field-news/inno-people,google,88,53,1.6603773584905661,55.56603773584906,350,0,0
/archives/category/industry-and-insight,google,87,50,1.74,32.7,344,0,0
/newsroom-guide,(direct),87,29,3,6.724137931034483,268,0,0
/archives/83065,google,86,73,1.178082191780822,41.19178082191781,399,0,0
/archives/tag/sk이노베이션-울산complex,google,86,62,1.3870967741935485,12.693548387096774,373,0,0
/archives/85006,google,85,65,1.3076923076923077,18.73846153846154,384,0,0
/archives/112487,google,84,69,1.2173913043478262,38.65217391304348,387,0,0
/archives/category/business/sk-enterm,google,84,52,1.6153846153846154,7.153846153846154,366,0,0
/archives/23352,google,83,75,1.1066666666666667,20.88,382,0,0
/archives/114065,google,81,64,1.265625,52.84375,406,0,0
/archives/114773,google,80,67,1.1940298507462686,50.11940298507463,357,0,0
/archives/115057,instagramstory,80,73,1.095890410958904,8.876712328767123,353,0,0
/archives/21277,google,78,64,1.21875,62.265625,374,0,0
/archives/25579,google,77,70,1.1,51.957142857142856,357,0,0
/archives/category/business/sk-innovation,naver,76,51,1.4901960784313726,33.8235294117647,299,0,0
/archives/8482,google,75,64,1.171875,21.5625,344,0,0
/archives/category/business,(direct),75,44,1.7045454545454546,13.477272727272727,286,0,0
/archives/32828,naver.com,73,70,1.042857142857143,30.271428571428572,353,0,0
/archives/6688,google,73,55,1.3272727272727274,42.21818181818182,332,0,0
/archives/114632,google,72,49,1.469387755102041,33.57142857142857,328,0,0
/archives/18301,google,72,64,1.125,69.1875,354,0,0
/archives/25596,google,71,48,1.4791666666666667,57.75,338,0,0
/archives/32828,(direct),71,41,1.7317073170731707,21.21951219512195,265,0,0
/archives/15214,google,70,57,1.2280701754385965,57.578947368421055,325,0,0
/archives/94311,google,69,47,1.4680851063829787,58.8936170212766,293,0,0
/archives/111540,(direct),68,46,1.4782608695652173,83.80434782608695,303,0,0
/archives/105883,google,67,60,1.1166666666666667,42.9,327,0,0
/archives/112480,google,65,61,1.0655737704918034,24.491803278688526,294,0,0
/archives/112908,google,65,53,1.2264150943396226,26.18867924528302,286,0,0
/archives/114973,inpock,65,51,1.2745098039215685,29.294117647058822,297,0,0
/archives/12929,google,65,50,1.3,80.62,300,0,0
/archives/category/industry-and-insight,(direct),65,51,1.2745098039215685,36.88235294117647,322,0,0
/archives/36237,google,64,52,1.2307692307692308,35.42307692307692,292,0,0
/archives/88198,google,64,44,1.4545454545454546,77.5909090909091,241,0,0
/archives/61743,google,63,47,1.3404255319148937,25.659574468085108,280,0,0
/archives/category/business/sk-on,(direct),63,35,1.8,26.17142857142857,240,0,0
/archives/114483,google,62,47,1.3191489361702127,90.70212765957447,264,0,0
/archives/109888,google,60,44,1.3636363636363635,37.04545454545455,276,0,0
/archives/25711,google,60,50,1.2,54.64,282,0,0
/archives/51077,google,60,56,1.0714285714285714,28.303571428571427,288,0,0
/archives/85278,google,60,51,1.1764705882352942,92.68627450980392,280,0,0
/archives/9782,google,60,55,1.0909090909090908,39.07272727272727,291,0,0
/archives/category/field-news/inno-field,google,60,44,1.3636363636363635,25.84090909090909,229,0,0
/archives/112956,google,59,52,1.1346153846153846,17.23076923076923,269,0,0
/archives/8422,google,59,58,1.0172413793103448,27.017241379310345,298,0,0
/archives/9807,google,59,57,1.0350877192982457,29.94736842105263,280,0,0
/archives/category/business/sk-energy,naver,59,25,2.36,45.36,233,0,0
/archives/10963,google,58,48,1.2083333333333333,46.875,275,0,0
/archives/112418,google,58,44,1.3181818181818181,29.136363636363637,238,0,0
/archives/category/industry-and-insight/inno-column,google,58,46,1.2608695652173914,17.065217391304348,227,0,0
/archives/100892,google,57,47,1.2127659574468086,31.829787234042552,262,0,0
/archives/78785,google,57,48,1.1875,27.4375,251,0,0
/archives/114973,facebook,56,48,1.1666666666666667,18.291666666666668,237,0,0
/archives/110015,google,55,42,1.3095238095238095,38.5,250,0,0
/archives/115057,(direct),55,41,1.3414634146341464,58.21951219512195,219,0,0
/archives/92880,google,55,38,1.4473684210526316,53.81578947368421,234,0,0
/archives/98731,google,55,44,1.25,72.11363636363636,237,0,0
/,naver.com,54,22,2.4545454545454546,36.59090909090909,216,0,0
/archives/13682,google,52,44,1.1818181818181819,28.90909090909091,244,0,0
/archives/51614,google,52,47,1.1063829787234043,28.638297872340427,245,0,0
/archives/85006,naver,52,45,1.1555555555555554,31.266666666666666,258,0,0
/archives/category/business/sk-enmove,skenmove.com,52,32,1.625,25.15625,243,0,0
/archives/category/field-news,(direct),52,43,1.2093023255813953,13.44186046511628,220,0,0
/archives/24686,naver,51,47,1.0851063829787233,51.91489361702128,247,0,0
/archives/category/press/press-release,naver,51,18,2.8333333333333335,59.94444444444444,203,0,0
/archives/100159,google,50,47,1.0638297872340425,22.51063829787234,250,0,0
/archives/24686,google,50,35,1.4285714285714286,176.2,219,0,0
/archives/50898,google,50,43,1.1627906976744187,79.34883720930233,239,0,0
/archives/category/business/sk-enmove,google,49,30,1.6333333333333333,19.933333333333334,188,0,0
/archives/category/business/sk-on,naver.com,49,34,1.4411764705882353,16.61764705882353,198,0,0
/archives/104439,google,48,42,1.1428571428571428,106.04761904761905,232,0,0
/archives/110055,google,48,42,1.1428571428571428,36.595238095238095,217,0,0
/archives/tag/sk경영경제연구소,google,48,39,1.2307692307692308,6.6923076923076925,242,0,0
/,youtube.com,47,21,2.238095238095238,27.38095238095238,222,0,0
/archives/114221,google,47,42,1.119047619047619,58.404761904761905,190,0,0
/archives/76541,namu.wiki,47,45,1.0444444444444445,15.488888888888889,221,0,0
/archives/8544,google,47,43,1.0930232558139534,23.53488372093023,225,0,0
/,skenergy.com,46,24,1.9166666666666667,69.91666666666667,218,0,0
/archives/69107,google,46,32,1.4375,21.90625,187,0,0
/archives/114931,naver,45,43,1.0465116279069768,41.58139534883721,215,0,0
/archives/78457,google,45,35,1.2857142857142858,49.42857142857143,217,0,0
/archives/114172,google,44,36,1.2222222222222223,48.916666666666664,181,0,0
/archives/7268,google,44,35,1.2571428571428571,35.97142857142857,198,0,0
/archives/category/press,google,44,37,1.1891891891891893,6.675675675675675,168,0,0
/archives/100739,google,43,38,1.131578947368421,30.657894736842106,183,0,0
/archives/113289,(direct),43,37,1.162162162162162,23.054054054054053,191,0,0
/archives/114931,google,43,37,1.162162162162162,42.67567567567568,176,0,0
/archives/32685,google,43,35,1.2285714285714286,36.82857142857143,201,0,0
/archives/38114,google,43,34,1.2647058823529411,29.735294117647058,195,0,0
/archives/7348,google,43,36,1.1944444444444444,52.30555555555556,211,0,0
/archives/75805,google,43,31,1.3870967741935485,55,203,0,0
/archives/98182,google,43,32,1.34375,46.96875,197,0,0
/archives/108874,google,42,40,1.05,27.8,201,0,0
/archives/33788,google,42,35,1.2,21.2,196,0,0
/archives/103803,google,41,38,1.0789473684210527,102.10526315789474,215,0,0
/archives/111929,google,41,37,1.1081081081081081,46.891891891891895,179,0,0
/archives/114999,(direct),41,36,1.1388888888888888,35.388888888888886,154,0,0
/archives/115209,naver,41,9,4.555555555555555,969.7777777777778,160,0,0
/archives/89977,(direct),41,9,4.555555555555555,38.22222222222222,131,0,0
/archives/category/business/sk-enmove,naver,41,30,1.3666666666666667,23.533333333333335,182,0,0
/archives/tag/울산clx,google,41,24,1.7083333333333333,27.25,166,0,0
/archives/115020,google,40,32,1.25,49.21875,170,0,0
/archives/8422,dprime.kr,40,40,1,23.55,197,0,0
/archives/102756,google,39,25,1.56,55.68,163,0,0
/archives/110382,google,39,24,1.625,28.958333333333332,174,0,0
/archives/114632,(direct),39,30,1.3,29.2,167,0,0
/archives/53520,google,39,33,1.1818181818181819,34.24242424242424,194,0,0
/archives/70521,google,39,33,1.1818181818181819,32.81818181818182,180,0,0
/archives/category/press,(direct),39,20,1.95,20.75,144,0,0
/archives/115209,m.facebook.com,38,37,1.027027027027027,6.594594594594595,181,0,0
/archives/32828,m.search.naver.com,38,36,1.0555555555555556,63.69444444444444,194,0,0
/archives/98215,google,38,33,1.1515151515151516,47.515151515151516,170,0,0
/archives/category/field-news/management,google,38,28,1.3571428571428572,21.607142857142858,147,0,0
/archives/tag/환경과학기술원,google,38,24,1.5833333333333333,18.25,162,0,0
/archives/114931,(direct),37,19,1.9473684210526316,47.578947368421055,144,0,0
/archives/65154,google,37,36,1.0277777777777777,33.19444444444444,189,0,0
/archives/9512,google,37,33,1.121212121212121,29.636363636363637,179,0,0
/archives/category/business/sk-geo-centric,naver,37,16,2.3125,24.75,141,0,0
/archives/103947,(direct),36,33,1.0909090909090908,36.63636363636363,182,0,0
/archives/105770,google,36,31,1.1612903225806452,53.806451612903224,156,0,0
/archives/111406,google,36,29,1.2413793103448276,39.58620689655172,159,0,0
/archives/36348,google,36,29,1.2413793103448276,55.689655172413794,161,0,0
/archives/69357,google,36,27,1.3333333333333333,26.59259259259259,165,0,0
/archives/81784,google,36,27,1.3333333333333333,62.407407407407405,162,0,0
/archives/9049,google,36,32,1.125,35.4375,174,0,0
/archives/category/business/sk-energy,(direct),36,23,1.565217391304348,17.565217391304348,134,0,0
/archives/106172,google,35,22,1.5909090909090908,63.09090909090909,141,0,0
/archives/112815,google,35,25,1.4,33.16,145,0,0
/archives/113855,google,35,29,1.206896551724138,30.517241379310345,146,0,0
/archives/11700,google,35,32,1.09375,29.8125,167,0,0
/archives/103349,google,34,24,1.4166666666666667,24.875,138,0,0
/archives/106868,google,34,29,1.1724137931034482,45.55172413793103,162,0,0
/archives/107142,(direct),34,22,1.5454545454545454,13.818181818181818,130,0,0
/archives/107557,skenergy.com,34,28,1.2142857142857142,28.5,153,0,0
/archives/61110,google,34,29,1.1724137931034482,18.96551724137931,170,0,0
/archives/6811,google,34,26,1.3076923076923077,74.53846153846153,152,0,0
/archives/71038,google,34,31,1.096774193548387,23.193548387096776,160,0,0
/archives/83181,google,34,25,1.36,54.32,155,0,0
/archives/96759,google,34,30,1.1333333333333333,41.86666666666667,149,0,0
/archives/98605,google,34,28,1.2142857142857142,32.75,164,0,0
/archives/category/business/sk-geo-centric,(direct),34,17,2,31.352941176470587,131,0,0
/archives/tag/세대공감-clan,google,34,20,1.7,8.15,142,0,0
/archives/114773,(direct),33,23,1.434782608695652,14.304347826086957,129,0,0
/archives/115258,(direct),33,26,1.2692307692307692,49,134,0,0
/archives/34355,google,33,25,1.32,48.56,137,0,0
/archives/47000,google,33,28,1.1785714285714286,22.035714285714285,146,0,0
/archives/80568,google,33,31,1.064516129032258,16.419354838709676,157,0,0
/archives/10512,google,32,29,1.103448275862069,48.48275862068966,153,0,0
/archives/106345,google,32,28,1.1428571428571428,13.571428571428571,143,0,0
/archives/109090,google,32,32,1,22.15625,171,0,0
/archives/109462,naver,32,30,1.0666666666666667,47.53333333333333,153,0,0
/archives/112418,naver,32,31,1.032258064516129,17.129032258064516,118,0,0
/archives/14875,google,32,26,1.2307692307692308,34.15384615384615,154,0,0
/archives/84588,(direct),32,28,1.1428571428571428,21.357142857142858,145,0,0
/archives/89977,google,32,30,1.0666666666666667,47.13333333333333,154,0,0
/archives/95380,google,32,18,1.7777777777777777,36.55555555555556,131,0,0
/archives/category/press/notice,google,32,22,1.4545454545454546,32.95454545454545,128,0,0
/archives/11993,google,31,19,1.631578947368421,90.63157894736842,133,0,0
/archives/22310,google,31,23,1.3478260869565217,25.217391304347824,141,0,0
/archives/90543,google,31,29,1.0689655172413792,60.62068965517241,154,0,0
/archives/tag/sk주유소,google,31,24,1.2916666666666667,9.541666666666666,137,0,0
/archives/108569,google,30,14,2.142857142857143,7.071428571428571,113,0,0
/archives/114973,(direct),30,25,1.2,45.72,119,0,0
/archives/25623,google,30,22,1.3636363636363635,52.77272727272727,124,0,0
/archives/59030,google,30,27,1.1111111111111112,41.851851851851855,143,0,0
/archives/category/business/sk-incheonpetrochem,skincheonpetrochem.com,30,25,1.2,16.12,136,0,0
/,ozmailer.com,29,13,2.230769230769231,14.692307692307692,115,0,0
/archives/101945,google,29,25,1.16,34.68,127,0,0
/archives/113663,google,29,22,1.3181818181818181,48.36363636363637,134,0,0
/archives/113797,(direct),29,24,1.2083333333333333,57.541666666666664,137,0,0
/archives/114688,google,29,23,1.2608695652173914,27.26086956521739,126,0,0
/archives/18648,google,29,23,1.2608695652173914,27,128,0,0
/archives/94030,google,29,26,1.1153846153846154,41.76923076923077,129,0,0
/archives/111245,google,28,19,1.4736842105263157,35.31578947368421,127,0,0
/archives/112776,google,28,22,1.2727272727272727,39.95454545454545,127,0,0
/archives/115258,google,28,24,1.1666666666666667,39.666666666666664,118,0,0
/archives/24686,naver.com,28,24,1.1666666666666667,20.541666666666668,112,0,0
/archives/34624,google,28,16,1.75,56.0625,115,0,0
/archives/67904,google,28,23,1.2173913043478262,49.869565217391305,134,0,0
/archives/73326,google,28,25,1.12,25.64,133,0,0
/archives/85853,google,28,22,1.2727272727272727,17.90909090909091,126,0,0
/archives/95134,google,28,21,1.3333333333333333,23.333333333333332,118,0,0
/archives/95732,google,28,20,1.4,58.7,125,0,0
/archives/96879,google,28,24,1.1666666666666667,70.04166666666667,129,0,0
/archives/category/business/sk-incheonpetrochem,google,28,16,1.75,23.75,106,0,0
