# ----------------------------------------
# 보고서 CSV 내보내기
# 계정: SK이노베이션(한글)
# 속성: SK이노베이션 - GA4
# ----------------------------------------
# 
# 모든 사용자
# 시작일: 20240601
# 종료일: 20240630
페이지 경로 및 화면 클래스,기기 카테고리,조회수,사용자,사용자당 조회수,평균 참여 시간,이벤트 수,주요 이벤트,총 수익
/,desktop,3312,1343,2.466120625465376,43.474311243484735,15151,0,0
/archives/category/press/press-release,desktop,1786,1549,1.1530019367333764,6.338928340865074,8487,0,0
/archives/115587,mobile,1003,906,1.1070640176600441,6.067328918322295,4288,0,0
/archives/32828,mobile,710,611,1.1620294599018004,53.829787234042556,3383,0,0
/,mobile,645,327,1.9724770642201834,26.960244648318042,2772,0,0
/archives/category/business/sk-on,desktop,511,242,2.1115702479338845,47.425619834710744,2118,0,0
/archives/115558,mobile,445,340,1.3088235294117647,43.32058823529412,1837,0,0
/archives/113797,desktop,431,349,1.2349570200573066,67.1461318051576,2116,0,0
/archives/84588,desktop,430,362,1.1878453038674033,54.64364640883978,2050,0,0
/posts,desktop,375,213,1.7605633802816902,46.582159624413144,1545,0,0
/archives/category/business/sk-energy,desktop,374,188,1.9893617021276595,38.54255319148936,1543,0,0
/archives/category/business/sk-innovation,desktop,361,209,1.7272727272727273,35.282296650717704,1429,0,0
/archives/96864,mobile,346,317,1.0914826498422714,41.68769716088328,1593,0,0
/archives/115057,mobile,325,296,1.097972972972973,81.10472972972973,1533,0,0
/archives/115057,desktop,321,278,1.1546762589928057,79.85611510791367,1555,0,0
/archives/114973,desktop,316,230,1.373913043478261,66.46521739130435,1466,0,0
/archives/107142,desktop,309,259,1.193050193050193,35.544401544401545,1478,0,0
/archives/category/business,desktop,298,169,1.7633136094674555,21.4792899408284,1153,0,0
/archives/category/business/sk-on,mobile,281,213,1.3192488262910798,27.685446009389672,1254,0,0
/archives/25596,desktop,277,255,1.0862745098039215,16.313725490196077,1184,0,0
/archives/104002,desktop,248,211,1.1753554502369667,58.58293838862559,1215,0,0
/archives/115416,mobile,248,194,1.2783505154639174,5.798969072164948,915,0,0
/archives/103947,desktop,222,176,1.2613636363636365,45.59090909090909,1048,0,0
/archives/49884,desktop,218,171,1.2748538011695907,58.953216374269005,1043,0,0
/archives/115537,desktop,191,135,1.4148148148148147,44.60740740740741,758,0,0
/archives/61743,desktop,185,149,1.2416107382550337,61.25503355704698,891,0,0
/archives/113952,mobile,178,166,1.072289156626506,62.2289156626506,841,0,0
/archives/48028,desktop,178,140,1.2714285714285714,58.58571428571429,809,0,0
/archives/96864,desktop,172,161,1.0683229813664596,52.975155279503106,842,0,0
/archives/category/industry-and-insight,desktop,164,106,1.5471698113207548,30.858490566037737,695,0,0
/archives/32828,desktop,163,150,1.0866666666666667,75.88666666666667,852,0,0
/archives/category/field-news,desktop,157,109,1.4403669724770642,15.394495412844037,633,0,0
/archives/109462,mobile,156,146,1.0684931506849316,33.034246575342465,736,0,0
/archives/48279,desktop,156,132,1.1818181818181819,30.924242424242426,745,0,0
/archives/23352,mobile,150,142,1.056338028169014,24.330985915492956,687,0,0
/archives/category/industry-and-insight/basics,desktop,141,91,1.5494505494505495,23.395604395604394,560,0,0
/archives/114094,desktop,139,120,1.1583333333333334,55.141666666666666,688,0,0
/archives/48028,mobile,138,53,2.6037735849056602,50.264150943396224,493,0,0
/archives/113952,desktop,133,116,1.146551724137931,50.23275862068966,634,0,0
/archives/63622,mobile,133,126,1.0555555555555556,45.111111111111114,638,0,0
/archives/category/press,desktop,133,83,1.6024096385542168,15.228915662650602,531,0,0
/archives/63622,desktop,129,118,1.0932203389830508,43.3728813559322,621,0,0
/archives/111831,desktop,124,99,1.2525252525252526,57.16161616161616,553,0,0
/archives/98107,desktop,124,99,1.2525252525252526,64.32323232323232,584,0,0
/archives/category/field-news/inno-people,desktop,124,75,1.6533333333333333,35.49333333333333,491,0,0
/archives/category/business/sk-geo-centric,desktop,122,58,2.103448275862069,52.86206896551724,481,0,0
/archives/category/business/sk-enmove,desktop,120,72,1.6666666666666667,37.93055555555556,523,0,0
/archives/16295,mobile,119,108,1.1018518518518519,27.34259259259259,543,0,0
/archives/115394,desktop,118,93,1.2688172043010753,43.17204301075269,501,0,0
/archives/category/field-news/inno-field,desktop,115,91,1.2637362637362637,14.593406593406593,444,0,0
/archives/111978,desktop,114,104,1.0961538461538463,19.48076923076923,572,0,0
/archives/49884,mobile,114,98,1.163265306122449,52.816326530612244,501,0,0
/archives/113159,desktop,112,92,1.2173913043478262,58.23913043478261,517,0,0
/archives/115258,desktop,112,89,1.2584269662921348,57.359550561797754,470,0,0
/archives/112580,desktop,110,93,1.1827956989247312,59.784946236559136,549,0,0
/archives/category/business/sk-energy,mobile,109,52,2.0961538461538463,35.25,411,0,0
/archives/25903,desktop,104,75,1.3866666666666667,56.84,466,0,0
/archives/114153,desktop,102,78,1.3076923076923077,64.91025641025641,436,0,0
/archives/61743,mobile,102,89,1.146067415730337,65.91011235955057,469,0,0
/archives/114999,desktop,100,87,1.1494252873563218,39.55172413793103,430,0,0
/archives/45433,desktop,99,78,1.2692307692307692,71.73076923076923,476,0,0
/archives/48881,desktop,98,64,1.53125,43.34375,413,0,0
/archives/83720,desktop,98,94,1.0425531914893618,40.808510638297875,484,0,0
/archives/113797,mobile,97,78,1.2435897435897436,54.34615384615385,436,0,0
/archives/110323,desktop,95,79,1.2025316455696202,48.278481012658226,431,0,0
/archives/114773,desktop,95,77,1.2337662337662338,69.96103896103897,441,0,0
/archives/84588,mobile,95,76,1.25,47.28947368421053,410,0,0
/archives/99361,desktop,95,81,1.1728395061728396,112.49382716049382,453,0,0
/archives/107411,desktop,92,90,1.0222222222222221,39.9,466,0,0
/archives/113680,desktop,92,73,1.2602739726027397,42.26027397260274,406,0,0
/archives/114138,desktop,92,76,1.2105263157894737,55.0921052631579,402,0,0
/archives/115416,desktop,91,63,1.4444444444444444,72.39682539682539,376,0,0
/archives/115587,desktop,91,77,1.1818181818181819,52.01298701298701,404,0,0
/archives/category/business/sk-enterm,desktop,90,58,1.5517241379310345,11.189655172413794,367,0,0
/archives/10815,mobile,89,59,1.5084745762711864,29.47457627118644,369,0,0
/archives/115353,desktop,89,68,1.3088235294117647,49.73529411764706,346,0,0
/archives/95110,desktop,89,75,1.1866666666666668,47.2,427,0,0
/archives/18301,desktop,88,79,1.1139240506329113,52.41772151898734,470,0,0
/archives/8355,desktop,87,69,1.2608695652173914,62.666666666666664,411,0,0
/archives/84762,desktop,87,74,1.1756756756756757,60.95945945945946,404,0,0
/archives/111387,desktop,85,75,1.1333333333333333,33.626666666666665,418,0,0
/archives/114973,mobile,85,63,1.3492063492063493,68.63492063492063,353,0,0
/archives/113998,desktop,84,73,1.1506849315068493,37.38356164383562,383,0,0
/archives/115517,desktop,84,68,1.2352941176470589,36.294117647058826,337,0,0
/archives/114931,desktop,82,70,1.1714285714285715,33.6,343,0,0
/archives/category/industry-and-insight/inno-column,desktop,82,65,1.2615384615384615,23.692307692307693,309,0,0
/archives/103989,desktop,81,39,2.076923076923077,121.51282051282051,290,0,0
/archives/6688,desktop,81,46,1.7608695652173914,60.17391304347826,366,0,0
/archives/100667,desktop,80,71,1.1267605633802817,61.40845070422535,371,0,0
/archives/107411,mobile,79,75,1.0533333333333332,25.973333333333333,368,0,0
/archives/114632,desktop,78,58,1.3448275862068966,60.793103448275865,380,0,0
/archives/97077,desktop,78,55,1.4181818181818182,40.49090909090909,359,0,0
/archives/115622,desktop,75,66,1.1363636363636365,11.393939393939394,331,0,0
/archives/category/business/sk-innovation,mobile,75,50,1.5,28.76,280,0,0
/archives/107142,mobile,74,63,1.1746031746031746,25.22222222222222,332,0,0
/posts,mobile,74,39,1.8974358974358974,28.923076923076923,274,0,0
/archives/113159,mobile,73,24,3.0416666666666665,51.333333333333336,256,0,0
/archives/111245,desktop,72,71,1.0140845070422535,12.056338028169014,313,0,0
/archives/8482,desktop,72,57,1.263157894736842,39.771929824561404,325,0,0
/archives/114999,mobile,70,58,1.206896551724138,41.13793103448276,305,0,0
/archives/34678,desktop,70,69,1.0144927536231885,54.3768115942029,358,0,0
