# ----------------------------------------
# 보고서 CSV 내보내기
# 계정: SK이노베이션(한글)
# 속성: SK이노베이션 - GA4
# ----------------------------------------
# 
# 모든 사용자
# 시작일: 20240601
# 종료일: 20240630
페이지 경로 및 화면 클래스,조회수,사용자,사용자당 조회수,평균 참여 시간,이벤트 수,주요 이벤트,총 수익
/,3985,1683,2.367795603089721,40.1437908496732,18045,0,0
/archives/category/press/press-release,1807,1564,1.1553708439897699,6.450127877237851,8564,0,0
/archives/115587,1132,1018,1.111984282907662,9.399803536345775,4858,0,0
/archives/32828,890,777,1.1454311454311454,58.83912483912484,4317,0,0
/archives/category/business/sk-on,798,460,1.7347826086956522,38.0195652173913,3402,0,0
/archives/115057,678,602,1.1262458471760797,79.5813953488372,3228,0,0
/archives/113797,542,439,1.234624145785877,64.41685649202734,2612,0,0
/archives/84588,533,445,1.1977528089887641,53.184269662921345,2498,0,0
/archives/96864,527,486,1.0843621399176955,45.39711934156379,2474,0,0
/archives/115558,519,397,1.3073047858942066,44.54911838790932,2168,0,0
/archives/category/business/sk-energy,487,242,2.012396694214876,37.752066115702476,1972,0,0
/posts,450,253,1.7786561264822134,43.683794466403164,1822,0,0
/archives/category/business/sk-innovation,438,260,1.6846153846153846,33.926923076923075,1714,0,0
/archives/114973,434,312,1.391025641025641,71.56089743589743,1964,0,0
/archives/107142,405,337,1.2017804154302671,34.17804154302671,1901,0,0
/archives/49884,345,279,1.2365591397849462,56.02508960573477,1600,0,0
/archives/25596,341,314,1.085987261146497,29.019108280254777,1484,0,0
/archives/115416,340,253,1.3438735177865613,22.474308300395258,1294,0,0
/archives/48028,325,202,1.608910891089109,54.37128712871287,1341,0,0
/archives/category/business,323,183,1.7650273224043715,21.24590163934426,1228,0,0
/archives/113952,322,292,1.1027397260273972,56.78767123287671,1521,0,0
/archives/104002,292,248,1.1774193548387097,55.975806451612904,1402,0,0
/archives/103947,289,232,1.2456896551724137,49.01724137931034,1346,0,0
/archives/61743,289,239,1.209205020920502,62.87029288702929,1369,0,0
/archives/63622,269,250,1.076,44.188,1292,0,0
/archives/114094,241,200,1.205,60.275,1138,0,0
/archives/115537,236,170,1.388235294117647,41.39411764705882,933,0,0
/archives/109462,206,196,1.0510204081632653,34.494897959183675,990,0,0
/archives/48279,201,173,1.1618497109826589,27.797687861271676,948,0,0
/archives/23352,199,187,1.0641711229946524,27.272727272727273,929,0,0
/archives/113159,192,121,1.5867768595041323,56.46280991735537,804,0,0
/archives/category/field-news,179,126,1.4206349206349207,15.682539682539682,710,0,0
/archives/107411,174,167,1.0419161676646707,33.76047904191617,850,0,0
/archives/114999,172,147,1.1700680272108843,39.70068027210884,741,0,0
/archives/category/industry-and-insight,169,111,1.5225225225225225,29.99099099099099,712,0,0
