# ----------------------------------------
# 보고서 CSV 내보내기
# 계정: SK이노베이션(한글)
# 속성: SK이노베이션 - GA4
# ----------------------------------------
# 
# 모든 사용자
# 시작일: 20240606
# 종료일: 20240606
기기 카테고리,페이지 경로 및 화면 클래스,총 사용자,새 사용자 수,조회수
desktop,/archives/category/press/press-release,50,47,53
mobile,/archives/32828,22,22,26
mobile,/archives/113952,16,15,17
desktop,/archives/114973,15,13,14
desktop,/archives/115057,13,13,13
desktop,/,38,12,52
mobile,/archives/96864,12,11,14
mobile,/archives/115057,9,9,10
desktop,/posts,10,8,17
desktop,/archives/84588,7,7,7
desktop,/archives/113797,10,6,13
mobile,/archives/category/business/sk-on,7,6,9
desktop,/archives/103947,7,5,8
desktop,/archives/111387,6,5,6
desktop,/archives/111831,6,5,8
desktop,/archives/48028,7,5,8
desktop,/archives/61743,8,5,9
desktop,/archives/8448,5,5,5
mobile,/,10,5,11
mobile,/archives/63622,5,5,5
desktop,/archives/104002,5,4,6
desktop,/archives/112580,5,4,6
desktop,/archives/32828,4,4,4
desktop,/archives/49884,4,4,4
desktop,/archives/83720,4,4,4
desktop,/archives/96864,4,4,5
mobile,/archives/110055,4,4,4
mobile,/archives/113797,5,4,6
mobile,/archives/16295,5,4,5
desktop,/archives/100159,3,3,3
desktop,/archives/107142,4,3,3
desktop,/archives/10815,3,3,4
desktop,/archives/111245,3,3,3
desktop,/archives/111978,3,3,3
desktop,/archives/37693,4,3,6
desktop,/archives/48279,3,3,3
desktop,/archives/50898,3,3,3
desktop,/archives/category/business/sk-energy,11,3,21
mobile,/archives/103947,3,3,3
mobile,/archives/107142,3,3,3
mobile,/archives/114999,4,3,4
mobile,/archives/49884,3,3,3
mobile,/archives/67904,3,3,3
tablet,/archives/115057,3,3,3
desktop,/archives/10330,2,2,2
desktop,/archives/10557,2,2,2
desktop,/archives/107411,2,2,2
desktop,/archives/107557,4,2,3
desktop,/archives/108736,2,2,2
desktop,/archives/111929,2,2,2
desktop,/archives/114065,4,2,5
desktop,/archives/12929,2,2,2
desktop,/archives/21277,3,2,2
desktop,/archives/21558,2,2,4
desktop,/archives/25711,2,2,2
desktop,/archives/25903,4,2,5
desktop,/archives/33788,2,2,2
desktop,/archives/34678,2,2,2
desktop,/archives/48881,2,2,2
desktop,/archives/61110,2,2,2
desktop,/archives/63622,2,2,2
desktop,/archives/6688,3,2,8
desktop,/archives/9807,2,2,2
desktop,/archives/category/business/sk-enmove,4,2,11
desktop,/archives/tag/sk이노베이션-울산complex,3,2,4
desktop,/archives/tag/액침냉각,2,2,2
mobile,/archives/10330,2,2,2
mobile,/archives/104002,3,2,3
mobile,/archives/107411,2,2,2
mobile,/archives/111406,2,2,2
mobile,/archives/111540,2,2,2
mobile,/archives/111831,2,2,2
mobile,/archives/112908,2,2,2
mobile,/archives/114094,2,2,3
mobile,/archives/15214,2,2,2
mobile,/archives/25579,2,2,2
mobile,/archives/25596,2,2,2
mobile,/archives/25648,2,2,2
mobile,/archives/28782,2,2,2
mobile,/archives/34678,2,2,2
mobile,/archives/45237,2,2,2
mobile,/archives/45433,2,2,2
mobile,/archives/56046,2,2,2
mobile,/archives/57901,2,2,2
mobile,/archives/61743,2,2,2
mobile,/archives/8935,2,2,2
mobile,/archives/9512,2,2,2
mobile,/archives/9782,2,2,2
desktop,/archives/100207,1,1,1
desktop,/archives/100892,1,1,1
desktop,/archives/103092,1,1,1
desktop,/archives/104136,1,1,1
desktop,/archives/104532,1,1,1
desktop,/archives/105651,1,1,1
desktop,/archives/105883,1,1,1
desktop,/archives/106017,1,1,1
desktop,/archives/107388,1,1,1
desktop,/archives/108874,1,1,1
desktop,/archives/108889,1,1,2
desktop,/archives/110055,1,1,3
desktop,/archives/110144,2,1,2
desktop,/archives/110195,1,1,1
