# ----------------------------------------
# 보고서 CSV 내보내기
# 계정: SK이노베이션(한글)
# 속성: SK이노베이션 - GA4
# ----------------------------------------
# 
# 모든 사용자
# 시작일: 20240701
# 종료일: 20240731
페이지 경로 및 화면 클래스,세션 소스,조회수,사용자,사용자당 조회수,평균 참여 시간,이벤트 수,주요 이벤트,총 수익
/archives/115731,(direct),7505,6441,1.1651917404129795,205.9298245614035,33086,0,0
/archives/category/press/press-release,(direct),1731,1541,1.1232965606748864,4.946787800129786,8301,0,0
/,(direct),1626,894,1.8187919463087248,20.475391498881432,7103,0,0
/,google,1624,564,2.879432624113475,37.07446808510638,7230,0,0
/archives/113797,google,765,649,1.1787365177195686,65.53158705701078,3794,0,0
/,naver,695,127,5.47244094488189,103.37795275590551,3034,0,0
/archives/32828,google,689,593,1.1618887015177066,57.711635750421586,3226,0,0
/archives/115731,facebook,657,487,1.3490759753593429,36.26078028747433,2701,0,0
/archives/84588,google,560,463,1.2095032397408207,55.658747300215985,2623,0,0
/archives/114973,google,440,324,1.3580246913580247,72.44444444444444,2009,0,0
/archives/96864,google,423,388,1.0902061855670102,48.05670103092783,1972,0,0
/archives/49884,google,385,300,1.2833333333333334,60.026666666666664,1732,0,0
/archives/115057,google,361,321,1.1246105919003115,59.912772585669785,1739,0,0
/archives/115837,facebook,339,237,1.4303797468354431,7.962025316455696,1346,0,0
/archives/114094,google,330,290,1.1379310344827587,53.179310344827584,1567,0,0
/archives/104002,google,329,267,1.2322097378277153,72.41573033707866,1542,0,0
/archives/category/business/sk-on,google,325,150,2.1666666666666665,37.20666666666666,1335,0,0
/archives/115674,facebook,306,202,1.5148514851485149,28.633663366336634,1185,0,0
/archives/category/business/sk-enterm,google,292,185,1.5783783783783785,11.54054054054054,1296,0,0
/archives/115674,google,287,211,1.3601895734597156,124.8436018957346,1254,0,0
/archives/115731,google,287,230,1.2478260869565216,132.99565217391304,1367,0,0
/archives/115933,facebook,276,219,1.2602739726027397,6.570776255707763,1082,0,0
/posts,(direct),257,149,1.7248322147651007,50.86577181208054,1121,0,0
/,sk-on.com,250,156,1.6025641025641026,20.333333333333332,1167,0,0
/archives/113159,google,225,170,1.3235294117647058,83.41176470588235,1006,0,0
/archives/category/business/sk-on,naver,225,161,1.3975155279503106,37.5527950310559,1039,0,0
/archives/103947,google,223,181,1.2320441988950277,47.23756906077348,1024,0,0
/archives/48028,google,215,154,1.396103896103896,53.922077922077925,947,0,0
/archives/115877,(direct),209,163,1.2822085889570551,34.15950920245399,840,0,0
/archives/112580,google,203,166,1.2228915662650603,66.24096385542168,959,0,0
/archives/111831,google,201,156,1.2884615384615385,55.07692307692308,894,0,0
/archives/category/business/sk-innovation,google,198,132,1.5,18.666666666666668,767,0,0
/archives/115954,facebook,196,159,1.2327044025157232,20.540880503144653,769,0,0
/archives/10815,google,193,159,1.2138364779874213,29.60377358490566,877,0,0
/archives/83720,google,186,167,1.1137724550898203,39.33532934131737,903,0,0
/archives/115727,google,181,122,1.4836065573770492,35.13934426229508,734,0,0
/archives/32685,google,159,144,1.1041666666666667,33.875,780,0,0
/archives/34678,google,158,138,1.144927536231884,42.391304347826086,769,0,0
/archives/114138,google,154,125,1.232,64.224,704,0,0
/archives/114999,google,154,127,1.2125984251968505,26.165354330708663,655,0,0
/archives/115558,facebook,154,128,1.203125,27.4765625,662,0,0
/archives/category/industry-and-insight/basics,google,152,96,1.5833333333333333,29.03125,611,0,0
/archives/category/press/press-release,google,151,92,1.641304347826087,20.25,616,0,0
/archives/111978,google,150,130,1.1538461538461537,22.138461538461538,697,0,0
/archives/115877,google,146,103,1.4174757281553398,48.213592233009706,601,0,0
/archives/107411,google,144,135,1.0666666666666667,51.022222222222226,704,0,0
/archives/98107,google,144,110,1.309090909090909,51.64545454545455,678,0,0
/archives/48279,google,134,108,1.2407407407407407,33.49074074074074,597,0,0
/archives/category/business/sk-innovation,(direct),134,85,1.576470588235294,28.647058823529413,518,0,0
/archives/category/business,google,133,90,1.4777777777777779,14.855555555555556,514,0,0
/archives/114153,google,132,91,1.4505494505494505,52.38461538461539,564,0,0
/archives/111387,enclean.com,131,116,1.1293103448275863,27.801724137931036,649,0,0
/archives/category/business/sk-on,sk-on.com,131,45,2.911111111111111,48.06666666666667,508,0,0
/,skgeocentric.com,128,44,2.909090909090909,34.90909090909091,608,0,0
/archives/113952,google,126,120,1.05,36.791666666666664,608,0,0
/archives/115727,(direct),126,93,1.3548387096774193,34.344086021505376,513,0,0
/,bing,124,26,4.769230769230769,60.61538461538461,555,0,0
/archives/100667,google,123,101,1.2178217821782178,43.91089108910891,564,0,0
/archives/8355,google,122,108,1.1296296296296295,43.101851851851855,579,0,0
/archives/category/business/sk-incheonpetrochem,skincheonpetrochem.com,122,71,1.7183098591549295,19.056338028169016,511,0,0
/archives/category/business,(direct),120,54,2.2222222222222223,23.462962962962962,455,0,0
/posts,google,118,75,1.5733333333333333,18.653333333333332,479,0,0
/archives/110323,google,111,87,1.2758620689655173,53.06896551724138,502,0,0
/archives/category/business/sk-energy,google,109,73,1.4931506849315068,27.575342465753426,445,0,0
/archives/83571,google,107,93,1.1505376344086022,75.61290322580645,486,0,0
/archives/21277,google,106,85,1.2470588235294118,90.05882352941177,472,0,0
/archives/category/business/sk-energy,skenergy.com,106,74,1.4324324324324325,22.243243243243242,481,0,0
/archives/114014,(direct),105,101,1.0396039603960396,1.0594059405940595,425,0,0
/archives/23352,google,105,98,1.0714285714285714,14.693877551020408,493,0,0
/archives/16295,google,103,95,1.0842105263157895,28.673684210526314,462,0,0
/archives/92880,google,103,85,1.2117647058823529,53.63529411764706,440,0,0
/archives/category/industry-and-insight,google,101,62,1.6290322580645162,15.03225806451613,395,0,0
/archives/25903,google,100,83,1.2048192771084338,33.51807228915663,455,0,0
/archives/115674,(direct),99,82,1.2073170731707317,67.64634146341463,419,0,0
/archives/113680,google,96,79,1.2151898734177216,38.177215189873415,430,0,0
/,facebook,95,13,7.3076923076923075,74.84615384615384,356,0,0
/archives/115558,google,94,70,1.3428571428571427,73.6,433,0,0
/archives/45433,google,93,77,1.2077922077922079,58.45454545454545,428,0,0
/archives/category/business/sk-on,(direct),93,49,1.8979591836734695,28.632653061224488,360,0,0
/archives/28782,google,88,81,1.0864197530864197,37.370370370370374,433,0,0
/archives/63622,google,88,83,1.0602409638554218,37.46987951807229,431,0,0
/archives/95110,google,88,71,1.2394366197183098,38.23943661971831,375,0,0
/archives/114773,google,86,70,1.2285714285714286,40.02857142857143,392,0,0
/archives/115727,naver,86,76,1.131578947368421,83.19736842105263,378,0,0
/archives/51077,google,85,72,1.1805555555555556,40.416666666666664,413,0,0
/archives/112418,google,84,79,1.0632911392405062,23.962025316455698,333,0,0
