# ----------------------------------------
# 보고서 CSV 내보내기
# 계정: SK이노베이션(한글)
# 속성: SK이노베이션 - GA4
# ----------------------------------------
# 
# 모든 사용자
# 시작일: 20240701
# 종료일: 20240731
페이지 경로 및 화면 클래스,기기 카테고리,조회수,사용자,사용자당 조회수,평균 참여 시간,이벤트 수,주요 이벤트,총 수익
/archives/115731,mobile,7535,6409,1.1756904353253237,186.07005773131533,32607,0,0
/,desktop,4261,1664,2.5606971153846154,34.01622596153846,19064,0,0
/archives/category/press/press-release,desktop,2024,1671,1.211250748055057,6.739078396169958,9478,0,0
/archives/115731,desktop,1151,913,1.2606790799561884,206.50492880613362,5648,0,0
/,mobile,827,366,2.259562841530055,25.775956284153004,3398,0,0
/archives/113797,desktop,679,564,1.2039007092198581,68.06914893617021,3408,0,0
/archives/32828,mobile,667,568,1.1742957746478873,44.91901408450704,3088,0,0
/archives/category/business/sk-on,desktop,624,286,2.1818181818181817,40.26223776223776,2580,0,0
/archives/84588,desktop,508,415,1.2240963855421687,56.7855421686747,2402,0,0
/archives/115674,desktop,459,334,1.374251497005988,117.32335329341318,1996,0,0
/archives/115674,mobile,445,300,1.4833333333333334,28.276666666666667,1739,0,0
/posts,desktop,410,228,1.7982456140350878,46.07017543859649,1744,0,0
/archives/category/business/sk-innovation,desktop,395,232,1.7025862068965518,24.599137931034484,1575,0,0
/archives/115877,desktop,386,265,1.4566037735849056,55.54716981132076,1605,0,0
/archives/114973,desktop,377,275,1.3709090909090909,84.14181818181818,1768,0,0
/archives/96864,mobile,344,311,1.1061093247588425,46.27009646302251,1577,0,0
/archives/category/business,desktop,331,190,1.7421052631578948,18.894736842105264,1287,0,0
/archives/115727,desktop,330,240,1.375,45.875,1383,0,0
/archives/104002,desktop,326,250,1.304,73.584,1499,0,0
/archives/115837,mobile,318,249,1.2771084337349397,6.791164658634538,1265,0,0
/archives/category/business/sk-enterm,desktop,290,181,1.6022099447513811,12.651933701657459,1270,0,0
/archives/49884,desktop,285,220,1.2954545454545454,67.67727272727272,1326,0,0
/archives/115933,mobile,283,221,1.2805429864253393,8.44343891402715,1092,0,0
/archives/category/business/sk-energy,desktop,279,182,1.532967032967033,24.75824175824176,1179,0,0
/archives/category/industry-and-insight/basics,desktop,263,160,1.64375,33.44375,1051,0,0
/archives/115057,desktop,257,223,1.1524663677130045,57.300448430493276,1267,0,0
/archives/category/business/sk-on,mobile,232,172,1.3488372093023255,29.046511627906977,1028,0,0
/archives/category/industry-and-insight,desktop,229,172,1.3313953488372092,20.680232558139537,933,0,0
/archives/103947,desktop,225,180,1.25,49.2,1043,0,0
/archives/category/field-news,desktop,208,157,1.3248407643312101,13.700636942675159,853,0,0
/archives/115837,desktop,206,132,1.5606060606060606,46.59848484848485,827,0,0
/archives/115954,mobile,198,158,1.2531645569620253,20.727848101265824,758,0,0
/archives/114094,desktop,197,171,1.152046783625731,57.74269005847953,950,0,0
/archives/115558,desktop,192,138,1.391304347826087,50.65942028985507,862,0,0
/archives/115558,mobile,181,140,1.292857142857143,31.57857142857143,728,0,0
/archives/111831,desktop,180,144,1.25,60.979166666666664,813,0,0
/archives/115057,mobile,177,162,1.0925925925925926,57.9320987654321,815,0,0
/archives/112580,desktop,174,150,1.16,64.94666666666667,840,0,0
/archives/115731,tablet,173,143,1.2097902097902098,228.12587412587413,754,0,0
/archives/113159,desktop,171,138,1.2391304347826086,88.52173913043478,801,0,0
/archives/113797,mobile,168,147,1.1428571428571428,54.006802721088434,763,0,0
/archives/category/business/sk-geo-centric,desktop,168,77,2.1818181818181817,42.09090909090909,671,0,0
/archives/category/press,desktop,167,106,1.5754716981132075,14.38679245283019,662,0,0
/archives/115727,mobile,162,122,1.3278688524590163,49.14754098360656,647,0,0
/archives/115817,desktop,162,123,1.3170731707317074,25.577235772357724,661,0,0
/archives/96864,desktop,162,151,1.0728476821192052,66.04635761589404,790,0,0
/archives/114999,desktop,158,120,1.3166666666666667,26.55,678,0,0
/archives/114138,desktop,157,121,1.2975206611570247,77.01652892561984,701,0,0
/archives/category/industry-and-insight/inno-column,desktop,154,106,1.4528301886792452,20.87735849056604,597,0,0
/archives/115779,desktop,151,107,1.411214953271028,48.42056074766355,617,0,0
/archives/category/business/sk-enmove,desktop,148,79,1.8734177215189873,22.670886075949365,625,0,0
/archives/114094,mobile,147,128,1.1484375,47.4765625,672,0,0
/archives/32828,desktop,145,132,1.0984848484848484,107.21969696969697,744,0,0
/archives/10815,mobile,144,113,1.2743362831858407,26.530973451327434,614,0,0
/archives/114153,desktop,141,93,1.5161290322580645,49.236559139784944,590,0,0
/archives/48028,desktop,141,115,1.2260869565217392,60.59130434782609,672,0,0
/archives/category/field-news/inno-people,desktop,140,88,1.5909090909090908,30.852272727272727,556,0,0
/archives/49884,mobile,138,115,1.2,48.89565217391304,596,0,0
/archives/98107,desktop,137,102,1.3431372549019607,56.568627450980394,655,0,0
/archives/83720,desktop,127,112,1.1339285714285714,37.50892857142857,624,0,0
/archives/115258,desktop,121,68,1.7794117647058822,53.73529411764706,487,0,0
/archives/100667,desktop,120,100,1.2,47.19,569,0,0
/archives/111978,desktop,119,101,1.1782178217821782,25.821782178217823,568,0,0
/archives/107411,desktop,117,112,1.0446428571428572,108.76785714285714,561,0,0
/archives/115877,mobile,117,70,1.6714285714285715,43.42857142857143,407,0,0
/archives/category/business/sk-incheonpetrochem,desktop,117,62,1.8870967741935485,28.419354838709676,494,0,0
/archives/110323,desktop,111,83,1.3373493975903614,55.10843373493976,494,0,0
/archives/48279,desktop,111,88,1.2613636363636365,38.82954545454545,506,0,0
/archives/8355,desktop,111,93,1.1935483870967742,47.333333333333336,526,0,0
/archives/34678,desktop,107,100,1.07,47.48,541,0,0
/archives/114973,mobile,105,87,1.206896551724138,39.172413793103445,414,0,0
/archives/category/field-news/inno-field,desktop,105,88,1.1931818181818181,14.306818181818182,430,0,0
/archives/115537,desktop,104,84,1.2380952380952381,40.23809523809524,429,0,0
/archives/111387,desktop,103,94,1.0957446808510638,30.904255319148938,536,0,0
/archives/114014,mobile,103,101,1.0198019801980198,1.5643564356435644,417,0,0
/archives/115706,desktop,103,80,1.2875,39.225,430,0,0
/archives/115933,desktop,102,72,1.4166666666666667,43.30555555555556,412,0,0
/archives/84588,mobile,101,93,1.086021505376344,40.236559139784944,453,0,0
