# ----------------------------------------
# 보고서 CSV 내보내기
# 계정: SK이노베이션(한글)
# 속성: SK이노베이션 - GA4
# ----------------------------------------
# 
# 모든 사용자
# 시작일: 20240730
# 종료일: 20240730
기기 카테고리,페이지 경로 및 화면 클래스,총 사용자,새 사용자 수,조회수
desktop,/archives/category/press/press-release,63,48,77
desktop,/,91,40,179
desktop,/archives/113797,21,18,28
mobile,/archives/32828,14,14,17
desktop,/archives/83720,11,11,12
desktop,/archives/84588,13,10,15
mobile,/archives/107411,8,8,9
desktop,/archives/81784,6,6,9
mobile,/archives/96864,6,6,6
desktop,/archives/104002,8,5,9
desktop,/archives/114138,8,5,10
desktop,/archives/115877,10,5,18
desktop,/archives/32828,5,5,5
desktop,/archives/49884,5,5,5
desktop,/archives/63622,5,5,5
desktop,/archives/78785,5,5,6
desktop,/archives/83571,8,5,6
desktop,/archives/100667,7,4,7
desktop,/archives/110323,5,4,8
desktop,/archives/113159,6,4,9
desktop,/archives/114973,5,4,5
desktop,/archives/8355,4,4,4
desktop,/archives/96864,4,4,4
desktop,/archives/98822,5,4,6
desktop,/archives/category/business/sk-enterm,5,4,10
desktop,/posts,15,4,22
mobile,/archives/10815,6,4,6
mobile,/archives/113159,4,4,4
mobile,/archives/113797,4,4,5
mobile,/archives/83720,4,4,4
desktop,/archives/111406,5,3,5
desktop,/archives/113680,4,3,4
desktop,/archives/114094,3,3,3
desktop,/archives/114999,6,3,6
desktop,/archives/115622,5,3,6
desktop,/archives/115731,5,3,5
desktop,/archives/15214,5,3,5
desktop,/archives/19961,3,3,3
desktop,/archives/45433,4,3,4
desktop,/archives/48279,3,3,3
desktop,/archives/99361,3,3,3
desktop,/archives/category/business/sk-on,19,3,33
desktop,/archives/category/social-news,3,3,3
desktop,/archives/tag/sk경영경제연구소,3,3,4
mobile,/archives/111387,3,3,3
mobile,/archives/112908,3,3,4
mobile,/archives/115731,3,3,3
mobile,/archives/21215,3,3,3
mobile,/archives/51077,3,3,3
mobile,/archives/90311,4,3,7
mobile,/archives/9512,3,3,3
desktop,/archives/101143,3,2,3
desktop,/archives/103803,2,2,2
desktop,/archives/104517,3,2,3
