# ----------------------------------------
# 보고서 CSV 내보내기
# 계정: SK이노베이션(한글)
# 속성: SK이노베이션 - GA4
# ----------------------------------------
# 
# 모든 사용자
# 시작일: 20240908
# 종료일: 20240908
기기 카테고리,페이지 경로 및 화면 클래스,총 사용자,새 사용자 수,조회수
mobile,/archives/116483,39,35,40
mobile,/archives/32828,35,35,37
desktop,/archives/category/press/press-release,34,32,36
mobile,/archives/96864,19,19,19
desktop,/,20,14,25
desktop,/archives/115674,17,11,22
desktop,/archives/115057,11,10,10
desktop,/archives/84588,12,9,12
desktop,/archives/113797,10,7,13
desktop,/archives/114973,8,7,9
mobile,/archives/16295,7,7,7
desktop,/archives/115731,6,6,6
desktop,/archives/111831,6,5,8
desktop,/archives/111978,5,5,5
desktop,/archives/32828,5,5,5
mobile,/archives/114094,5,5,5
desktop,/archives/113159,6,4,5
desktop,/archives/114094,4,4,4
desktop,/archives/78553,4,4,6
desktop,/archives/97077,4,4,4
desktop,/archives/98107,5,4,6
mobile,/archives/111387,5,4,5
mobile,/archives/115057,4,4,6
mobile,/archives/115731,5,4,5
mobile,/archives/83720,4,4,4
desktop,/archives/111540,3,3,3
desktop,/archives/33788,4,3,8
desktop,/archives/34678,3,3,3
desktop,/archives/35072,3,3,4
desktop,/archives/48028,4,3,5
desktop,/archives/49884,4,3,3
desktop,/archives/83065,3,3,3
desktop,/archives/8502,3,3,3
desktop,/posts,3,3,6
mobile,/,7,3,12
mobile,/archives/104002,3,3,3
mobile,/archives/108755,5,3,5
mobile,/archives/113952,3,3,3
mobile,/archives/115674,3,3,3
mobile,/archives/24588,3,3,4
mobile,/archives/67904,3,3,3
mobile,/archives/90393,3,3,3
desktop,/archives/100851,3,2,3
desktop,/archives/10557,2,2,2
desktop,/archives/114483,2,2,2
desktop,/archives/115877,3,2,2
desktop,/archives/24588,2,2,2
desktop,/archives/25579,2,2,2
desktop,/archives/48881,2,2,3
desktop,/archives/59030,2,2,2
desktop,/archives/61743,3,2,3
desktop,/archives/63622,2,2,2
desktop,/archives/8544,2,2,2
desktop,/archives/8935,2,2,2
desktop,/archives/97461,2,2,2
desktop,/archives/98215,2,2,4
mobile,/archives/111540,2,2,2
mobile,/archives/113159,2,2,2
mobile,/archives/114138,2,2,2
mobile,/archives/115971,2,2,2
mobile,/archives/115988,2,2,2
mobile,/archives/116515,3,2,4
mobile,/archives/22283,2,2,2
mobile,/archives/28782,2,2,2
mobile,/archives/49884,2,2,2
mobile,/archives/63622,2,2,2
mobile,/archives/84588,2,2,2
mobile,/archives/85006,3,2,3
mobile,/archives/9512,2,2,2
desktop,/archives/100061,2,1,1
desktop,/archives/101202,1,1,1
desktop,/archives/102004,1,1,3
desktop,/archives/103947,1,1,3
desktop,/archives/105707,1,1,1
desktop,/archives/105770,1,1,2
desktop,/archives/105914,1,1,1
desktop,/archives/10815,1,1,1
desktop,/archives/108498,1,1,1
desktop,/archives/108563,1,1,2
desktop,/archives/109090,1,1,1
desktop,/archives/109118,1,1,1
desktop,/archives/109571,1,1,1
desktop,/archives/10963,1,1,2
desktop,/archives/110055,1,1,1
desktop,/archives/110144,1,1,2
desktop,/archives/110237,1,1,1
desktop,/archives/110323,2,1,3
desktop,/archives/110959,1,1,1
desktop,/archives/111245,1,1,1
desktop,/archives/111387,2,1,2
desktop,/archives/111435,1,1,1
desktop,/archives/111495,1,1,1
desktop,/archives/112024,1,1,1
desktop,/archives/112345,1,1,1
desktop,/archives/112995,1,1,1
desktop,/archives/113099,1,1,1
desktop,/archives/113297,1,1,1
desktop,/archives/113475,1,1,1
desktop,/archives/113680,1,1,1
desktop,/archives/113952,1,1,1
desktop,/archives/114065,2,1,3
desktop,/archives/114138,2,1,2
desktop,/archives/114309,1,1,2
desktop,/archives/115249,1,1,1
desktop,/archives/115371,1,1,2
desktop,/archives/115394,1,1,1
desktop,/archives/115537,2,1,2
desktop,/archives/115558,1,1,1
desktop,/archives/115988,3,1,3
desktop,/archives/116437,3,1,2
desktop,/archives/12929,1,1,1
desktop,/archives/13682,1,1,1
desktop,/archives/14136,1,1,2
desktop,/archives/17876,1,1,1
desktop,/archives/18301,1,1,1
desktop,/archives/19961,1,1,1
desktop,/archives/20706,1,1,1
desktop,/archives/21277,1,1,1
desktop,/archives/21354,1,1,1
desktop,/archives/21573,2,1,1
desktop,/archives/22283,1,1,1
desktop,/archives/22310,1,1,1
desktop,/archives/23515,1,1,1
desktop,/archives/23662,1,1,1
desktop,/archives/26029,1,1,2
desktop,/archives/27705,1,1,1
desktop,/archives/27825,1,1,1
desktop,/archives/28520,1,1,1
desktop,/archives/29535,1,1,1
desktop,/archives/30647,1,1,1
desktop,/archives/33962,1,1,1
desktop,/archives/34111,1,1,1
desktop,/archives/34669,1,1,1
desktop,/archives/36253,1,1,1
desktop,/archives/37759,1,1,1
desktop,/archives/38114,1,1,1
desktop,/archives/38706,1,1,1
desktop,/archives/48279,2,1,2
desktop,/archives/51077,1,1,1
desktop,/archives/51614,1,1,1
desktop,/archives/53520,1,1,1
desktop,/archives/53791,1,1,1
desktop,/archives/57901,1,1,1
desktop,/archives/60291,1,1,1
desktop,/archives/62220,1,1,1
desktop,/archives/62375,1,1,1
desktop,/archives/63101,1,1,1
