# ----------------------------------------
# 보고서 CSV 내보내기
# 계정: skinno global
# 속성: skinno 글로벌 - GA4
# ----------------------------------------
# 
# 모든 사용자
# 시작일: 20240401
# 종료일: 20240430
페이지 경로 및 화면 클래스,세션 기본 채널 그룹,조회수,세션수,사용자,사용자당 조회수,평균 참여 시간,이벤트 수,주요 이벤트,총 수익
/global/archives/17817,Paid Search,2490,2246,1215,2.049382716049383,2.1843621399176953,8359,0,0
/global/,Direct,395,316,255,1.5490196078431373,12.623529411764705,1665,0,0
/global/archives/17990,Paid Search,388,314,294,1.3197278911564625,1.5442176870748299,1432,0,0
/global/,Organic Search,387,270,193,2.005181347150259,21.95336787564767,1575,0,0
/global/archives/category/press-room/financial-results,Organic Search,358,150,121,2.958677685950413,32.99173553719008,1433,0,0
/global/archives/17817,Direct,315,256,215,1.4651162790697674,28.42325581395349,1177,0,0
/global/archives/category/press-room/press-release,Direct,303,287,223,1.358744394618834,5.8923766816143495,1183,0,0
/global/,Referral,272,222,147,1.8503401360544218,27.238095238095237,1153,0,0
/global/latestnews,Direct,244,219,102,2.392156862745098,38.705882352941174,916,0,0
/global/archives/17426,Organic Search,237,193,135,1.7555555555555555,56.28148148148148,990,0,0
/global/archives/17950,Direct,195,184,152,1.2828947368421053,16.019736842105264,792,0,0
/global/archives/category/corporates/sk-on,Direct,168,97,43,3.9069767441860463,109.13953488372093,589,0,0
/global/archives/17216,Organic Search,142,159,128,1.109375,34.8515625,652,0,0
/global/archives/category/press-room/press-release,Organic Search,142,123,81,1.7530864197530864,24.358024691358025,564,0,0
/global/archives/6216,Organic Search,121,127,94,1.2872340425531914,59.4468085106383,559,0,0
/global/archives/category/corporates/sk-on,Organic Search,121,86,73,1.6575342465753424,18.493150684931507,485,0,0
/global/archives/17950,Organic Social,111,113,100,1.11,9.3,475,0,0
/global/archives/16463,Organic Search,110,116,96,1.1458333333333333,26.625,519,0,0
/global/archives/15374,Organic Search,106,109,65,1.6307692307692307,46.16923076923077,457,0,0
/global/archives/17990,Direct,100,81,71,1.408450704225352,20.943661971830984,370,0,0
/global/archives/17499,Paid Search,99,92,14,7.071428571428571,1.5,295,0,0
/global/archives/17737,Direct,92,45,16,5.75,74.9375,272,0,0
/global/archives/15490,Organic Search,90,93,77,1.1688311688311688,35.81818181818182,410,0,0
/global/latestnews,Organic Search,89,77,45,1.9777777777777779,31.066666666666666,335,0,0
