# ----------------------------------------
# 보고서 CSV 내보내기
# 계정: skinno global
# 속성: skinno 글로벌 - GA4
# ----------------------------------------
# 
# 모든 사용자
# 시작일: 20240401
# 종료일: 20240430
페이지 경로 및 화면 클래스,국가,조회수,세션수,사용자,사용자당 조회수,평균 참여 시간,이벤트 수,주요 이벤트,총 수익
/global/archives/17817,India,2451,2202,1172,2.0912969283276452,2.726962457337884,8170,0,0
/global/,South Korea,395,296,154,2.564935064935065,20.92207792207792,1622,0,0
/global/archives/17990,France,290,223,207,1.4009661835748792,4.51207729468599,1056,0,0
/global/archives/17817,Italy,212,180,155,1.367741935483871,4.974193548387097,768,0,0
/global/archives/category/press-room/press-release,France,197,196,193,1.0207253886010363,1.2279792746113989,785,0,0
/global/,United States,127,72,56,2.267857142857143,30.303571428571427,554,0,0
/global/archives/17950,United States,125,127,109,1.146788990825688,13.357798165137615,529,0,0
/global/,United Kingdom,116,116,114,1.0175438596491229,5.105263157894737,499,0,0
/global/archives/17990,Germany,104,93,90,1.1555555555555554,1.0666666666666667,401,0,0
/global/archives/17499,India,103,96,16,6.4375,3,312,0,0
/global/archives/17737,South Korea,103,58,22,4.681818181818182,12.227272727272727,319,0,0
/global/archives/category/corporates/sk-on,Japan,100,67,12,8.333333333333334,25.166666666666668,363,0,0
/global/archives/17950,South Korea,98,87,64,1.53125,13.59375,381,0,0
/global/archives/category/press-room/financial-results,India,93,36,32,2.90625,36.0625,373,0,0
/global/,China,88,77,51,1.7254901960784315,32.3921568627451,338,0,0
/global/archives/category/press-room/press-release,Japan,87,75,14,6.214285714285714,61.642857142857146,328,0,0
/global/archives/category/press-room/financial-results,United States,82,39,32,2.5625,36.96875,339,0,0
/global/archives/category/insight/trend_report,China,79,32,32,2.46875,127.34375,242,0,0
/global/archives/category/corporates/sk-on,China,76,34,33,2.303030303030303,138.96969696969697,260,0,0
/global/latestnews,South Korea,75,60,25,3,23.52,275,0,0
/global/latestnews,Germany,74,71,4,18.5,33,222,0,0
/global/archives/17426,United States,73,59,46,1.5869565217391304,30.043478260869566,312,0,0
/global/archives/16463,United States,71,76,64,1.109375,26.453125,343,0,0
/global/,India,69,60,42,1.6428571428571428,20.166666666666668,284,0,0
/global/archives/17817,South Korea,69,51,30,2.3,12.466666666666667,243,0,0
/global/latestnews,China,69,66,62,1.1129032258064515,41.483870967741936,290,0,0
/global/archives/category/press-room/press-release,India,67,60,33,2.0303030303030303,24.96969696969697,257,0,0
/global/archives/17426,India,63,56,35,1.8,77.28571428571429,264,0,0
/global/,Japan,58,38,27,2.1481481481481484,24.555555555555557,248,0,0
/global/archives/category/press-room/press-release,South Korea,56,40,23,2.4347826086956523,32.69565217391305,218,0,0
/global/archives/17990,South Korea,54,38,27,2,34.96296296296296,197,0,0
/global/archives/18022,South Korea,53,44,27,1.962962962962963,20.77777777777778,190,0,0
/global/latestnews,United States,53,50,17,3.1176470588235294,35.88235294117647,202,0,0
/global/archives/9910,Malaysia,52,51,36,1.4444444444444444,56,226,0,0
/global/archives/17863,South Korea,51,46,35,1.457142857142857,14.142857142857142,186,0,0
/global/archives/17216,United States,50,56,45,1.1111111111111112,40.82222222222222,227,0,0
/global/archives/17893,South Korea,49,43,25,1.96,12.08,182,0,0
/global/archives/category/corporates/sk-geo-centric,China,47,25,25,1.88,119.44,157,0,0
/global/archives/17965,United States,46,46,42,1.0952380952380953,35.42857142857143,197,0,0
/global/archives/17950,India,44,44,28,1.5714285714285714,29.107142857142858,179,0,0
/global/,Germany,43,29,25,1.72,11.96,167,0,0
/global/archives/6216,United States,43,42,33,1.303030303030303,92.78787878787878,195,0,0
/global/archives/17817,United States,42,46,39,1.0769230769230769,26.05128205128205,194,0,0
/global/archives/15374,South Korea,41,42,21,1.9523809523809523,30.61904761904762,170,0,0
/global/archives/category/press-room/financial-results,Japan,41,19,15,2.7333333333333334,26.666666666666668,163,0,0
/global/archives/category/press-room/financial-results,China,40,15,12,3.3333333333333335,27.75,130,0,0
/global/archives/10774,United States,39,42,35,1.1142857142857143,43.34285714285714,187,0,0
/global/archives/17216,South Korea,39,38,34,1.1470588235294117,13.058823529411764,161,0,0
/global/archives/10774,South Korea,38,37,21,1.8095238095238095,78.85714285714286,162,0,0
