# ----------------------------------------
# 보고서 CSV 내보내기
# 계정: skinno global
# 속성: skinno 글로벌 - GA4
# ----------------------------------------
# 
# 모든 사용자
# 시작일: 20240601
# 종료일: 20240630
페이지 경로 및 화면 클래스,세션 새채널그룹,조회수,사용자,사용자당 조회수,평균 참여 시간,이벤트 수,주요 이벤트,총 수익
/global/archives/18140,Paid Search,652,185,3.5243243243243243,1.1243243243243244,2002,0,0
/global/,Organic Search,399,184,2.1684782608695654,37.09782608695652,1683,0,0
/global/,Direct,342,220,1.5545454545454545,13.204545454545455,1450,0,0
/global/archives/18283,Paid Search,278,230,1.208695652173913,2.734782608695652,1021,0,0
/global/archives/category/press-room/financial-results,Organic Search,277,103,2.6893203883495147,29.75728155339806,1089,0,0
/global/archives/18283,Direct,269,217,1.23963133640553,30.658986175115206,1140,0,0
/global/archives/category/press-room/press-release,Direct,269,205,1.3121951219512196,4.131707317073171,1050,0,0
/global/latestnews,Direct,256,214,1.1962616822429906,25.257009345794394,985,0,0
/global/,Referral,209,112,1.8660714285714286,24.8125,892,0,0
/global/archives/17426,Organic Search,207,124,1.6693548387096775,61.395161290322584,901,0,0
/global/latestnews,Organic Search,145,33,4.393939393939394,23.21212121212121,424,0,0
/global/archives/18283,Referral,140,106,1.320754716981132,39.22641509433962,624,0,0
/global/archives/18283,Organic Search,125,88,1.4204545454545454,48.875,510,0,0
/global/archives/17216,Organic Search,113,92,1.2282608695652173,43.90217391304348,515,0,0
/global/archives/15374,Organic Search,103,79,1.3037974683544304,47.11392405063291,458,0,0
/global/archives/18065,Organic Search,102,70,1.457142857142857,40.15714285714286,430,0,0
/global/archives/6216,Organic Search,87,70,1.2428571428571429,75.44285714285714,410,0,0
/global/archives/18107,Organic Search,86,75,1.1466666666666667,89.48,405,0,0
/global/archives/category/corporates/sk-on,Organic Search,85,50,1.7,27.22,335,0,0
/global/archives/18283,Organic Social,81,65,1.2461538461538462,30.43076923076923,356,0,0
/global/archives/category/press-room/press-release,Organic Search,79,55,1.4363636363636363,24.036363636363635,318,0,0
/global/archives/15664,Organic Search,75,60,1.25,31.566666666666666,340,0,0
/global/archives/15490,Organic Search,71,62,1.1451612903225807,73.04838709677419,330,0,0
/global/archives/category/corporates/sk-innovation,Organic Search,71,54,1.3148148148148149,12.074074074074074,271,0,0
/global/archives/3820,Organic Search,70,43,1.627906976744186,46.69767441860465,299,0,0
/global/archives/13780,Organic Search,68,39,1.7435897435897436,40.64102564102564,291,0,0
/global/archives/18361,Direct,67,66,1.0151515151515151,10.93939393939394,286,0,0
/global/archives/12022,Organic Search,66,56,1.1785714285714286,25.428571428571427,308,0,0
/global/archives/16463,Organic Search,64,57,1.1228070175438596,38.666666666666664,293,0,0
/global/archives/17499,Organic Search,63,55,1.1454545454545455,97.12727272727273,298,0,0
/global/archives/category/corporates,Organic Search,63,43,1.4651162790697674,11.069767441860465,241,0,0
/global/archives/17817,Paid Search,61,12,5.083333333333333,1.0833333333333333,179,0,0
/global/archives/10774,Organic Search,57,44,1.2954545454545454,37.79545454545455,250,0,0
/global/archives/9910,Organic Search,54,41,1.3170731707317074,72.21951219512195,258,0,0
/global/archives/16834,Organic Search,53,45,1.1777777777777778,32.955555555555556,238,0,0
/global/archives/18361,Organic Search,51,43,1.186046511627907,35.44186046511628,203,0,0
/global/archives/category/press-room,Organic Search,49,40,1.225,22.95,195,0,0
/global/archives/18301,Organic Social,47,35,1.3428571428571427,26.6,190,0,0
/global/archives/7245,Direct,47,47,1,4.382978723404255,192,0,0
/global/archives/17623,Organic Search,45,34,1.3235294117647058,29.176470588235293,204,0,0
/global/archives/17169,Organic Search,44,33,1.3333333333333333,35.15151515151515,194,0,0
/global/archives/18140,Direct,44,31,1.4193548387096775,129.8709677419355,161,0,0
/global/archives/16532,Organic Search,43,34,1.2647058823529411,28.08823529411765,170,0,0
/global/archives/15687,Organic Search,42,34,1.2352941176470589,32.14705882352941,182,0,0
/global/archives/7445,Organic Search,42,23,1.826086956521739,52.17391304347826,165,0,0
/global/archives/12106,Organic Search,41,31,1.3225806451612903,47.25806451612903,182,0,0
/global/archives/12306,Organic Search,41,29,1.4137931034482758,34.96551724137931,175,0,0
/global/sustainability-report,Organic Search,41,31,1.3225806451612903,12.935483870967742,196,0,0
/global/archives/13521,Organic Search,39,34,1.1470588235294117,47.911764705882355,187,0,0
/global/archives/category/corporate/sk-on,Direct,39,4,9.75,44.5,153,0,0
/global/archives/14491,Organic Search,38,29,1.3103448275862069,33.3448275862069,174,0,0
/global/archives/category/press-room/financial-results,Direct,37,13,2.8461538461538463,21.076923076923077,147,0,0
/global/archives/17426,Direct,35,19,1.8421052631578947,28.05263157894737,133,0,0
/global/archives/category/insight,Organic Search,35,15,2.3333333333333335,15.266666666666667,132,0,0
/global/archives/category/insight/trend_report,Organic Search,35,24,1.4583333333333333,16.708333333333332,137,0,0
/global/archives/category/press-room,Referral,34,18,1.8888888888888888,26.72222222222222,126,0,0
/global/archives/17595,Organic Search,33,28,1.1785714285714286,32.75,129,0,0
/global/archives/18065,Direct,33,18,1.8333333333333333,118.66666666666667,120,0,0
/global/archives/12274/skee,Organic Search,32,21,1.5238095238095237,24.19047619047619,155,0,0
/global/archives/category/corporates/sk-on,Direct,32,12,2.6666666666666665,24.916666666666668,120,0,0
/global/archives/10939,Organic Search,31,25,1.24,44.72,136,0,0
/global/archives/17356,Organic Search,31,20,1.55,50.9,133,0,0
/global/archives/14634,Organic Search,30,29,1.0344827586206897,46.758620689655174,151,0,0
/global/archives/category/press-room/financial-results,Referral,30,12,2.5,26.583333333333332,113,0,0
/global/archives/17216,Direct,29,25,1.16,36.24,114,0,0
/global/archives/17950,Organic Search,29,23,1.2608695652173914,52.47826086956522,117,0,0
/global/archives/category/corporates/sk-on,Referral,29,18,1.6111111111111112,20.11111111111111,110,0,0
/global/archives/18167,Direct,28,21,1.3333333333333333,115.19047619047619,107,0,0
/global/archives/category/corporate/sk-on,Organic Search,28,21,1.3333333333333333,35.76190476190476,127,0,0
/global/archives/16376,Organic Search,27,22,1.2272727272727273,24.181818181818183,120,0,0
/global/archives/7961,Organic Search,27,10,2.7,42.3,111,0,0
/global/archives/11807,Organic Search,26,24,1.0833333333333333,25.375,127,0,0
/global/archives/13595,Organic Search,26,23,1.1304347826086956,31.652173913043477,116,0,0
/global/archives/12008,Organic Search,25,8,3.125,17.625,89,0,0
/global/archives/12106,Direct,25,10,2.5,68.8,89,0,0
/global/archives/12220,Organic Search,25,20,1.25,56.6,120,0,0
/global/archives/14766,Organic Search,25,19,1.3157894736842106,28.263157894736842,103,0,0
/global/archives/6807,Organic Search,25,20,1.25,27.7,109,0,0
/global/archives/822,Organic Search,25,19,1.3157894736842106,95.36842105263158,113,0,0
/global/archives/category/corporate/sk-enterm,Organic Search,25,17,1.4705882352941178,6.0588235294117645,111,0,0
/global/archives/10985,Organic Search,24,18,1.3333333333333333,24.055555555555557,113,0,0
/global/archives/11161,Organic Search,24,17,1.411764705882353,89.82352941176471,108,0,0
/global/archives/15937,Organic Search,24,15,1.6,74.33333333333333,92,0,0
/global/archives/16060,Organic Search,24,18,1.3333333333333333,37.666666666666664,107,0,0
/global/archives/17990,Organic Search,24,21,1.1428571428571428,58.714285714285715,111,0,0
/global/archives/18374,Direct,24,17,1.411764705882353,23.705882352941178,90,0,0
/global/archives/3393,Organic Search,24,22,1.0909090909090908,56.59090909090909,111,0,0
/global/archives/category/corporates/sk-energy,Organic Search,24,22,1.0909090909090908,9.181818181818182,83,0,0
/global/archives/category/insight,Direct,24,20,1.2,15.1,100,0,0
/global/archives/category/insight/trend_report,Direct,24,8,3,33,80,0,0
/global/archives/tag/sko,Organic Search,24,21,1.1428571428571428,15.80952380952381,112,0,0
/global/archives/1058,Organic Search,23,17,1.3529411764705883,28.235294117647058,104,0,0
/global/archives/16480,Organic Search,23,15,1.5333333333333334,38.06666666666667,86,0,0
/global/archives/18107,Direct,23,17,1.3529411764705883,143.41176470588235,86,0,0
/global/archives/9548,Organic Search,23,19,1.2105263157894737,20.94736842105263,104,0,0
/global/archives/category/corporates/sk-enmove,Organic Search,23,18,1.2777777777777777,29.055555555555557,92,0,0
/global/archives/category/people/inno-people,Organic Search,23,18,1.2777777777777777,14.88888888888889,88,0,0
/global/sustainability-report,Direct,23,23,1,0,92,0,0
/global/archives/11087,Organic Search,22,21,1.0476190476190477,27.523809523809526,111,0,0
/global/archives/11853,Organic Search,22,20,1.1,41.55,94,0,0
/global/archives/15462,Organic Search,22,19,1.1578947368421053,39.1578947368421,100,0,0
