# ----------------------------------------
# 보고서 CSV 내보내기
# 계정: skinno global
# 속성: skinno 글로벌 - GA4
# ----------------------------------------
# 
# 모든 사용자
# 시작일: 20240601
# 종료일: 20240630
페이지 경로 및 화면 클래스,조회수,사용자,사용자당 조회수,평균 참여 시간,이벤트 수,주요 이벤트,총 수익
/global/,972,513,1.894736842105263,24.658869395711502,4101,0,0
/global/archives/18283,895,698,1.2822349570200573,25.38538681948424,3658,0,0
/global/archives/18140,721,231,3.121212121212121,20.5021645021645,2254,0,0
/global/latestnews,423,282,1.5,24.70921985815603,1513,0,0
/global/archives/category/press-room/press-release,366,274,1.3357664233576643,11.346715328467154,1443,0,0
/global/archives/category/press-room/financial-results,344,126,2.7301587301587302,29.03174603174603,1349,0,0
/global/archives/17426,252,146,1.726027397260274,59.8013698630137,1073,0,0
/global/archives/18065,169,105,1.6095238095238096,53.97142857142857,672,0,0
/global/archives/17216,161,133,1.2105263157894737,42.56390977443609,697,0,0
/global/archives/category/corporates/sk-on,161,84,1.9166666666666667,26.86904761904762,614,0,0
/global/archives/18361,135,122,1.1065573770491803,23.016393442622952,561,0,0
/global/archives/15374,133,103,1.2912621359223302,42.50485436893204,582,0,0
/global/archives/18107,117,98,1.1938775510204083,103.42857142857143,523,0,0
/global/archives/17817,107,57,1.8771929824561404,27.07017543859649,368,0,0
/global/archives/6216,103,83,1.2409638554216869,66.12048192771084,485,0,0
/global/archives/15664,101,80,1.2625,30.6125,445,0,0
/global/archives/category/press-room,94,66,1.4242424242424243,23.318181818181817,361,0,0
/global/archives/category/corporates,93,65,1.4307692307692308,17.876923076923077,355,0,0
/global/archives/category/corporates/sk-innovation,91,73,1.2465753424657535,12.575342465753424,346,0,0
/global/archives/3820,90,53,1.6981132075471699,42.528301886792455,369,0,0
/global/archives/17499,89,68,1.3088235294117647,97.44117647058823,388,0,0
/global/archives/15490,86,73,1.178082191780822,65.43835616438356,392,0,0
/global/archives/12022,79,68,1.161764705882353,21.83823529411765,361,0,0
/global/archives/13780,77,47,1.6382978723404256,33.91489361702128,323,0,0
/global/archives/18301,76,64,1.1875,24.25,301,0,0
/global/archives/16463,73,67,1.0895522388059702,34.417910447761194,335,0,0
/global/archives/category/insight/trend_report,71,37,1.9189189189189189,24.675675675675677,264,0,0
/global/archives/category/corporate/sk-on,69,27,2.5555555555555554,35.96296296296296,287,0,0
/global/archives/10774,68,52,1.3076923076923077,33.92307692307692,296,0,0
/global/archives/7245,67,64,1.046875,11.09375,272,0,0
/global/archives/category/insight,67,41,1.6341463414634145,14.365853658536585,260,0,0
/global/archives/12106,66,41,1.6097560975609757,52.51219512195122,271,0,0
/global/sustainability-report,64,54,1.1851851851851851,7.425925925925926,288,0,0
/global/archives/16532,59,45,1.3111111111111111,35.022222222222226,231,0,0
/global/archives/16834,59,51,1.1568627450980393,32.509803921568626,267,0,0
/global/archives/9910,59,46,1.2826086956521738,66.28260869565217,281,0,0
/global/archives/17950,58,47,1.2340425531914894,42.808510638297875,230,0,0
/global/archives/17595,56,42,1.3333333333333333,37.26190476190476,215,0,0
/global/archives/17623,53,35,1.5142857142857142,52.74285714285714,232,0,0
/global/archives/15687,52,41,1.2682926829268293,36.02439024390244,225,0,0
/global/archives/18208,52,40,1.3,44.275,218,0,0
/global/archives/14491,50,40,1.25,30.275,228,0,0
/global/archives/17169,48,37,1.2972972972972974,40.351351351351354,210,0,0
/global/archives/18167,48,33,1.4545454545454546,92.96969696969697,187,0,0
/global/archives/18374,48,37,1.2972972972972974,12.45945945945946,182,0,0
/global/archives/7445,48,25,1.92,50.56,189,0,0
/global/archives/16060,46,37,1.2432432432432432,28.945945945945947,215,0,0
/global/archives/category/corporates/sk-enmove,46,26,1.7692307692307692,35.76923076923077,181,0,0
/global/archives/12306,44,31,1.4193548387096775,34.87096774193548,187,0,0
/global/archives/13521,44,39,1.1282051282051282,42.56410256410256,209,0,0
/global/archives/17737,44,38,1.1578947368421053,49.28947368421053,187,0,0
/global/archives/17990,44,40,1.1,33.775,189,0,0
/global/archives/category/corporates/sk-energy,44,36,1.2222222222222223,24.97222222222222,159,0,0
/global/archives/16376,43,29,1.4827586206896552,19,167,0,0
/global/archives/17356,43,29,1.4827586206896552,38.48275862068966,181,0,0
/global/archives/category/people,43,38,1.131578947368421,15.105263157894736,163,0,0
/global/archives/17989,42,36,1.1666666666666667,35.666666666666664,161,0,0
/global/archives/15865,41,16,2.5625,42.375,142,0,0
/global/archives/14766,38,29,1.3103448275862069,19.896551724137932,152,0,0
/global/archives/15937,37,17,2.176470588235294,65.76470588235294,130,0,0
/global/archives/17313,37,24,1.5416666666666667,43.958333333333336,145,0,0
/global/archives/14634,36,35,1.0285714285714285,39.91428571428571,175,0,0
/global/archives/18268,36,28,1.2857142857142858,37.107142857142854,140,0,0
/global/archives/11087,35,33,1.0606060606060606,25.151515151515152,169,0,0
/global/archives/12274/skee,35,23,1.5217391304347827,23.347826086956523,170,0,0
/global/archives/category/corporates/sk-ie-technology,35,17,2.0588235294117645,21.58823529411765,141,0,0
/global/archives/11161,34,25,1.36,61.68,148,0,0
/global/archives/13595,34,28,1.2142857142857142,55.892857142857146,145,0,0
/global/archives/16480,34,18,1.8888888888888888,32.22222222222222,119,0,0
/global/archives/10939,33,27,1.2222222222222223,46.629629629629626,143,0,0
/global/archives/7961,33,15,2.2,36.8,137,0,0
/global/archives/7292,32,27,1.1851851851851851,49.25925925925926,150,0,0
