# ----------------------------------------
# 보고서 CSV 내보내기
# 계정: skinno global
# 속성: skinno 글로벌 - GA4
# ----------------------------------------
# 
# 모든 사용자
# 시작일: 20240601
# 종료일: 20240630
페이지 경로 및 화면 클래스,국가,조회수,사용자,사용자당 조회수,평균 참여 시간,이벤트 수,주요 이벤트,총 수익
/global/archives/18140,India,657,187,3.513368983957219,1.3422459893048129,2019,0,0
/global/,South Korea,331,117,2.8290598290598292,33.1025641025641,1382,0,0
/global/archives/18283,United States,206,191,1.0785340314136125,16.445026178010473,855,0,0
/global/archives/18283,Germany,192,153,1.2549019607843137,8.366013071895425,763,0,0
/global/latestnews,China,188,207,0.9082125603864735,19.154589371980677,747,0,0
/global/archives/category/press-room/press-release,France,178,177,1.0056497175141244,0.9152542372881356,712,0,0
/global/,United Kingdom,118,111,1.063063063063063,4.486486486486487,503,0,0
/global/latestnews,Germany,98,3,32.666666666666664,28,233,0,0
/global/,Japan,87,36,2.4166666666666665,44.19444444444444,376,0,0
/global/archives/18283,South Korea,78,50,1.56,18.84,309,0,0
/global/,United States,72,43,1.6744186046511629,26.58139534883721,313,0,0
/global/archives/17817,India,65,17,3.823529411764706,14.529411764705882,196,0,0
/global/,China,61,30,2.033333333333333,20.433333333333334,223,0,0
/global/archives/category/press-room/press-release,Japan,55,15,3.6666666666666665,46,210,0,0
/global/archives/18283,Japan,53,33,1.606060606060606,63.06060606060606,226,0,0
/global/archives/7245,United States,53,53,1,4.509433962264151,214,0,0
/global/archives/category/press-room/financial-results,United States,51,15,3.4,39.333333333333336,203,0,0
/global/archives/category/corporates/sk-on,South Korea,50,23,2.1739130434782608,30.695652173913043,201,0,0
/global/,India,48,26,1.8461538461538463,24.423076923076923,192,0,0
/global/archives/category/press-room/financial-results,India,46,15,3.066666666666667,28.666666666666668,167,0,0
/global/archives/17426,India,45,21,2.142857142857143,74.19047619047619,198,0,0
/global/archives/18283,India,45,31,1.4516129032258065,43.096774193548384,182,0,0
/global/archives/15374,South Korea,42,29,1.4482758620689655,34.62068965517241,170,0,0
/global/archives/18283,Iran,42,25,1.68,10.88,128,0,0
/global/archives/17216,United States,41,33,1.2424242424242424,51.45454545454545,178,0,0
/global/archives/category/press-room/financial-results,Japan,41,14,2.9285714285714284,47.92857142857143,160,0,0
/global/archives/16463,United States,40,39,1.0256410256410255,47.30769230769231,196,0,0
/global/archives/17216,South Korea,40,29,1.3793103448275863,27.655172413793103,167,0,0
/global/archives/category/corporates/sk-on,Japan,40,17,2.3529411764705883,23.235294117647058,151,0,0
/global/archives/category/press-room/press-release,India,40,21,1.9047619047619047,12.523809523809524,159,0,0
/global/latestnews,South Korea,40,13,3.076923076923077,24.53846153846154,159,0,0
/global/archives/18283,China,39,31,1.2580645161290323,36.70967741935484,156,0,0
/global/archives/18361,United States,38,38,1,9.81578947368421,160,0,0
/global/archives/18107,United States,37,26,1.4230769230769231,74.03846153846153,155,0,0
/global/archives/12274/skee,South Korea,35,23,1.5217391304347827,23.347826086956523,170,0,0
/global/archives/9910,Malaysia,34,30,1.1333333333333333,70.3,168,0,0
/global/archives/18283,France,33,26,1.2692307692307692,41.84615384615385,149,0,0
/global/archives/18301,United States,33,22,1.5,30.136363636363637,125,0,0
/global/archives/17623,South Korea,32,23,1.391304347826087,23.391304347826086,148,0,0
/global/archives/18065,Japan,32,12,2.6666666666666665,61.416666666666664,128,0,0
/global/archives/18361,India,31,21,1.4761904761904763,43.523809523809526,121,0,0
/global/archives/category/insight,South Korea,31,6,5.166666666666667,61.5,119,0,0
/global/archives/category/press-room/financial-results,Hong Kong,31,14,2.2142857142857144,23.5,123,0,0
/global/,Singapore,30,22,1.3636363636363635,10.863636363636363,129,0,0
/global/archives/category/press-room/press-release,Singapore,30,12,2.5,35.833333333333336,106,0,0
/global/sustainability-report,United States,30,28,1.0714285714285714,2.25,123,0,0
/global/,Hungary,29,9,3.2222222222222223,35.111111111111114,123,0,0
/global/archives/10774,South Korea,29,19,1.5263157894736843,31,122,0,0
/global/archives/12106,Indonesia,29,14,2.0714285714285716,67.42857142857143,110,0,0
/global/latestnews,United States,29,6,4.833333333333333,37.333333333333336,101,0,0
/global/archives/18167,South Korea,28,14,2,49.07142857142857,98,0,0
/global/archives/17426,United States,27,15,1.8,66.13333333333334,122,0,0
/global/archives/6216,United States,27,21,1.2857142857142858,151.95238095238096,130,0,0
/global/archives/category/insight/trend_report,South Korea,27,12,2.25,18.5,99,0,0
/global/archives/15374,Malaysia,26,20,1.3,68.7,109,0,0
/global/archives/15664,South Korea,26,21,1.2380952380952381,15.80952380952381,114,0,0
/global/archives/17426,Singapore,26,17,1.5294117647058822,108.3529411764706,119,0,0
/global/archives/18283,Italy,26,15,1.7333333333333334,40.266666666666666,114,0,0
/global/archives/18140,South Korea,25,9,2.7777777777777777,22.88888888888889,83,0,0
/global/archives/category/corporate/sk-on,Japan,25,4,6.25,17,97,0,0
/global/archives/10774,United States,24,19,1.263157894736842,36.526315789473685,107,0,0
/global/archives/15374,Singapore,24,18,1.3333333333333333,42.05555555555556,114,0,0
/global/archives/15664,United States,24,20,1.2,13.15,102,0,0
/global/archives/17499,India,24,12,2,161.75,90,0,0
/global/archives/category/press-room/financial-results,China,24,6,4,29.666666666666668,90,0,0
/global/,Thailand,23,7,3.2857142857142856,46.142857142857146,111,0,0
/global/archives/12022,United States,23,20,1.15,18.85,101,0,0
/global/archives/17426,South Korea,23,14,1.6428571428571428,17.071428571428573,87,0,0
/global/archives/6216,South Korea,23,19,1.2105263157894737,37.36842105263158,106,0,0
/global/archives/15490,South Korea,22,18,1.2222222222222223,62,94,0,0
/global/archives/18283,(not set),22,22,1,0,88,0,0
/global/archives/category/insight/expert-voice,South Korea,22,6,3.6666666666666665,49.333333333333336,85,0,0
/global/latestnews,India,22,17,1.2941176470588236,17.941176470588236,91,0,0
/global/archives/17426,Hong Kong,21,12,1.75,69.83333333333333,92,0,0
/global/archives/category/press-room/financial-results,Singapore,21,8,2.625,20.5,82,0,0
/global/,Germany,20,12,1.6666666666666667,31.916666666666668,85,0,0
/global/,Hong Kong,20,11,1.8181818181818181,17.363636363636363,86,0,0
/global/archives/16376,India,20,7,2.857142857142857,3.5714285714285716,58,0,0
/global/archives/18208,South Korea,20,15,1.3333333333333333,8.466666666666667,80,0,0
/global/archives/3393,Poland,20,20,1,34.95,94,0,0
/global/archives/7445,Poland,20,2,10,12,67,0,0
/global/archives/category/press-room,Singapore,20,8,2.5,15.625,77,0,0
/global/archives/tag/sko,South Korea,20,17,1.1764705882352942,16.058823529411764,91,0,0
/global/archives/10985,Vietnam,19,14,1.3571428571428572,35.357142857142854,93,0,0
/global/archives/12008,Ukraine,19,2,9.5,19.5,61,0,0
/global/archives/17499,United States,19,17,1.1176470588235294,44.705882352941174,86,0,0
/global/archives/17595,South Korea,19,15,1.2666666666666666,22.933333333333334,72,0,0
/global/archives/18022,South Korea,19,9,2.111111111111111,16.22222222222222,76,0,0
/global/archives/18065,South Korea,19,15,1.2666666666666666,24.4,73,0,0
/global/archives/18283,Spain,19,16,1.1875,42.5625,82,0,0
/global/archives/4921,United States,19,17,1.1176470588235294,38.35294117647059,95,0,0
/global/archives/7961,United States,19,4,4.75,100,76,0,0
/global/archives/category/press-room/press-release,United States,19,15,1.2666666666666666,10.133333333333333,75,0,0
/global/archives/12306,South Korea,18,12,1.5,16.75,73,0,0
/global/archives/16532,Vietnam,18,11,1.6363636363636365,58,68,0,0
/global/archives/17499,South Korea,18,12,1.5,31.25,79,0,0
/global/archives/category/corporates,United States,18,9,2,38.888888888888886,67,0,0
/global/archives/16480,India,17,5,3.4,72.4,54,0,0
/global/archives/18107,India,17,15,1.1333333333333333,71,80,0,0
/global/archives/3820,South Korea,17,8,2.125,41.5,64,0,0
/global/archives/category/corporates,South Korea,17,13,1.3076923076923077,14.923076923076923,68,0,0
/global/archives/category/press-room/financial-results,United Kingdom,17,9,1.8888888888888888,11.444444444444445,67,0,0
/global/,Spain,16,6,2.6666666666666665,46.166666666666664,63,0,0
/global/archives/13780,Germany,16,5,3.2,145.4,67,0,0
/global/archives/15490,Canada,16,12,1.3333333333333333,84.33333333333333,77,0,0
