# ----------------------------------------
# 보고서 CSV 내보내기
# 계정: skinno global
# 속성: skinno 글로벌 - GA4
# ----------------------------------------
# 
# 모든 사용자
# 시작일: 20240701
# 종료일: 20240731
페이지 경로 및 화면 클래스,세션 새채널그룹,조회수,세션수,사용자,사용자당 조회수,평균 참여 시간,이벤트 수,주요 이벤트,총 수익
/global/archives/18388,Paid Search,1124,907,819,1.3724053724053724,2.010989010989011,3995,0,0
/global/archives/18546,Direct,784,765,611,1.2831423895253682,34.635024549918164,3285,0,0
/global/,Organic Search,643,404,272,2.363970588235294,29.28676470588235,2639,0,0
/global/archives/18546,Organic Social,534,529,482,1.107883817427386,20.566390041493776,2283,0,0
/global/,Direct,477,383,285,1.6736842105263159,13.287719298245614,1946,0,0
/global/,Referral,443,331,235,1.8851063829787233,27.842553191489362,1939,0,0
/global/archives/18546,Organic Search,443,469,300,1.4766666666666666,73.53,1944,0,0
/global/archives/category/press-room/financial-results,Organic Search,366,206,161,2.2732919254658386,24.59006211180124,1476,0,0
/global/latestnews,Direct,335,315,262,1.2786259541984732,20.583969465648856,1303,0,0
/global/archives/category/press-room/press-release,Direct,289,275,203,1.4236453201970443,8.74384236453202,1123,0,0
/global/archives/17426,Organic Search,247,205,160,1.54375,49.58125,1064,0,0
/global/archives/18388,Direct,227,216,171,1.327485380116959,94.21637426900585,902,0,0
/global/archives/category/corporates/sk-on,Organic Search,198,173,126,1.5714285714285714,31.38888888888889,796,0,0
/global/latestnews,Organic Search,187,182,65,2.876923076923077,22.56923076923077,660,0,0
/pagead/aclk,Paid Search,180,144,144,1.25,0,636,0,0
/global/archives/category/corporates/sk-enterm,Organic Search,172,119,91,1.89010989010989,12.10989010989011,746,0,0
/global/archives/18388,Organic Social,159,170,134,1.1865671641791045,61.492537313432834,703,0,0
/global/archives/18546,Referral,155,152,107,1.4485981308411215,59.22429906542056,625,0,0
/global/archives/18065,Organic Search,152,136,96,1.5833333333333333,46.677083333333336,633,0,0
/global/archives/category/press-room/press-release,Organic Search,141,116,95,1.4842105263157894,35.94736842105263,563,0,0
/global/archives/9910,Organic Search,123,122,89,1.3820224719101124,73.25842696629213,571,0,0
/global/archives/category/corporates/sk-innovation,Organic Search,122,94,87,1.4022988505747127,19.919540229885058,467,0,0
/global/archives/18283,Direct,115,111,85,1.3529411764705883,61.258823529411764,474,0,0
/global/archives/17216,Organic Search,113,116,92,1.2282608695652173,34.47826086956522,493,0,0
/global/archives/6216,Organic Search,102,107,86,1.186046511627907,45.22093023255814,505,0,0
