# ----------------------------------------
# 보고서 CSV 내보내기
# 계정: skinno global
# 속성: skinno 글로벌 - GA4
# ----------------------------------------
# 
# 모든 사용자
# 시작일: 20240701
# 종료일: 20240731
페이지 경로 및 화면 클래스,국가,조회수,세션수,사용자,사용자당 조회수,평균 참여 시간,이벤트 수,주요 이벤트,총 수익
/global/archives/18388,Poland,760,620,525,1.4476190476190476,4.382857142857143,2689,0,0
/global/archives/18546,United States,634,623,524,1.2099236641221374,35.41412213740458,2683,0,0
/global/,South Korea,566,371,183,3.092896174863388,23.131147540983605,2390,0,0
/global/archives/18388,United States,494,422,405,1.219753086419753,19.637037037037036,1846,0,0
/global/archives/18546,South Korea,292,280,195,1.4974358974358974,28.18974358974359,1185,0,0
/global/latestnews,China,211,237,237,0.890295358649789,20.40506329113924,849,0,0
/pagead/aclk,United States,180,144,144,1.25,0,636,0,0
/global/archives/category/press-room/press-release,France,164,162,159,1.0314465408805031,1.3773584905660377,652,0,0
/global/,United States,154,131,110,1.4,16.581818181818182,656,0,0
/global/,China,147,91,59,2.4915254237288136,33.6271186440678,524,0,0
/global/,Japan,136,91,55,2.4727272727272727,33.41818181818182,571,0,0
/global/archives/18546,Singapore,131,141,102,1.2843137254901962,62.53921568627451,575,0,0
/global/,United Kingdom,116,111,111,1.045045045045045,2.18018018018018,483,0,0
/global/archives/18478,United States,116,102,92,1.2608695652173914,14.25,487,0,0
/global/archives/18546,India,107,101,74,1.445945945945946,43.78378378378378,451,0,0
/global/archives/18546,Japan,102,107,71,1.4366197183098592,60.774647887323944,437,0,0
/global/latestnews,South Korea,97,87,25,3.88,21.76,393,0,0
/global/archives/9910,Malaysia,92,89,69,1.3333333333333333,62.69565217391305,426,0,0
/global/sustainability-report,Norway,91,86,83,1.0963855421686748,2,340,0,0
/global/archives/18388,South Korea,90,74,47,1.9148936170212767,22.97872340425532,330,0,0
/global/,India,89,62,46,1.934782608695652,18.869565217391305,361,0,0
/global/archives/18546,United Kingdom,86,85,62,1.3870967741935485,48.61290322580645,381,0,0
/global/archives/category/press-room/financial-results,India,85,30,20,4.25,52.95,331,0,0
/global/archives/category/press-room/financial-results,Singapore,83,41,33,2.515151515151515,19.545454545454547,328,0,0
/global/archives/18140,India,82,77,18,4.555555555555555,0.3888888888888889,242,0,0
/global/latestnews,Germany,79,80,3,26.333333333333332,36,212,0,0
/global/archives/18478,South Korea,70,62,45,1.5555555555555556,32.733333333333334,263,0,0
