# ----------------------------------------
# 보고서 CSV 내보내기
# 계정: skinno global
# 속성: skinno 글로벌 - GA4
# ----------------------------------------
# 
# 모든 사용자
# 시작일: 20240801
# 종료일: 20240831
페이지 경로 및 화면 클래스,국가,조회수,활성 사용자,활성 사용자당 조회수,활성 사용자당 평균 참여 시간,이벤트 수,주요 이벤트,총 수익
/global/archives/18659,Malaysia,2839,2054,1.3821811100292114,4.526290165530672,10768,0,0
/global/,South Korea,410,168,2.4404761904761907,16.648809523809526,1676,0,0
/global/latestnews,China,247,271,0.9114391143911439,20.867158671586715,985,0,0
/global/archives/18659,Australia,168,142,1.1830985915492958,8.753521126760564,655,0,0
/global/archives/18546,South Korea,164,93,1.7634408602150538,42.494623655913976,647,0,0
/global/archives/18546,Singapore,141,94,1.5,80.06382978723404,600,0,0
/global/archives/18546,United States,127,117,1.0854700854700854,17.45299145299145,526,0,0
/global/,United Kingdom,116,115,1.008695652173913,1.0608695652173914,470,0,0
/global/archives/category/press-room/press-release,France,103,102,1.0098039215686274,0.5686274509803921,411,0,0
/global/latestnews,Germany,98,3,32.666666666666664,33.666666666666664,252,0,0
/global/,United States,93,57,1.631578947368421,39.3859649122807,409,0,0
/global/archives/18743,United States,81,78,1.0384615384615385,10.153846153846153,298,0,0
/global/archives/tag/sko,South Korea,81,68,1.1911764705882353,6.720588235294118,368,0,0
/global/,China,77,39,1.9743589743589745,22.358974358974358,278,0,0
/global/archives/category/press-room/financial-results,India,73,23,3.1739130434782608,34.04347826086956,282,0,0
/global/archives/9910,Malaysia,72,65,1.1076923076923078,65.93846153846154,345,0,0
/global/archives/category/press-room/financial-results,United States,67,34,1.9705882352941178,30.441176470588236,274,0,0
/global/,India,66,29,2.2758620689655173,21.862068965517242,274,0,0
/global/archives/18608,South Korea,65,43,1.5116279069767442,16.11627906976744,257,0,0
/global/archives/18608,United States,61,49,1.2448979591836735,24.163265306122447,253,0,0
/global/latestnews,South Korea,61,21,2.9047619047619047,14.857142857142858,244,0,0
/global/,Malaysia,58,20,2.9,22.3,239,0,0
/global/archives/category/press-room/financial-results,China,58,13,4.461538461538462,31.307692307692307,198,0,0
/global/archives/category/press-room/press-release,India,58,21,2.761904761904762,39.04761904761905,228,0,0
/global/,Japan,57,34,1.6764705882352942,26.08823529411765,250,0,0
/global/archives/18608,China,57,26,2.1923076923076925,105.46153846153847,209,0,0
/global/archives/18546,India,55,43,1.2790697674418605,51.674418604651166,222,0,0
/global/archives/18608,Singapore,55,30,1.8333333333333333,98.13333333333334,216,0,0
/global/archives/18743,South Korea,54,34,1.588235294117647,32,210,0,0
/global/archives/18659,South Korea,53,31,1.7096774193548387,38.67741935483871,198,0,0
/global/archives/category/press-room/financial-results,Singapore,53,25,2.12,17.76,207,0,0
/global/archives/18608,India,52,27,1.9259259259259258,28.48148148148148,202,0,0
/global/archives/18770,United States,52,45,1.1555555555555554,24.355555555555554,226,0,0
/global/archives/18107,United States,51,44,1.1590909090909092,102.54545454545455,247,0,0
/global/archives/18546,Australia,49,28,1.75,65.42857142857143,232,0,0
/global/archives/18659,(not set),47,47,1,0,187,0,0
/global/archives/18546,Hong Kong,46,35,1.3142857142857143,48.714285714285715,221,0,0
/global/latestnews,United States,45,20,2.25,36.75,175,0,0
/global/,Singapore,44,29,1.5172413793103448,14.068965517241379,181,0,0
