# ----------------------------------------
# 보고서 CSV 내보내기
# 계정: skinno global
# 속성: skinno 글로벌 - GA4
# ----------------------------------------
# 
# 모든 사용자
# 시작일: 20240901
# 종료일: 20240930
페이지 경로 및 화면 클래스,세션 새채널그룹,조회수,세션수,활성 사용자,활성 사용자당 조회수,활성 사용자당 평균 참여 시간,이벤트 수,주요 이벤트,총 수익
/global/archives/19045,Paid Search,10066,8086,7223,1.393603765748304,4.049425446490378,38445,0,0
/global/archives/19078,Paid Search,938,762,592,1.5844594594594594,1.616554054054054,3159,0,0
/global/latestnews,Direct,484,479,431,1.122969837587007,19.82366589327146,1878,0,0
/pagead/aclk,Paid Search,468,190,166,2.819277108433735,0,1174,0,0
/global/archives/19045,Direct,425,321,299,1.4214046822742474,14.468227424749164,1588,0,0
/global/archives/19078,Direct,388,350,306,1.2679738562091503,21.77124183006536,1528,0,0
/global/,Direct,331,281,239,1.3849372384937237,15.569037656903765,1350,0,0
/global/,Organic Search,305,205,165,1.8484848484848484,23.884848484848487,1297,0,0
/global/archives/19078,Organic Search,249,252,182,1.3681318681318682,47.33516483516483,1094,0,0
/global/,Referral,242,183,151,1.6026490066225165,27.801324503311257,1032,0,0
/global/archives/18546,Organic Search,214,247,154,1.3896103896103895,54.37662337662338,976,0,0
/global/archives/category/press-room/financial-results,Organic Search,190,104,85,2.235294117647059,25.32941176470588,763,0,0
/global/archives/17426,Organic Search,178,147,122,1.459016393442623,44.33606557377049,784,0,0
/global/archives/19045,Organic Search,174,173,123,1.4146341463414633,45.073170731707314,735,0,0
/global/archives/9910,Organic Search,167,175,137,1.218978102189781,62.956204379562045,780,0,0
/global/latestnews,Organic Search,163,155,42,3.880952380952381,27.476190476190474,544,0,0
/global/archives/18107,Organic Search,146,143,130,1.123076923076923,81.81538461538462,694,0,0
/global/archives/18608,Organic Search,119,103,72,1.6527777777777777,43.97222222222222,488,0,0
/global/archives/6216,Organic Search,110,120,83,1.3253012048192772,34.855421686746986,516,0,0
/global/,Organic Social,108,76,11,9.818181818181818,83.36363636363636,414,0,0
/global/archives/category/press-room/press-release,Direct,106,96,51,2.0784313725490198,34.705882352941174,398,0,0
/global/,Paid Search,99,68,66,1.5,11.818181818181818,307,0,0
/global/archives/19078,Referral,95,94,66,1.4393939393939394,59.90909090909091,405,0,0
/global/archives/category/corporates/sk-on,Organic Search,89,74,61,1.459016393442623,35.049180327868854,356,0,0
/global/archives/19078,Organic Social,85,81,73,1.1643835616438356,31.671232876712327,369,0,0
/global/archives/category/press-room/press-release,Organic Search,82,66,58,1.4137931034482758,23.051724137931036,332,0,0
/global/archives/category/corporates/sk-innovation,Organic Search,80,69,59,1.3559322033898304,14.457627118644067,307,0,0
