# ----------------------------------------
# 보고서 CSV 내보내기
# 계정: skinno global
# 속성: skinno 글로벌 - GA4
# ----------------------------------------
# 
# 모든 사용자
# 시작일: 20240901
# 종료일: 20240930
페이지 경로 및 화면 클래스,국가,조회수,세션수,활성 사용자,활성 사용자당 조회수,활성 사용자당 평균 참여 시간,이벤트 수,주요 이벤트,총 수익
/global/archives/19045,Vietnam,6153,5211,4770,1.289937106918239,3.892033542976939,23983,0,0
/global/archives/19045,Malaysia,4215,3036,2665,1.5816135084427767,6.283677298311445,15670,0,0
/global/archives/19078,United Arab Emirates,729,553,406,1.7955665024630543,2.7610837438423643,2350,0,0
/pagead/aclk,Vietnam,456,181,158,2.8860759493670884,0,1133,0,0
/global/latestnews,China,375,424,424,0.8844339622641509,19.62735849056604,1499,0,0
/global/,South Korea,315,204,112,2.8125,27.321428571428573,1338,0,0
/global/archives/19078,Germany,209,180,169,1.2366863905325445,1.0650887573964498,772,0,0
/global/,United Kingdom,122,120,116,1.0517241379310345,2.5,503,0,0
/global/,Vietnam,122,87,80,1.525,11.5625,374,0,0
/global/archives/9910,Malaysia,121,118,104,1.1634615384615385,55.55769230769231,550,0,0
/global/latestnews,Germany,105,102,4,26.25,25,304,0,0
/global/archives/19078,South Korea,100,94,71,1.408450704225352,51.87323943661972,394,0,0
/global/,United States,95,77,66,1.4393939393939394,29.37878787878788,418,0,0
/global/archives/19078,United States,92,95,85,1.0823529411764705,10.670588235294117,384,0,0
/global/archives/19078,Singapore,86,81,64,1.34375,32.078125,371,0,0
/global/archives/19045,United States,81,81,80,1.0125,5.925,281,0,0
/global/archives/19078,Japan,78,74,57,1.368421052631579,50.85964912280702,350,0,0
/global/latestnews,South Korea,70,59,19,3.6842105263157894,38.421052631578945,268,0,0
/global/archives/19045,Singapore,69,70,52,1.3269230769230769,33,298,0,0
/global/archives/19045,South Korea,65,59,34,1.911764705882353,33.55882352941177,242,0,0
/global/,Japan,61,29,25,2.44,55.08,263,0,0
/global/archives/19078,United Kingdom,58,59,47,1.2340425531914894,24.25531914893617,251,0,0
/global/latestnews,United States,58,56,28,2.0714285714285716,17.785714285714285,224,0,0
/global/archives/19078,India,54,58,40,1.35,49.375,239,0,0
/global/archives/19078,Iran,52,49,40,1.3,1.5,184,0,0
/global/archives/4921,United States,52,51,34,1.5294117647058822,33.23529411764706,226,0,0
/global/archives/18546,Singapore,51,66,45,1.1333333333333333,58.06666666666667,253,0,0
/global/archives/17426,United States,50,48,40,1.25,76.7,226,0,0
/global/archives/18107,United States,50,50,44,1.1363636363636365,81.31818181818181,232,0,0
/global/archives/18546,South Korea,50,50,33,1.5151515151515151,62.96969696969697,209,0,0
/global/archives/category/press-room/press-release,India,48,43,18,2.6666666666666665,30.61111111111111,190,0,0
/global/archives/category/press-room/press-release,Japan,48,40,14,3.4285714285714284,41.42857142857143,177,0,0
/global/archives/19078,(not set),47,47,47,1,0.14893617021276595,188,0,0
/global/archives/19045,(not set),46,47,47,0.9787234042553191,0,185,0,0
/global/archives/category/press-room/financial-results,India,45,22,20,2.25,33.9,183,0,0
/global/archives/18608,United States,44,39,22,2,130.4090909090909,182,0,0
/global/archives/category/press-room/financial-results,United States,44,27,24,1.8333333333333333,17.291666666666668,175,0,0
/global/archives/18546,India,43,53,25,1.72,62.6,190,0,0
/global/archives/6216,United States,41,44,35,1.1714285714285715,38.51428571428571,200,0,0
/global/,India,39,28,25,1.56,24.88,163,0,0
/global/archives/18546,United States,39,45,34,1.1470588235294117,43,174,0,0
/global/archives/category/press-room/financial-results,Singapore,39,19,18,2.1666666666666665,24.72222222222222,161,0,0
/global/archives/category/press-room,Singapore,38,30,10,3.8,15.5,140,0,0
/global/archives/19045,India,37,39,27,1.3703703703703705,70.62962962962963,151,0,0
/global/archives/18770,South Korea,36,29,21,1.7142857142857142,31.571428571428573,135,0,0
/global/archives/16286,United States,35,34,34,1.0294117647058822,0.8235294117647058,140,0,0
/global/archives/17426,Singapore,35,28,22,1.5909090909090908,29.636363636363637,140,0,0
/global/archives/6216,South Korea,35,37,23,1.5217391304347827,19.08695652173913,150,0,0
/global/archives/16463,United States,34,35,30,1.1333333333333333,20.033333333333335,156,0,0
/global/archives/17426,India,34,30,23,1.4782608695652173,30.652173913043477,142,0,0
/global/archives/category/press-room/press-release,United States,34,27,25,1.36,36.32,134,0,0
/global/,Poland,32,31,6,5.333333333333333,23,108,0,0
/global/,China,31,23,22,1.4090909090909092,80,123,0,0
/global/,Singapore,31,28,24,1.2916666666666667,11,142,0,0
/global/archives/18770,United States,31,36,27,1.1481481481481481,55.44444444444444,143,0,0
/global/archives/19078,China,31,25,20,1.55,48.35,118,0,0
/global/archives/19128,South Korea,31,33,18,1.7222222222222223,10.833333333333334,125,0,0
/global/archives/19045,Indonesia,30,27,15,2,13.8,110,0,0
/global/archives/8067,Japan,30,19,3,10,321.3333333333333,109,0,0
/global/,Germany,29,27,25,1.16,5.48,109,0,0
/global/,Malaysia,29,27,25,1.16,17.68,104,0,0
/global/archives/17623,South Korea,28,28,24,1.1666666666666667,57.5,130,0,0
/global/archives/18445,South Korea,28,32,22,1.2727272727272727,21.818181818181817,129,0,0
/global/archives/category/press-room,United States,28,22,18,1.5555555555555556,55.888888888888886,107,0,0
/global/archives/category/corporates/sk-innovation,South Korea,27,18,15,1.8,18.266666666666666,106,0,0
/global/archives/category/corporates/sk-on,South Korea,27,21,20,1.35,19.3,110,0,0
/global/archives/17476,South Korea,26,22,18,1.4444444444444444,46.611111111111114,105,0,0
/global/archives/category/press-room/press-release,Singapore,26,22,15,1.7333333333333334,15.8,104,0,0
/global/archives/18546,United Kingdom,25,28,15,1.6666666666666667,30.333333333333332,112,0,0
/global/archives/category/corporates/sk-earthon,Malaysia,25,17,16,1.5625,19.1875,90,0,0
/global/archives/category/corporates/sk-energy,South Korea,25,14,8,3.125,60,96,0,0
/global/archives/17737,South Korea,24,29,23,1.0434782608695652,31.217391304347824,122,0,0
/global/archives/19078,Hong Kong,24,19,9,2.6666666666666665,54.44444444444444,86,0,0
/global/archives/15490,Canada,23,20,14,1.6428571428571428,58.07142857142857,95,0,0
/global/archives/18546,Hong Kong,22,25,15,1.4666666666666666,41.266666666666666,102,0,0
/global/archives/18546,Japan,22,25,17,1.2941176470588236,36.411764705882355,92,0,0
/global/archives/18770,India,22,27,13,1.6923076923076923,98.92307692307692,79,0,0
/global/archives/19078,Malaysia,22,23,20,1.1,15.2,96,0,0
/global/archives/category/people,United States,22,23,23,0.9565217391304348,10.304347826086957,77,0,0
/global/archives/category/corporates/sk-on,India,21,21,10,2.1,46.2,81,0,0
/global/archives/tag/financial-results,United States,21,14,10,2.1,18.1,87,0,0
/global/latestnews,India,21,20,17,1.2352941176470589,26.705882352941178,90,0,0
/global/archives/14766,United States,20,19,17,1.1764705882352942,50.411764705882355,93,0,0
/global/archives/17426,United Kingdom,20,12,9,2.2222222222222223,54.44444444444444,88,0,0
/global/archives/18659,Australia,20,22,16,1.25,35.3125,89,0,0
/global/archives/18989,South Korea,20,20,16,1.25,15.875,80,0,0
/global/archives/19095,South Korea,20,18,12,1.6666666666666667,16.916666666666668,77,0,0
/global/archives/category/insight,United States,20,22,22,0.9090909090909091,12.727272727272727,84,0,0
/global/archives/11087,United States,19,17,16,1.1875,23,82,0,0
/global/archives/15490,Singapore,19,17,9,2.111111111111111,38.44444444444444,65,0,0
/global/archives/16834,United States,19,21,18,1.0555555555555556,21.38888888888889,91,0,0
/global/archives/19078,Netherlands,19,20,18,1.0555555555555556,49.77777777777778,84,0,0
/global/archives/19078,Taiwan,19,15,9,2.111111111111111,132.33333333333334,79,0,0
/global/archives/4612,United Kingdom,19,19,6,3.1666666666666665,50.166666666666664,77,0,0
/global/latestnews,Singapore,19,17,11,1.7272727272727273,52.09090909090909,81,0,0
/global/archives/10774,United States,18,20,17,1.0588235294117647,40.294117647058826,85,0,0
/global/archives/12106,South Korea,18,16,6,3,34.5,64,0,0
/global/archives/15259,United States,18,18,18,1,0.05555555555555555,71,0,0
/global/archives/15490,United States,18,19,17,1.0588235294117647,38.35294117647059,80,0,0
/global/archives/15687,India,18,16,11,1.6363636363636365,55.18181818181818,71,0,0
/global/archives/17216,South Korea,18,18,16,1.125,33.125,80,0,0
/global/archives/17569,South Korea,18,20,18,1,13.833333333333334,85,0,0
/global/archives/18659,Malaysia,18,19,9,2,2,58,0,0
/global/archives/18770,Singapore,18,21,15,1.2,64.8,74,0,0
/global/archives/19045,United Kingdom,18,21,19,0.9473684210526315,33.05263157894737,79,0,0
/global/archives/19108,South Korea,18,16,11,1.6363636363636365,18.272727272727273,68,0,0
/global/archives/category/corporates,United States,18,18,16,1.125,21.5,71,0,0
