# ----------------------------------------
# 보고서 CSV 내보내기
# 계정: skinno global
# 속성: skinno 글로벌 - GA4
# ----------------------------------------
# 
# 모든 사용자
# 시작일: 20240901
# 종료일: 20240930
페이지 경로 및 화면 클래스,조회수,세션수,활성 사용자,활성 사용자당 조회수,활성 사용자당 평균 참여 시간,이벤트 수,주요 이벤트,총 수익
/global/archives/19045,10796,8613,7747,1.3935717051761973,5.511552859171292,41340,0,0
/global/archives/19078,1757,1547,1207,1.455675227837614,18.647058823529413,6562,0,0
/global/,1086,816,627,1.7320574162679425,21.63157894736842,4404,0,0
/global/latestnews,708,732,544,1.3014705882352942,21.81801470588235,2718,0,0
/pagead/aclk,471,193,169,2.78698224852071,0,1184,0,0
/global/archives/18546,321,364,228,1.4078947368421053,55.85087719298246,1432,0,0
/global/archives/category/press-room/financial-results,242,127,104,2.326923076923077,27.807692307692307,960,0,0
/global/archives/category/press-room/press-release,235,204,137,1.7153284671532847,26.532846715328468,914,0,0
/global/archives/17426,218,188,147,1.4829931972789117,47.51700680272109,953,0,0
/global/archives/9910,190,198,157,1.2101910828025477,56.17834394904459,871,0,0
/global/archives/18608,178,158,106,1.679245283018868,71.85849056603773,730,0,0
/global/archives/18770,178,195,131,1.3587786259541985,56.37404580152672,720,0,0
/global/archives/18107,158,154,138,1.144927536231884,79.18840579710145,743,0,0
/global/archives/category/corporates/sk-on,140,115,86,1.627906976744186,37.76744186046512,535,0,0
/global/archives/category/press-room,136,102,74,1.837837837837838,30.5,509,0,0
/global/archives/6216,135,148,105,1.2857142857142858,34.05714285714286,637,0,0
/global/archives/18659,127,124,92,1.3804347826086956,24.956521739130434,490,0,0
/global/archives/category/corporates/sk-innovation,126,101,87,1.4482758620689655,16.413793103448278,473,0,0
/global/archives/category/corporates,123,92,77,1.5974025974025974,18.935064935064936,470,0,0
/global/archives/15374,102,102,76,1.3421052631578947,49.61842105263158,442,0,0
/global/archives/16060,99,107,75,1.32,32.86666666666667,412,0,0
/global/archives/15490,95,95,69,1.3768115942028984,49.27536231884058,406,0,0
/global/archives/category/corporates/sk-energy,94,70,59,1.5932203389830508,26.28813559322034,353,0,0
/global/archives/3820,90,85,63,1.4285714285714286,32.142857142857146,403,0,0
/global/archives/category/corporates/sk-earthon,89,63,50,1.78,19.02,318,0,0
/global/archives/17216,80,82,69,1.1594202898550725,33.507246376811594,345,0,0
/global/archives/18989,78,80,70,1.1142857142857143,68.07142857142857,327,0,0
/global/archives/18445,77,82,62,1.2419354838709677,69.88709677419355,340,0,0
/global/archives/16463,76,72,58,1.3103448275862069,17.637931034482758,342,0,0
/global/archives/18283,74,81,67,1.1044776119402986,22.83582089552239,318,0,0
/global/archives/16532,73,72,55,1.3272727272727274,41.6,300,0,0
/global/archives/17595,73,75,50,1.46,34.64,303,0,0
/global/archives/17623,72,75,62,1.1612903225806452,42.225806451612904,330,0,0
/global/archives/category/people,71,66,61,1.1639344262295082,10.967213114754099,247,0,0
/global/archives/category/insight,66,61,55,1.2,9.527272727272727,261,0,0
/global/archives/12022,61,63,57,1.0701754385964912,28.57894736842105,296,0,0
/global/archives/4612,61,53,31,1.967741935483871,96.03225806451613,251,0,0
/global/archives/15687,60,56,42,1.4285714285714286,53.92857142857143,257,0,0
/global/archives/17569,60,62,51,1.1764705882352942,29.392156862745097,262,0,0
/global/archives/13780,56,52,39,1.435897435897436,56.76923076923077,235,0,0
/global/archives/category/corporates/sk-enterm,56,37,22,2.5454545454545454,17.818181818181817,225,0,0
/global/archives/16834,55,57,47,1.1702127659574468,23.53191489361702,249,0,0
/global/archives/10774,54,56,52,1.0384615384615385,27.057692307692307,251,0,0
/global/archives/4921,53,52,35,1.5142857142857142,32.42857142857143,230,0,0
/global/archives/11807,52,48,33,1.5757575757575757,52.63636363636363,225,0,0
/global/archives/17499,50,50,45,1.1111111111111112,71.57777777777778,231,0,0
/global/archives/18753,50,54,30,1.6666666666666667,30.066666666666666,183,0,0
/global/archives/18140,49,55,29,1.6896551724137931,35.96551724137931,179,0,0
