# ----------------------------------------
# 보고서 CSV 내보내기
# 계정: skinno global
# 속성: skinno 글로벌 - GA4
# ----------------------------------------
# 
# 모든 사용자
# 시작일: 20240930
# 종료일: 20241006
페이지 경로 및 화면 클래스,세션 소스,조회수,세션수,활성 사용자,활성 사용자당 조회수,활성 사용자당 평균 참여 시간,이벤트 수,주요 이벤트,총 수익
/global/archives/19179,google,518,419,395,1.3113924050632912,4.706329113924051,2068,0,0
/global/latestnews,(direct),168,157,138,1.2173913043478262,19.615942028985508,682,0,0
/global/archives/19078,google,133,102,45,2.9555555555555557,21.066666666666666,449,0,0
/global/,(direct),64,59,55,1.1636363636363636,8.072727272727272,298,0,0
/global/archives/19179,(direct),53,47,44,1.2045454545454546,7.9772727272727275,199,0,0
/global/,google,51,37,31,1.6451612903225807,22.483870967741936,228,0,0
/global/archives/19045,google,39,44,29,1.3448275862068966,35.55172413793103,159,0,0
/global/archives/18546,google,37,49,32,1.15625,33,186,0,0
/global/archives/19154,(direct),33,37,33,1,28.757575757575758,136,0,0
/global/,skinnovation.com,32,17,17,1.8823529411764706,34.94117647058823,154,0,0
/global/latestnews,google,31,28,12,2.5833333333333335,49.666666666666664,125,0,0
/global/archives/category/corporates/sk-on,google,29,15,15,1.9333333333333333,24.333333333333332,112,0,0
/global/archives/18107,google,28,27,26,1.0769230769230769,83.1923076923077,135,0,0
/global/archives/17623,google,27,30,21,1.2857142857142858,55.42857142857143,125,0,0
/global/archives/19149,(direct),25,27,24,1.0416666666666667,7.75,91,0,0
/global/archives/category/press-room/press-release,google,25,18,15,1.6666666666666667,17.8,102,0,0
/global/archives/19014,(direct),23,25,19,1.2105263157894737,102.6842105263158,91,0,0
/global/archives/9910,google,23,24,18,1.2777777777777777,60.27777777777778,94,0,0
/global/archives/category/press-room/press-release,(direct),23,15,7,3.2857142857142856,32,87,0,0
/pagead/aclk,google,21,14,14,1.5,0,68,0,0
/global/archives/19045,(direct),20,19,19,1.0526315789473684,15.842105263157896,85,0,0
/global/archives/19078,(direct),20,21,18,1.1111111111111112,11.38888888888889,80,0,0
/global/archives/category/press-room/financial-results,google,19,15,11,1.7272727272727273,9.636363636363637,78,0,0
/global/archives/12022,google,18,16,15,1.2,49.46666666666667,87,0,0
/global/archives/17426,google,18,17,13,1.3846153846153846,22,84,0,0
/global/archives/19154,google,18,21,14,1.2857142857142858,42,79,0,0
/global/,linkedin.com,17,13,4,4.25,18.25,66,0,0
/global/archives/18608,google,17,17,14,1.2142857142857142,24.571428571428573,75,0,0
/global/archives/19149,google,17,19,12,1.4166666666666667,66.08333333333333,68,0,0
/global/archives/11087,google,15,9,8,1.875,28.75,61,0,0
/global/archives/14766,google,15,16,10,1.5,59,62,0,0
/global/archives/16376,google,15,13,8,1.875,35.75,53,0,0
/global/archives/19179,ozmailer.com,15,7,6,2.5,1,50,0,0
/global/archives/17499,google,14,16,12,1.1666666666666667,36.833333333333336,65,0,0
/global/archives/18065,google,14,10,6,2.3333333333333335,12,54,0,0
/global/latestnews,linkedin.com,13,6,2,6.5,97.5,53,0,0
/global/,bing,12,7,6,2,32.833333333333336,61,0,0
/global/archives/15374,google,12,15,11,1.0909090909090908,78,59,0,0
/global/archives/16463,google,12,13,11,1.0909090909090908,86.0909090909091,59,0,0
/global/archives/17216,google,12,12,11,1.0909090909090908,41.54545454545455,57,0,0
/global/archives/9740,google,12,12,11,1.0909090909090908,13.818181818181818,52,0,0
/global/archives/12106,google,11,9,3,3.6666666666666665,56,44,0,0
/global/archives/18445,(direct),11,11,7,1.5714285714285714,35.57142857142857,49,0,0
/global/archives/18445,google,11,11,10,1.1,24.8,57,0,0
/global/archives/19108,(direct),11,17,10,1.1,4.3,51,0,0
/global/archives/19179,linkedin.com,11,11,10,1.1,0.6,42,0,0
/global/archives/category/corporates/sk-ie-technology,google,11,6,6,1.8333333333333333,24.333333333333332,46,0,0
/global/archives/category/press-room,(direct),11,9,4,2.75,14.25,43,0,0
/global/,eng.skietechnology.com,10,1,1,10,95,49,0,0
/global/archives/15374,skenergy.com,10,8,7,1.4285714285714286,15.428571428571429,38,0,0
/global/archives/18770,google,10,12,8,1.25,55.625,42,0,0
/global/archives/category/corporate/sk-enmove,skenmove.com,10,9,9,1.1111111111111112,5.333333333333333,43,0,0
/global/archives/category/corporates/sk-innovation,google,10,10,10,1,15.6,39,0,0
/global/archives/category/people,(direct),10,13,12,0.8333333333333334,12.833333333333334,44,0,0
/global/archives/16448,google,9,8,7,1.2857142857142858,28.857142857142858,40,0,0
/global/archives/17737,google,9,11,7,1.2857142857142858,26.714285714285715,42,0,0
/global/archives/18283,google,9,8,5,1.8,38.6,38,0,0
/global/archives/18546,(direct),9,10,8,1.125,17.625,43,0,0
/global/archives/18659,google,9,13,8,1.125,15.875,43,0,0
/global/archives/category/corporate/sk-energy,skenergy.com,9,7,4,2.25,37.5,38,0,0
/global/archives/tag/northvolt,google,9,6,6,1.5,12.5,44,0,0
/global/archives/11161,google,8,9,5,1.6,39.8,36,0,0
/global/archives/15490,google,8,9,8,1,16.375,33,0,0
/global/archives/16493,google,8,10,8,1,42.125,41,0,0
/global/archives/17460,google,8,8,8,1,22,38,0,0
/global/archives/18989,(direct),8,9,7,1.1428571428571428,69.57142857142857,37,0,0
/global/archives/3820,google,8,11,5,1.6,52.2,39,0,0
/global/archives/6014,google,8,10,3,2.6666666666666665,6.666666666666667,29,0,0
/global/archives/6216,google,8,11,7,1.1428571428571428,14.428571428571429,44,0,0
/global/archives/category/corporates/sk-enterm,google,8,5,5,1.6,13.4,32,0,0
/global/archives/category/corporates/sk-innovation,skinnovation.com,8,2,2,4,36,30,0,0
/global/archives/category/insight,(direct),8,10,10,0.8,15.6,36,0,0
/global/archives/category/insight/trend_report,google,8,6,4,2,12,28,0,0
/global/archives/11004,google,7,7,5,1.4,42.4,29,0,0
/global/archives/12306,google,7,8,6,1.1666666666666667,40.833333333333336,33,0,0
/global/archives/14226,google,7,6,5,1.4,35.6,28,0,0
/global/archives/14634,google,7,6,6,1.1666666666666667,32.333333333333336,31,0,0
/global/archives/15374,(direct),7,7,6,1.1666666666666667,2.6666666666666665,28,0,0
/global/archives/16060,google,7,7,5,1.4,18.8,28,0,0
/global/archives/16131,(direct),7,7,0,0,0,20,0,0
/global/archives/16939,(direct),7,4,3,2.3333333333333335,28.666666666666668,23,0,0
/global/archives/17356,google,7,7,6,1.1666666666666667,48.5,32,0,0
/global/archives/17990,google,7,6,6,1.1666666666666667,15,32,0,0
/global/archives/18140,google,7,4,2,3.5,166,23,0,0
/global/archives/18388,(direct),7,6,6,1.1666666666666667,0.5,26,0,0
/global/archives/18989,linkedin.com,7,7,1,7,0,22,0,0
/global/archives/19045,bing,7,4,4,1.75,105,32,0,0
/global/archives/19149,skinnovation.com,7,4,4,1.75,53,28,0,0
/global/archives/19179,skenmove.com,7,8,5,1.4,63.2,29,0,0
/global/archives/4612,google,7,7,4,1.75,73,30,0,0
/global/archives/category/corporates,google,7,7,7,1,21.714285714285715,26,0,0
/global/archives/category/insight,google,7,3,3,2.3333333333333335,13.333333333333334,26,0,0
/global/sustainability-report,(direct),7,7,7,1,3.7142857142857144,34,0,0
/global/archives/15007,google,6,4,1,6,91,21,0,0
/global/archives/15259,(direct),6,5,5,1.2,8.2,25,0,0
/global/archives/16787,google,6,6,5,1.2,19.2,26,0,0
/global/archives/17426,bing,6,2,1,6,62,25,0,0
/global/archives/17446,google,6,7,6,1,24.166666666666668,30,0,0
/global/archives/17595,(direct),6,6,4,1.5,34.5,19,0,0
/global/archives/18301,google,6,6,6,1,37.666666666666664,28,0,0
