# ----------------------------------------
# 보고서 CSV 내보내기
# 계정: skinno global
# 속성: skinno 글로벌 - GA4
# ----------------------------------------
# 
# 모든 사용자
# 시작일: 20241007
# 종료일: 20241013
페이지 경로 및 화면 클래스,세션 소스,조회수,활성 사용자,활성 사용자당 조회수,활성 사용자당 평균 참여 시간,이벤트 수,주요 이벤트,총 수익
/global/archives/19179,google,1203,874,1.3764302059496567,6.273455377574371,4750,0,0
/global/archives/19179,(direct),242,140,1.7285714285714286,21.40714285714286,943,0,0
/pagead/aclk,google,113,89,1.2696629213483146,0,392,0,0
/global/latestnews,(direct),100,75,1.3333333333333333,19.12,370,0,0
/global/,google,52,35,1.4857142857142858,18.857142857142858,236,0,0
/global/,(direct),50,43,1.1627906976744187,5.162790697674419,249,0,0
/global/archives/19078,google,47,25,1.88,34.64,170,0,0
/global/archives/category/press-room/financial-results,google,43,20,2.15,22.35,173,0,0
/global/archives/18608,google,38,22,1.7272727272727273,32.09090909090909,161,0,0
/global/archives/18546,google,34,30,1.1333333333333333,28.033333333333335,155,0,0
/global/archives/18107,google,32,29,1.103448275862069,81.41379310344827,145,0,0
/global/archives/15374,google,27,22,1.2272727272727273,21.772727272727273,117,0,0
/global/archives/category/corporates/sk-on,google,27,15,1.8,51.6,106,0,0
/global/archives/12950,(direct),25,27,0.9259259259259259,9.25925925925926,90,0,0
/global/archives/17446,(direct),24,30,0.8,5.666666666666667,88,0,0
/global/archives/19045,google,24,17,1.411764705882353,45.705882352941174,94,0,0
/global/archives/19078,(direct),23,22,1.0454545454545454,18.863636363636363,101,0,0
/global/archives/19179,(not set),23,29,0.7931034482758621,5.551724137931035,118,0,0
/global/archives/9910,google,23,21,1.0952380952380953,31.666666666666668,108,0,0
/global/archives/17623,google,22,16,1.375,24.3125,92,0,0
/global/archives/17426,google,21,16,1.3125,25.6875,89,0,0
/global/archives/17737,google,19,15,1.2666666666666666,148,92,0,0
/global/archives/category/press-room/press-release,google,19,16,1.1875,24.125,80,0,0
/global/,linkedin.com,18,3,6,16.666666666666668,94,0,0
/global/latestnews,linkedin.com,18,2,9,26,71,0,0
/pagead/aclk,(direct),18,4,4.5,0,58,0,0
/global/archives/18770,google,17,14,1.2142857142857142,43.857142857142854,76,0,0
/global/archives/19149,(direct),17,17,1,12.882352941176471,70,0,0
/global/,skinnovation.com,16,10,1.6,25.4,111,0,0
/global/archives/17356,google,16,11,1.4545454545454546,71,76,0,0
/global/archives/18445,google,16,13,1.2307692307692308,157.53846153846155,68,0,0
/global/archives/18546,(direct),15,15,1,15.333333333333334,77,0,0
/global/archives/14491,google,14,11,1.2727272727272727,11.545454545454545,58,0,0
/global/archives/17216,google,14,13,1.0769230769230769,34.23076923076923,62,0,0
/global/archives/6216,google,14,14,1,100.28571428571429,70,0,0
/global/archives/category/corporates,google,14,12,1.1666666666666667,15.416666666666666,53,0,0
/global/archives/category/corporates/sk-innovation,google,14,12,1.1666666666666667,12.083333333333334,48,0,0
/global/archives/12022,google,13,12,1.0833333333333333,33.333333333333336,58,0,0
/global/archives/13780,google,13,8,1.625,35.5,49,0,0
/global/archives/15687,google,13,8,1.625,102.125,48,0,0
/global/archives/18283,google,13,12,1.0833333333333333,21.833333333333332,60,0,0
/global/archives/category/corporates/sk-enmove,(direct),13,4,3.25,97.5,53,0,0
/global/archives/category/press-room/press-release,(direct),13,4,3.25,10.5,46,0,0
/global/archives/17595,google,12,10,1.2,26,55,0,0
/global/archives/9740,google,12,11,1.0909090909090908,31.272727272727273,63,0,0
/global/archives/category/press-room,(direct),12,7,1.7142857142857142,5.142857142857143,47,0,0
/global/archives/category/press-room,google,12,10,1.2,111.4,49,0,0
/global/archives/13780,(direct),11,2,5.5,164.5,31,0,0
/global/archives/16060,google,11,8,1.375,12,45,0,0
/global/archives/17499,google,11,6,1.8333333333333333,212.33333333333334,53,0,0
