# ----------------------------------------
# 보고서 CSV 내보내기
# 계정: skinno global
# 속성: skinno 글로벌 - GA4
# ----------------------------------------
# 
# 모든 사용자
# 시작일: 20241007
# 종료일: 20241013
페이지 경로 및 화면 클래스,기기 카테고리,조회수,활성 사용자,활성 사용자당 조회수,활성 사용자당 평균 참여 시간,이벤트 수,주요 이벤트,총 수익
/global/archives/19179,mobile,1309,898,1.457683741648107,5.827394209354121,5175,0,0
/global/,desktop,153,99,1.5454545454545454,14.373737373737374,770,0,0
/global/archives/19179,desktop,144,117,1.2307692307692308,34.21367521367522,589,0,0
/pagead/aclk,mobile,133,92,1.4456521739130435,0,456,0,0
/global/latestnews,desktop,132,105,1.2571428571428571,20.17142857142857,513,0,0
/global/archives/19078,desktop,57,52,1.0961538461538463,34.88461538461539,258,0,0
/global/archives/category/press-room/financial-results,desktop,54,27,2,19.333333333333332,215,0,0
/global/archives/18546,desktop,49,44,1.1136363636363635,15.363636363636363,235,0,0
/global/archives/category/press-room/press-release,desktop,46,31,1.4838709677419355,24.64516129032258,175,0,0
/global/archives/18608,desktop,43,26,1.6538461538461537,33,180,0,0
/global/archives/19078,mobile,36,14,2.5714285714285716,18.285714285714285,117,0,0
/global/archives/15374,desktop,35,32,1.09375,19.15625,158,0,0
/global/archives/17426,desktop,34,26,1.3076923076923077,31.384615384615383,148,0,0
/global/archives/19179,tablet,33,24,1.375,1.7083333333333333,122,0,0
/global/archives/category/press-room,desktop,30,24,1.25,50.25,118,0,0
/global/archives/19202,desktop,29,23,1.2608695652173914,34.608695652173914,118,0,0
/global/archives/17356,desktop,28,22,1.2727272727272727,48.18181818181818,123,0,0
/global/archives/category/corporates,desktop,28,20,1.4,16.95,104,0,0
/global/archives/category/corporates/sk-on,desktop,27,19,1.4210526315789473,39.8421052631579,107,0,0
/global/archives/17446,desktop,26,32,0.8125,6.25,96,0,0
/global/archives/19045,desktop,26,22,1.1818181818181819,109.22727272727273,109,0,0
/global/archives/12950,desktop,25,27,0.9259259259259259,9.25925925925926,90,0,0
/global/archives/19149,desktop,24,24,1,17.208333333333332,98,0,0
/global/archives/18770,desktop,22,18,1.2222222222222223,31.11111111111111,99,0,0
/global/archives/18445,desktop,20,15,1.3333333333333333,149.26666666666668,81,0,0
/global/archives/category/corporates/sk-enmove,desktop,20,8,2.5,63.5,80,0,0
/global/archives/18107,mobile,19,19,1,108.89473684210526,89,0,0
/global/archives/17623,desktop,17,12,1.4166666666666667,31.083333333333332,73,0,0
/global/archives/17737,desktop,17,13,1.3076923076923077,170,81,0,0
/global/archives/19045,mobile,17,10,1.7,21.9,63,0,0
/global/archives/category/corporates/sk-on,mobile,17,4,4.25,95.75,61,0,0
/global/,mobile,15,12,1.25,11.75,63,0,0
/global/archives/13780,mobile,15,3,5,106.66666666666667,41,0,0
/global/archives/17623,mobile,15,8,1.875,16.125,49,0,0
/global/archives/18107,desktop,15,15,1,82.26666666666667,74,0,0
/global/archives/9910,mobile,15,12,1.25,28.416666666666668,65,0,0
/global/archives/category/corporates/sk-innovation,desktop,15,13,1.1538461538461537,12.461538461538462,58,0,0
/global/archives/category/insight/trend_report,desktop,15,8,1.875,6.625,59,0,0
/global/archives/12022,desktop,14,12,1.1666666666666667,28.75,61,0,0
/global/archives/19154,desktop,14,9,1.5555555555555556,35.111111111111114,61,0,0
/global/archives/6216,desktop,14,14,1,104.78571428571429,71,0,0
/global/archives/17595,desktop,13,11,1.1818181818181819,30,65,0,0
/global/archives/18283,desktop,13,13,1,19.76923076923077,65,0,0
/global/archives/16463,desktop,12,10,1.2,27.9,53,0,0
/global/archives/17216,desktop,12,10,1.2,34.5,55,0,0
/global/archives/9910,desktop,12,12,1,52.166666666666664,59,0,0
/global/archives/14491,desktop,11,8,1.375,9.875,46,0,0
/global/archives/15664,desktop,11,7,1.5714285714285714,29.285714285714285,40,0,0
/global/archives/15687,desktop,11,6,1.8333333333333333,104.66666666666667,40,0,0
/global/archives/16060,desktop,11,8,1.375,12,44,0,0
/global/archives/16532,desktop,11,8,1.375,25.375,47,0,0
/global/archives/17499,desktop,11,6,1.8333333333333333,86.83333333333333,50,0,0
/global/archives/489,desktop,11,7,1.5714285714285714,36.57142857142857,44,0,0
/global/archives/category/insight,desktop,11,10,1.1,14.6,43,0,0
/global/archives/category/people,desktop,11,12,0.9166666666666666,9.166666666666666,42,0,0
/global/archives/13780,desktop,10,9,1.1111111111111112,52.44444444444444,44,0,0
/global/archives/15204,desktop,10,5,2,17.4,39,0,0
/global/archives/15490,desktop,10,8,1.25,30.125,50,0,0
/global/archives/17569,desktop,10,9,1.1111111111111112,37.55555555555556,44,0,0
/global/archives/18989,desktop,10,8,1.25,34.375,39,0,0
/global/archives/4921,mobile,10,7,1.4285714285714286,48,46,0,0
/global/archives/11087,desktop,9,10,0.9,23.6,45,0,0
/global/archives/11400,desktop,9,9,1,9.555555555555555,33,0,0
/global/archives/15985,desktop,9,7,1.2857142857142858,17.285714285714285,35,0,0
/global/archives/17990,desktop,9,7,1.2857142857142858,18.714285714285715,36,0,0
/global/archives/18436,desktop,9,8,1.125,29.25,44,0,0
/global/archives/18770,mobile,9,7,1.2857142857142858,40,34,0,0
/global/archives/3820,desktop,9,8,1.125,44.5,41,0,0
/global/archives/category/corporate/sk-energy,desktop,9,7,1.2857142857142858,30.857142857142858,43,0,0
/global/archives/category/corporates/sk-energy,desktop,9,7,1.2857142857142858,25.857142857142858,35,0,0
/global/archives/13521,desktop,8,7,1.1428571428571428,8.571428571428571,40,0,0
/global/archives/15462,desktop,8,6,1.3333333333333333,9,32,0,0
/global/archives/15490,mobile,8,3,2.6666666666666665,0,24,0,0
/global/archives/16787,desktop,8,10,0.8,8.2,30,0,0
/global/archives/18361,desktop,8,5,1.6,19.4,29,0,0
/global/archives/18388,desktop,8,7,1.1428571428571428,104.42857142857143,34,0,0
/global/archives/18546,mobile,8,7,1.1428571428571428,88.28571428571429,36,0,0
/global/archives/18659,desktop,8,8,1,12.375,35,0,0
/global/archives/9740,mobile,8,8,1,35.625,39,0,0
/global/archives/category/corporates/sk-incheon-petrochem,desktop,8,5,1.6,22,33,0,0
/global/archives/tag/2024-q2,desktop,8,1,8,30,32,0,0
/global/archives/10985,desktop,7,4,1.75,15.25,26,0,0
/global/archives/14668,desktop,7,2,3.5,195.5,27,0,0
/global/archives/16154,desktop,7,6,1.1666666666666667,18.5,33,0,0
/global/archives/17460,mobile,7,7,1,24.285714285714285,32,0,0
/global/archives/17844,desktop,7,4,1.75,10.5,26,0,0
/global/archives/18065,desktop,7,5,1.4,42,29,0,0
/global/archives/18374,desktop,7,6,1.1666666666666667,5,27,0,0
/global/archives/19095,desktop,7,6,1.1666666666666667,21.333333333333332,28,0,0
/global/archives/3962,desktop,7,6,1.1666666666666667,17,36,0,0
/global/archives/9740,desktop,7,6,1.1666666666666667,21.666666666666668,38,0,0
/global/archives/category/corporates/sk-earthon,desktop,7,4,1.75,23.75,26,0,0
/global/archives/category/corporates/sk-innovation,mobile,7,5,1.4,13.6,22,0,0
/global/archives/category/press-room/issue-fact,desktop,7,7,1,13.285714285714286,29,0,0
/global/sustainability-report,desktop,7,6,1.1666666666666667,13.5,34,0,0
/global/archives/10774,desktop,6,4,1.5,35.25,28,0,0
/global/archives/11087,mobile,6,5,1.2,95.8,28,0,0
/global/archives/13595,desktop,6,3,2,28,23,0,0
/global/archives/18022,desktop,6,6,1,10.166666666666666,27,0,0
/global/archives/5892,desktop,6,4,1.5,12.75,27,0,0
/global/archives/6343,desktop,6,6,1,25,31,0,0
/global/archives/7445,desktop,6,4,1.5,55.25,24,0,0
/global/archives/9709,desktop,6,4,1.5,13,26,0,0
/global/archives/category/corporates/sk-ie-technology,desktop,6,4,1.5,22.75,26,0,0
/global/archives/category/people/inno-people,desktop,6,6,1,17.166666666666668,23,0,0
/global/archives/11807,mobile,5,3,1.6666666666666667,43,19,0,0
/global/archives/12274/skee,desktop,5,5,1,6.8,25,0,0
/global/archives/14354,desktop,5,3,1.6666666666666667,9.666666666666666,24,0,0
/global/archives/14766,desktop,5,4,1.25,19,20,0,0
/global/archives/14770,desktop,5,4,1.25,23.5,22,0,0
/global/archives/15374,mobile,5,1,5,0,15,0,0
/global/archives/16834,desktop,5,5,1,26.2,23,0,0
/global/archives/17216,mobile,5,5,1,49.6,17,0,0
/global/archives/17313,desktop,5,4,1.25,61.25,19,0,0
/global/archives/17817,mobile,5,3,1.6666666666666667,53.666666666666664,20,0,0
/global/archives/19078,tablet,5,4,1.25,0.25,18,0,0
/global/archives/19149,mobile,5,3,1.6666666666666667,30,16,0,0
/global/archives/6377,mobile,5,4,1.25,11.5,21,0,0
/global/archives/7740,desktop,5,5,1,15,20,0,0
/global/archives/8400,desktop,5,1,5,15,18,0,0
/global/archives/category/corporate/sk-enmove,desktop,5,4,1.25,15.75,20,0,0
/global/archives/category/corporate/sk-on,desktop,5,1,5,26,19,0,0
/global/archives/tag/northvolt,desktop,5,3,1.6666666666666667,6,22,0,0
/OLE/index_page.php,desktop,4,1,4,0,12,0,0
/global/archives/10913,desktop,4,4,1,8.75,19,0,0
/global/archives/10939,desktop,4,4,1,16.75,18,0,0
/global/archives/11161,desktop,4,4,1,59.25,22,0,0
/global/archives/12022,mobile,4,3,1.3333333333333333,40.333333333333336,18,0,0
/global/archives/12147,desktop,4,3,1.3333333333333333,30,19,0,0
/global/archives/13130,desktop,4,4,1,28.25,20,0,0
/global/archives/14226,desktop,4,4,1,20.75,18,0,0
/global/archives/14309,desktop,4,4,1,2.75,16,0,0
/global/archives/14493,desktop,4,4,1,35.75,19,0,0
/global/archives/14766,mobile,4,2,2,7.5,12,0,0
/global/archives/15204,mobile,4,4,1,13.75,20,0,0
/global/archives/15259,desktop,4,3,1.3333333333333333,4,13,0,0
/global/archives/15574,desktop,4,4,1,14,16,0,0
/global/archives/15865,mobile,4,1,4,9,11,0,0
/global/archives/16286,desktop,4,3,1.3333333333333333,8,16,0,0
/global/archives/16376,desktop,4,4,1,0.75,20,0,0
/global/archives/16448,desktop,4,2,2,31,15,0,0
/global/archives/16480,desktop,4,4,1,3.25,20,0,0
/global/archives/17476,mobile,4,5,0.8,55.6,20,0,0
/global/archives/17595,mobile,4,5,0.8,18.8,15,0,0
/global/archives/17817,desktop,4,4,1,15,19,0,0
/global/archives/17893,desktop,4,4,1,7,17,0,0
/global/archives/17950,desktop,4,3,1.3333333333333333,10.333333333333334,18,0,0
/global/archives/18022,mobile,4,4,1,2.75,16,0,0
/global/archives/18140,desktop,4,4,1,100.25,14,0,0
/global/archives/18301,mobile,4,3,1.3333333333333333,31.666666666666668,17,0,0
/global/archives/18332,desktop,4,3,1.3333333333333333,29,17,0,0
/global/archives/18753,desktop,4,4,1,223,18,0,0
/global/archives/19014,desktop,4,4,1,13.75,19,0,0
