# ----------------------------------------
# 보고서 CSV 내보내기
# 계정: skinno global
# 속성: skinno 글로벌 - GA4
# ----------------------------------------
# 
# 모든 사용자
# 시작일: 20241007
# 종료일: 20241013
페이지 경로 및 화면 클래스,국가,조회수,활성 사용자,활성 사용자당 조회수,활성 사용자당 평균 참여 시간,이벤트 수,주요 이벤트,총 수익
/global/archives/19179,Chile,1308,897,1.4581939799331103,6.012263099219621,5172,0,0
/pagead/aclk,United States,134,92,1.4565217391304348,0,460,0,0
/global/archives/19179,United States,88,70,1.2571428571428571,13.971428571428572,350,0,0
/global/latestnews,China,70,82,0.8536585365853658,19.70731707317073,281,0,0
/global/,South Korea,56,26,2.1538461538461537,19.46153846153846,318,0,0
/global/,United Kingdom,30,28,1.0714285714285714,3,140,0,0
/global/archives/19078,United Arab Emirates,24,6,4,0.16666666666666666,72,0,0
/global/latestnews,South Korea,24,5,4.8,25.6,93,0,0
/global/archives/19179,South Korea,23,16,1.4375,83.0625,89,0,0
/global/archives/9910,Malaysia,20,16,1.25,30.375,88,0,0
/global/archives/19078,Singapore,18,17,1.0588235294117647,41.88235294117647,91,0,0
/global/archives/13780,Indonesia,17,4,4.25,127,48,0,0
/global/archives/19202,South Korea,15,10,1.5,18.8,62,0,0
/global/archives/category/corporates/sk-enmove,South Korea,15,3,5,116.33333333333333,60,0,0
/global/latestnews,Germany,15,1,15,21,49,0,0
/global/archives/12950,Netherlands,14,17,0.8235294117647058,11.941176470588236,55,0,0
/global/archives/17446,Netherlands,14,19,0.7368421052631579,6.315789473684211,52,0,0
/global/archives/17737,South Korea,14,10,1.4,217,64,0,0
/global/archives/18546,United States,14,14,1,18.642857142857142,63,0,0
/global/archives/19045,Malaysia,14,9,1.5555555555555556,182.77777777777777,53,0,0
/global/archives/17426,India,13,7,1.8571428571428572,54.857142857142854,55,0,0
/global/archives/17623,Indonesia,13,7,1.8571428571428572,18.428571428571427,42,0,0
/global/,Japan,12,7,1.7142857142857142,19.571428571428573,72,0,0
/global/,United States,12,10,1.2,10.7,65,0,0
/global/archives/19078,South Korea,12,9,1.3333333333333333,40.333333333333336,48,0,0
/global/archives/19179,Indonesia,12,7,1.7142857142857142,165.14285714285714,51,0,0
/global/archives/489,Singapore,12,8,1.5,32,46,0,0
/global/archives/category/press-room/financial-results,India,12,8,1.5,22,50,0,0
/global/,Germany,11,6,1.8333333333333333,20.333333333333332,43,0,0
/global/archives/15490,Canada,11,5,2.2,9,40,0,0
/global/archives/17623,South Korea,11,6,1.8333333333333333,50.666666666666664,48,0,0
/global/archives/18608,India,11,6,1.8333333333333333,35,46,0,0
/global/archives/category/insight/trend_report,South Korea,11,6,1.8333333333333333,6.833333333333333,44,0,0
/global/archives/category/press-room/press-release,India,11,8,1.375,10.125,43,0,0
/global/archives/15374,South Korea,10,8,1.25,23.625,44,0,0
/global/archives/17595,United States,10,8,1.25,29,48,0,0
/global/archives/18770,Hungary,10,8,1.25,42.75,38,0,0
/global/archives/19179,(not set),10,11,0.9090909090909091,0,41,0,0
/global/archives/19179,Japan,10,8,1.25,16.125,43,0,0
/global/archives/4921,United States,10,7,1.4285714285714286,48,46,0,0
/global/archives/category/press-room/press-release,Japan,10,3,3.3333333333333335,29,34,0,0
/global/archives/16463,United States,9,8,1.125,31,45,0,0
/global/archives/18107,United States,9,9,1,98.77777777777777,42,0,0
/global/archives/19078,Malaysia,9,8,1.125,29,37,0,0
/global/archives/category/corporates/sk-on,United States,9,3,3,71.33333333333333,35,0,0
/global/archives/category/press-room,Singapore,9,4,2.25,9,35,0,0
/global/archives/category/press-room/financial-results,Germany,9,1,9,94,36,0,0
/global/archives/category/press-room/financial-results,Singapore,9,4,2.25,15,35,0,0
/global/archives/11087,United States,8,8,1,62.25,41,0,0
/global/archives/15204,South Korea,8,4,2,20.25,32,0,0
/global/archives/18445,South Korea,8,8,1,37.75,36,0,0
/global/archives/18546,South Korea,8,7,1.1428571428571428,27.428571428571427,39,0,0
/global/archives/category/corporates/sk-on,South Korea,8,4,2,43.25,35,0,0
/global/archives/category/insight,United States,8,8,1,12.125,33,0,0
/global/archives/tag/2024-q2,Spain,8,1,8,30,32,0,0
/global/,India,7,7,1,13.571428571428571,27,0,0
/global/archives/11400,Singapore,7,8,0.875,10.75,27,0,0
/global/archives/14668,South Korea,7,2,3.5,195.5,27,0,0
/global/archives/15374,Singapore,7,7,1,20.285714285714285,31,0,0
/global/archives/16787,Singapore,7,9,0.7777777777777778,6.222222222222222,26,0,0
/global/archives/17356,United States,7,6,1.1666666666666667,12.5,32,0,0
/global/archives/19179,Hungary,7,4,1.75,26,24,0,0
/global/archives/9740,United States,7,7,1,26.428571428571427,33,0,0
/global/archives/category/corporates/sk-incheon-petrochem,United States,7,4,1.75,22.5,29,0,0
/global/archives/category/corporates/sk-on,Singapore,7,3,2.3333333333333335,45,26,0,0
/global/archives/category/press-room,United States,7,6,1.1666666666666667,176.16666666666666,26,0,0
/global/archives/category/press-room/press-release,United States,7,4,1.75,61,29,0,0
/global/,China,6,4,1.5,33.5,21,0,0
/global/,Singapore,6,4,1.5,8.75,30,0,0
/global/archives/12274/skee,South Korea,6,6,1,6,30,0,0
/global/archives/15664,South Korea,6,3,2,64,20,0,0
/global/archives/15687,Philippines,6,3,2,78.33333333333333,20,0,0
/global/archives/17356,South Korea,6,4,1.5,122.5,26,0,0
/global/archives/17499,South Korea,6,2,3,213.5,29,0,0
/global/archives/17844,India,6,3,2,14,20,0,0
/global/archives/18283,South Korea,6,6,1,22.833333333333332,30,0,0
/global/archives/18546,United Kingdom,6,5,1.2,19.2,31,0,0
/global/archives/18608,Singapore,6,3,2,45,23,0,0
/global/archives/18608,United States,6,6,1,47.833333333333336,27,0,0
/global/archives/19045,Singapore,6,5,1.2,113.4,27,0,0
/global/archives/19045,Vietnam,6,2,3,9.5,20,0,0
/global/archives/19078,United Kingdom,6,5,1.2,20.6,25,0,0
/global/archives/19149,United States,6,6,1,18.666666666666668,23,0,0
/global/archives/19179,India,6,6,1,10.5,22,0,0
/global/archives/19179,Spain,6,5,1.2,7,26,0,0
/global/archives/6216,South Korea,6,6,1,93.83333333333333,30,0,0
/global/archives/category/corporates,United States,6,3,2,38,22,0,0
/global/latestnews,United States,6,3,2,35,23,0,0
/global/,France,5,2,2.5,26,22,0,0
/global/,Spain,5,3,1.6666666666666667,16.333333333333332,21,0,0
/global/archives/12950,Finland,5,6,0.8333333333333334,7.333333333333333,18,0,0
/global/archives/14766,United States,5,4,1.25,22.5,23,0,0
/global/archives/15374,Malaysia,5,3,1.6666666666666667,35,19,0,0
/global/archives/17426,South Korea,5,3,1.6666666666666667,8,22,0,0
/global/archives/17446,Finland,5,5,1,2.6,15,0,0
/global/archives/17990,South Korea,5,3,1.6666666666666667,29.666666666666668,20,0,0
/global/archives/18361,India,5,2,2.5,43,16,0,0
/global/archives/18546,Japan,5,5,1,14,25,0,0
/global/archives/18546,Singapore,5,5,1,3.2,22,0,0
/global/archives/18608,Germany,5,1,5,43,20,0,0
/global/archives/18659,(not set),5,5,1,0,20,0,0
/global/archives/19149,South Korea,5,5,1,5.4,18,0,0
/global/archives/19154,France,5,2,2.5,22,18,0,0
/global/archives/6343,South Korea,5,5,1,30,26,0,0
/global/archives/8400,South Korea,5,1,5,15,18,0,0
/global/archives/category/corporates/sk-on,Japan,5,2,2.5,41.5,19,0,0
/global/archives/category/people,United States,5,6,0.8333333333333334,11.166666666666666,19,0,0
/global/archives/category/press-room/financial-results,Spain,5,1,5,33,20,0,0
/global/archives/category/press-room/financial-results,United States,5,5,1,15.6,19,0,0
/global/archives/tag/northvolt,South Korea,5,3,1.6666666666666667,6,22,0,0
/global/latestnews,India,5,5,1,13.4,21,0,0
/OLE/index_page.php,Norway,4,1,4,0,12,0,0
/global/archives/10913,Thailand,4,4,1,164,19,0,0
/global/archives/12022,India,4,3,1.3333333333333333,13.666666666666666,17,0,0
/global/archives/13595,Germany,4,1,4,77,14,0,0
/global/archives/14354,France,4,2,2,14.5,18,0,0
/global/archives/15865,India,4,1,4,9,11,0,0
/global/archives/16060,Singapore,4,2,2,10,14,0,0
/global/archives/17426,Singapore,4,5,0.8,37.4,17,0,0
/global/archives/18107,United Kingdom,4,3,1.3333333333333333,43.333333333333336,16,0,0
/global/archives/18301,United States,4,3,1.3333333333333333,9.333333333333334,16,0,0
/global/archives/18388,United States,4,4,1,103.75,18,0,0
/global/archives/18436,China,4,4,1,21,19,0,0
/global/archives/18445,Philippines,4,2,2,0,14,0,0
/global/archives/18546,Germany,4,2,2,109,19,0,0
/global/archives/18770,India,4,3,1.3333333333333333,12.333333333333334,18,0,0
/global/archives/18770,Singapore,4,2,2,45.5,17,0,0
/global/archives/18770,South Korea,4,4,1,39,20,0,0
/global/archives/19045,South Korea,4,4,1,3.5,14,0,0
/global/archives/19078,India,4,4,1,17.75,15,0,0
/global/archives/19078,United States,4,4,1,38,19,0,0
/global/archives/19095,South Korea,4,3,1.3333333333333333,30.333333333333332,17,0,0
/global/archives/19179,Italy,4,4,1,4.75,18,0,0
/global/archives/19202,United States,4,4,1,20.5,18,0,0
/global/archives/5892,South Korea,4,2,2,8,18,0,0
/global/archives/6014,United States,4,2,2,0,15,0,0
/global/archives/category/corporate/sk-energy,India,4,2,2,38.5,19,0,0
/global/archives/category/corporate/sk-on,Taiwan,4,1,4,26,16,0,0
/global/archives/category/corporate/sk-on,United States,4,1,4,102,18,0,0
/global/archives/category/corporates,Singapore,4,3,1.3333333333333333,10,15,0,0
/global/archives/category/corporates/sk-earthon,Taiwan,4,1,4,68,16,0,0
/global/archives/category/corporates/sk-ie-technology,Japan,4,2,2,41.5,18,0,0
/global/archives/category/corporates/sk-innovation,India,4,3,1.3333333333333333,7,13,0,0
/global/archives/category/corporates/sk-innovation,Singapore,4,3,1.3333333333333333,13,15,0,0
/global/archives/category/insight/trend_report,Singapore,4,1,4,0,12,0,0
/global/archives/category/press-room,India,4,4,1,6.25,14,0,0
/global/archives/category/press-room/financial-results,Poland,4,1,4,38,16,0,0
/global/archives/category/press-room/press-release,Singapore,4,3,1.3333333333333333,5.666666666666667,15,0,0
/global/archives/tag/ccus,Taiwan,4,2,2,11.5,17,0,0
/global/archives/tag/dac,Thailand,4,1,4,9,16,0,0
/global/archives/tag/sk-primacor-europe,Spain,4,2,2,32,17,0,0
/global/archives/tag/sko,South Korea,4,3,1.3333333333333333,7,19,0,0
/global/latestnews,Taiwan,4,2,2,43,16,0,0
/global/,Hong Kong,3,2,1.5,5,13,0,0
/global/,Hungary,3,2,1.5,34,12,0,0
/global/archives/10985,South Africa,3,1,3,9,10,0,0
/global/archives/11807,Indonesia,3,1,3,0,9,0,0
/global/archives/12022,Germany,3,1,3,36,13,0,0
/global/archives/12106,Indonesia,3,2,1.5,0,6,0,0
/global/archives/12950,United States,3,1,3,3,10,0,0
/global/archives/13521,Germany,3,2,1.5,14.5,13,0,0
/global/archives/13780,South Korea,3,2,1.5,15.5,12,0,0
/global/archives/13780,United States,3,3,1,49.333333333333336,15,0,0
/global/archives/14309,United States,3,3,1,0,12,0,0
/global/archives/14491,Singapore,3,2,1.5,28.5,12,0,0
/global/archives/14740,United States,3,3,1,10.333333333333334,14,0,0
/global/archives/14766,India,3,1,3,0,7,0,0
/global/archives/15374,Australia,3,3,1,25.666666666666668,16,0,0
/global/archives/15374,Hong Kong,3,3,1,1.3333333333333333,12,0,0
/global/archives/15374,India,3,1,3,0,10,0,0
/global/archives/15687,South Korea,3,2,1.5,279.5,12,0,0
/global/archives/15985,South Korea,3,2,1.5,3.5,9,0,0
/global/archives/15985,United States,3,2,1.5,30,12,0,0
/global/archives/16060,South Korea,3,3,1,13.333333333333334,12,0,0
/global/archives/16154,South Korea,3,2,1.5,40,14,0,0
/global/archives/16448,United Arab Emirates,3,1,3,0,10,0,0
/global/archives/16532,Malaysia,3,2,1.5,34,13,0,0
/global/archives/16532,Singapore,3,2,1.5,71.5,13,0,0
/global/archives/16532,United States,3,2,1.5,9,11,0,0
/global/archives/16532,Vietnam,3,3,1,94.33333333333333,16,0,0
/global/archives/16719,South Korea,3,3,1,60.333333333333336,15,0,0
/global/archives/16834,United States,3,3,1,4,15,0,0
/global/archives/17047,United States,3,2,1.5,182,12,0,0
/global/archives/17216,South Korea,3,2,1.5,50.5,14,0,0
/global/archives/17216,Taiwan,3,2,1.5,98.5,13,0,0
/global/archives/17356,Indonesia,3,3,1,58.666666666666664,12,0,0
