# ----------------------------------------
# 보고서 CSV 내보내기
# 계정: skinno global
# 속성: skinno 글로벌 - GA4
# ----------------------------------------
# 
# 모든 사용자
# 시작일: 20241014
# 종료일: 20241020
페이지 경로 및 화면 클래스,기기 카테고리,조회수,세션수,활성 사용자,활성 사용자당 조회수,활성 사용자당 평균 참여 시간,이벤트 수,주요 이벤트,총 수익
/global/archives/19179,desktop,262,255,243,1.0781893004115226,3.065843621399177,973,0,0
/global/archives/19179,mobile,230,192,148,1.554054054054054,4.837837837837838,850,0,0
/global/,desktop,170,147,112,1.5178571428571428,14.517857142857142,1475,0,0
/global/latestnews,desktop,131,144,105,1.2476190476190476,19.4,487,0,0
/global/archives/18546,desktop,70,83,56,1.25,57.732142857142854,303,0,0
/global/archives/17426,desktop,66,50,37,1.7837837837837838,72.86486486486487,274,0,0
/global/archives/category/press-room/financial-results,desktop,64,38,33,1.9393939393939394,36.39393939393939,248,0,0
/global/archives/19078,desktop,52,46,41,1.2682926829268293,41.8780487804878,226,0,0
/global/archives/category/press-room/press-release,desktop,51,41,29,1.7586206896551724,42.44827586206897,192,0,0
/global/archives/19230,desktop,44,41,32,1.375,16.625,175,0,0
/pagead/aclk,mobile,39,31,31,1.2580645161290323,0,134,0,0
/global/archives/19045,desktop,33,39,27,1.2222222222222223,47.7037037037037,149,0,0
/global/archives/category/press-room,desktop,32,27,20,1.6,16.35,118,0,0
/global/archives/18770,desktop,26,21,16,1.625,47.3125,99,0,0
/global/archives/category/corporates,desktop,25,14,12,2.0833333333333335,37.333333333333336,102,0,0
/global/archives/18107,desktop,23,24,18,1.2777777777777777,89.22222222222223,100,0,0
/global/archives/6216,desktop,22,24,18,1.2222222222222223,87.27777777777777,107,0,0
/global/archives/category/corporates/sk-on,desktop,22,18,17,1.2941176470588236,33.05882352941177,80,0,0
/global/archives/18608,desktop,21,22,17,1.2352941176470589,26.294117647058822,95,0,0
/global/archives/19078,mobile,19,18,10,1.9,23.5,66,0,0
/global/archives/4612,desktop,19,12,9,2.111111111111111,25.88888888888889,79,0,0
/global/,mobile,18,11,11,1.6363636363636365,20.818181818181817,90,0,0
/global/archives/10774,desktop,18,20,17,1.0588235294117647,36.411764705882355,91,0,0
/global/archives/15374,desktop,18,22,15,1.2,70.73333333333333,78,0,0
/global/archives/15490,desktop,18,19,16,1.125,43.8125,86,0,0
/global/archives/15664,desktop,18,14,11,1.6363636363636365,87.54545454545455,71,0,0
/global/archives/17595,desktop,18,18,13,1.3846153846153846,11.461538461538462,74,0,0
/global/archives/19230,mobile,18,10,8,2.25,26.125,70,0,0
/global/archives/19045,mobile,17,17,11,1.5454545454545454,26.90909090909091,64,0,0
/global/archives/category/people,desktop,17,18,14,1.2142857142857142,17.428571428571427,71,0,0
/global/archives/18445,desktop,16,17,12,1.3333333333333333,133.58333333333334,80,0,0
/global/archives/7445,desktop,16,6,6,2.6666666666666665,23.666666666666668,64,0,0
/global/archives/15865,desktop,14,10,4,3.5,50.75,47,0,0
/global/archives/16376,desktop,14,15,13,1.0769230769230769,20.846153846153847,63,0,0
/global/archives/17216,desktop,14,13,12,1.1666666666666667,78.66666666666667,58,0,0
/global/archives/18107,mobile,14,13,13,1.0769230769230769,90.15384615384616,64,0,0
/global/archives/19149,desktop,14,15,12,1.1666666666666667,23.833333333333332,51,0,0
/global/archives/category/corporates/sk-innovation,desktop,14,13,13,1.0769230769230769,12,55,0,0
/global/archives/14491,desktop,13,14,11,1.1818181818181819,49.27272727272727,60,0,0
