# ----------------------------------------
# 보고서 CSV 내보내기
# 계정: skinno global
# 속성: skinno 글로벌 - GA4
# ----------------------------------------
# 
# 모든 사용자
# 시작일: 20241021
# 종료일: 20241027
페이지 경로 및 화면 클래스,조회수,세션수,활성 사용자,활성 사용자당 조회수,활성 사용자당 평균 참여 시간,이벤트 수,주요 이벤트,총수익
/global/archives/19268,1022,812,715,1.4293706293706294,10.932867132867132,3749,0,0
/global/,258,194,159,1.6226415094339623,27.861635220125788,1905,0,0
/global/archives/19393,241,231,209,1.1531100478468899,31.9377990430622,1003,0,0
/global/latestnews,147,163,130,1.1307692307692307,21.284615384615385,545,0,0
/pagead/aclk,103,68,67,1.537313432835821,0,324,0,0
/global/archives/18546,78,85,64,1.21875,32.890625,345,0,0
/global/archives/category/press-room/financial-results,65,40,33,1.9696969696969697,28.060606060606062,260,0,0
/global/archives/19179,64,66,48,1.3333333333333333,46.229166666666664,255,0,0
/global/archives/19078,59,54,40,1.475,42.075,242,0,0
/global/archives/category/press-room/press-release,59,51,34,1.7352941176470589,24.058823529411764,232,0,0
/global/archives/17426,56,54,38,1.4736842105263157,38.526315789473685,246,0,0
/global/archives/15490,50,44,35,1.4285714285714286,47.22857142857143,225,0,0
/global/archives/18608,49,45,34,1.4411764705882353,21.58823529411765,204,0,0
/global/archives/19045,47,44,40,1.175,40.7,200,0,0
/global/archives/17356,44,47,30,1.4666666666666666,54.53333333333333,173,0,0
/global/archives/category/corporates,42,32,32,1.3125,15.15625,156,0,0
/global/archives/18107,34,32,30,1.1333333333333333,116.03333333333333,163,0,0
/global/archives/category/press-room,34,36,23,1.4782608695652173,13.91304347826087,128,0,0
/global/archives/category/corporates/sk-innovation,33,27,25,1.32,18.48,127,0,0
/global/archives/15687,31,36,19,1.631578947368421,51.1578947368421,129,0,0
/global/archives/19349,31,29,28,1.1071428571428572,20.642857142857142,121,0,0
/global/archives/category/corporates/sk-geo-centric,27,16,12,2.25,32.5,104,0,0
/global/archives/category/corporates/sk-on,26,22,18,1.4444444444444444,34.333333333333336,105,0,0
/global/archives/15374,25,35,23,1.0869565217391304,35.30434782608695,128,0,0
/global/archives/17569,25,31,19,1.3157894736842106,28.894736842105264,105,0,0
/global/archives/19154,24,20,18,1.3333333333333333,25,101,0,0
/global/archives/19328,24,23,22,1.0909090909090908,21.045454545454547,89,0,0
/global/archives/category/corporates/sk-earthon,24,16,12,2,28,95,0,0
/global/archives/14491,21,25,17,1.2352941176470589,18.823529411764707,93,0,0
/global/archives/17446,21,23,24,0.875,5.125,79,0,0
/global/archives/18770,21,21,15,1.4,10.6,83,0,0
/global/archives/4921,21,18,18,1.1666666666666667,20.166666666666668,94,0,0
/global/archives/category/corporates/sk-energy,20,14,14,1.4285714285714286,19.142857142857142,75,0,0
/global/archives/15937,19,16,10,1.9,60.1,85,0,0
/global/archives/9740,19,19,15,1.2666666666666666,57.8,82,0,0
/global/archives/16834,18,18,15,1.2,21.133333333333333,77,0,0
/global/archives/17499,18,22,18,1,21.555555555555557,85,0,0
