# ----------------------------------------
# 보고서 CSV 내보내기
# 계정: skinno global
# 속성: skinno 글로벌 - GA4
# ----------------------------------------
# 
# 모든 사용자
# 시작일: 20241028
# 종료일: 20241103
페이지 경로 및 화면 클래스,국가,조회수,세션수,활성 사용자,활성 사용자당 조회수,활성 사용자당 평균 참여 시간,이벤트 수,주요 이벤트,총수익
/global/archives/19268,Mexico,1228,1014,792,1.5505050505050506,1.7234848484848484,4263,0,0
/global/,South Korea,155,92,55,2.8181818181818183,53,1898,0,0
/pagead/aclk,United States,109,74,74,1.472972972972973,0,340,0,0
/global/latestnews,China,92,104,100,0.92,19.64,363,0,0
/global/archives/19421,United States,61,66,56,1.0892857142857142,19.75,269,0,0
/global/archives/19268,United States,59,58,53,1.1132075471698113,3.5283018867924527,228,0,0
/global/archives/19393,South Korea,37,39,32,1.15625,4.84375,150,0,0
/global/archives/19421,South Korea,33,30,24,1.375,52.666666666666664,129,0,0
/global/,United States,30,21,19,1.5789473684210527,17.63157894736842,115,0,0
/global/archives/19421,China,29,18,15,1.9333333333333333,109.33333333333333,89,0,0
/global/latestnews,Germany,28,28,1,28,20,69,0,0
/global/,United Kingdom,26,26,26,1,1.8846153846153846,126,0,0
/global/sustainability-report,United States,24,24,24,1,4.875,118,0,0
/global/archives/18546,South Korea,20,23,16,1.25,73.625,74,0,0
/global/archives/19078,India,20,18,6,3.3333333333333335,7.333333333333333,68,0,0
/global/archives/13130,United States,19,19,19,1,4.315789473684211,95,0,0
/global/archives/18546,Singapore,19,18,15,1.2666666666666666,60.46666666666667,85,0,0
/global/archives/18445,South Korea,17,14,11,1.5454545454545454,23.181818181818183,78,0,0
/global/archives/19393,United States,16,17,15,1.0666666666666667,22.466666666666665,62,0,0
/global/,China,15,12,11,1.3636363636363635,21.09090909090909,59,0,0
/global/archives/16060,India,15,14,1,15,99,51,0,0
/global/archives/19393,India,15,11,10,1.5,64.5,60,0,0
/global/archives/19393,Singapore,15,16,13,1.1538461538461537,19.923076923076923,57,0,0
/global/archives/category/corporates/sk-innovation,South Korea,15,10,7,2.142857142857143,19.857142857142858,57,0,0
/global/archives/17426,United States,13,7,5,2.6,68,56,0,0
/global/archives/19421,Singapore,13,14,12,1.0833333333333333,15.75,54,0,0
/global/latestnews,United States,13,12,6,2.1666666666666665,14.166666666666666,38,0,0
/global/archives/15592,United States,12,12,12,1,3.6666666666666665,58,0,0
/global/archives/17595,South Korea,12,12,6,2,66.66666666666667,55,0,0
/global/archives/18546,Australia,12,16,9,1.3333333333333333,5.222222222222222,56,0,0
/global/archives/19078,Singapore,12,11,10,1.2,18.2,53,0,0
/global/archives/19202,South Korea,12,10,7,1.7142857142857142,44.142857142857146,45,0,0
/global/archives/category/press-room/press-release,India,12,10,9,1.3333333333333333,15.333333333333334,47,0,0
/global/archives/18546,Hong Kong,11,12,6,1.8333333333333333,25.333333333333332,46,0,0
/global/archives/19421,Malaysia,11,11,8,1.375,7,44,0,0
/global/archives/category/corporates/sk-on,South Korea,11,9,7,1.5714285714285714,30.142857142857142,41,0,0
/global/archives/category/press-room/press-release,South Korea,11,12,10,1.1,9.4,44,0,0
/global/latestnews,South Korea,11,11,4,2.75,35.75,45,0,0
/global/archives/15490,United States,10,13,9,1.1111111111111112,24.333333333333332,48,0,0
/global/archives/category/press-room,China,10,9,6,1.6666666666666667,65.5,33,0,0
/global/archives/category/press-room/financial-results,Singapore,10,5,4,2.5,14.25,40,0,0
/global/archives/category/press-room/financial-results,United States,10,3,2,5,40.5,40,0,0
/global/,Japan,9,7,7,1.2857142857142858,15.428571428571429,56,0,0
/global/,Sweden,9,3,3,3,28,36,0,0
/global/archives/17623,South Korea,9,7,6,1.5,38.333333333333336,41,0,0
/global/archives/4921,United States,9,11,10,0.9,13.4,45,0,0
/global/archives/6216,United States,9,9,8,1.125,37.125,40,0,0
/global/archives/category/press-room/press-release,Japan,9,6,1,9,22,27,0,0
/global/,India,8,8,6,1.3333333333333333,4.833333333333333,43,0,0
/global/archives/15490,Canada,8,7,7,1.1428571428571428,162.71428571428572,37,0,0
/global/archives/18107,Canada,8,8,8,1,49.75,40,0,0
/global/archives/18546,United States,8,10,8,1,36.375,40,0,0
/global/archives/18770,South Korea,8,9,8,1,26.75,30,0,0
/global/archives/19078,South Korea,8,6,4,2,62.75,34,0,0
/global/archives/19078,United Arab Emirates,8,8,0,0,0,21,0,0
/global/archives/19179,South Korea,8,5,5,1.6,9.6,26,0,0
/global/archives/19230,South Korea,8,6,4,2,4.5,30,0,0
/global/archives/19268,(not set),8,8,8,1,0,31,0,0
/global/archives/19268,South Korea,8,6,5,1.6,1.8,23,0,0
