# ----------------------------------------
# 보고서 CSV 내보내기
# 계정: skinno global
# 속성: skinno 글로벌 - GA4
# ----------------------------------------
# 
# 모든 사용자
# 시작일: 20241028
# 종료일: 20241103
국가,조회수,세션수,활성 사용자,새 사용자 수,참여 세션수,참여율,활성 사용자당 참여 세션수,활성 사용자당 평균 참여 시간,이벤트 수,주요 이벤트,총수익,사용자 키 이벤트 비율
Mexico,1236,1019,796,790,366,0.3591756624141315,0.45979899497487436,1.7587939698492463,4303,0,0,0
South Korea,784,466,323,275,238,0.5107296137339056,0.7368421052631579,61.421052631578945,4531,0,0,0
United States,745,600,531,515,243,0.405,0.4576271186440678,21.37853107344633,3063,0,0,0
China,231,170,147,129,118,0.6941176470588235,0.8027210884353742,57.414965986394556,851,0,0,0
Singapore,224,138,99,82,79,0.572463768115942,0.797979797979798,60.07070707070707,936,0,0,0
India,183,134,83,78,70,0.5223880597014925,0.8433734939759037,46.493975903614455,750,0,0,0
Japan,112,99,66,53,43,0.43434343434343436,0.6515151515151515,37.65151515151515,508,0,0,0
United Kingdom,108,95,78,70,54,0.5684210526315789,0.6923076923076923,30.743589743589745,496,0,0,0
Germany,95,85,43,40,24,0.2823529411764706,0.5581395348837209,33.372093023255815,368,0,0,0
Hong Kong,86,63,36,27,33,0.5238095238095238,0.9166666666666666,59.333333333333336,372,0,0,0
Vietnam,77,43,23,20,18,0.4186046511627907,0.782608695652174,34.17391304347826,301,0,0,0
Malaysia,72,52,43,41,26,0.5,0.6046511627906976,75.11627906976744,313,0,0,0
Indonesia,51,44,29,27,20,0.45454545454545453,0.6896551724137931,37.6551724137931,223,0,0,0
France,49,40,34,30,20,0.5,0.5882352941176471,20.029411764705884,217,0,0,0
Taiwan,48,25,18,16,14,0.56,0.7777777777777778,49.77777777777778,200,0,0,0
Australia,43,43,29,29,14,0.32558139534883723,0.4827586206896552,39.172413793103445,201,0,0,0
Canada,40,36,34,32,23,0.6388888888888888,0.6764705882352942,58.970588235294116,186,0,0,0
Spain,39,22,19,15,10,0.45454545454545453,0.5263157894736842,46.526315789473685,158,0,0,0
Thailand,36,32,25,23,16,0.5,0.64,44.48,166,0,0,0
Sweden,35,7,5,5,4,0.5714285714285714,0.8,137.2,126,0,0,0
Hungary,27,23,14,10,7,0.30434782608695654,0.5,34.714285714285715,108,0,0,0
Russia,25,7,4,3,4,0.5714285714285714,1,362.5,107,0,0,0
Philippines,23,22,15,13,8,0.36363636363636365,0.5333333333333333,98.06666666666666,96,0,0,0
(not set),22,22,22,22,0,0,0,0,85,0,0,0
Netherlands,22,19,18,17,11,0.5789473684210527,0.6111111111111112,20.38888888888889,95,0,0,0
United Arab Emirates,20,17,6,6,7,0.4117647058823529,1.1666666666666667,99.16666666666667,75,0,0,0
Colombia,19,5,3,3,4,0.8,1.3333333333333333,163,79,0,0,0
Czechia,19,6,4,4,5,0.8333333333333334,1.25,293.75,85,0,0,0
Poland,17,15,13,10,9,0.6,0.6923076923076923,38.69230769230769,77,0,0,0
Pakistan,16,7,7,7,5,0.7142857142857143,0.7142857142857143,38.42857142857143,69,0,0,0
Italy,15,16,13,11,3,0.1875,0.23076923076923078,18.307692307692307,65,0,0,0
Switzerland,14,11,8,7,4,0.36363636363636365,0.5,31.625,63,0,0,0
Peru,13,1,1,1,1,1,1,112,53,0,0,0
Dominican Republic,10,2,1,1,1,0.5,1,1733,42,0,0,0
Finland,7,6,6,6,3,0.5,0.5,15.5,28,0,0,0
Brazil,6,5,5,5,1,0.2,0.2,0,23,0,0,0
Chile,6,6,3,2,2,0.3333333333333333,0.6666666666666666,0.3333333333333333,19,0,0,0
Ukraine,6,4,4,4,2,0.5,0.5,12.25,24,0,0,0
Belgium,5,3,2,1,3,1,1.5,66.5,20,0,0,0
Latvia,5,1,1,1,1,1,1,92,17,0,0,0
Portugal,5,2,1,1,2,1,2,46,22,0,0,0
Argentina,4,2,1,0,1,0.5,1,16,13,0,0,0
Cambodia,4,2,2,2,1,0.5,0.5,23,14,0,0,0
Ireland,4,5,5,4,3,0.6,0.6,27.4,22,0,0,0
Norway,4,4,4,4,2,0.5,0.5,14,19,0,0,0
South Africa,4,3,3,1,2,0.6666666666666666,0.6666666666666666,20.333333333333332,21,0,0,0
