# ----------------------------------------
# 보고서 CSV 내보내기
# 계정: skinno global
# 속성: skinno 글로벌 - GA4
# ----------------------------------------
# 
# 모든 사용자
# 시작일: 20240101
# 종료일: 20240107
페이지 경로 및 화면 클래스,세션 소스,조회수,세션수,사용자,사용자당 조회수,평균 참여 시간,이벤트 수,전환,총 수익
/global/archives/16613,google,120,107,55,2.1818181818181817,3.5272727272727273,389,0,0
/global/archives/16939,(direct),102,96,82,1.2439024390243902,40.09756097560975,458,0,0
/global/,(direct),101,92,68,1.4852941176470589,6.794117647058823,400,0,0
/global/archives/16881,google,80,76,23,3.4782608695652173,26.52173913043478,243,0,0
/global/,google,64,52,34,1.8823529411764706,18.5,250,0,0
/global/archives/category/press-room/press-release,(direct),53,50,46,1.1521739130434783,19.565217391304348,212,0,0
/global/archives/16480,google,47,44,20,2.35,22.4,165,0,0
/global/archives/16970,linkedin.com,40,43,36,1.1111111111111112,10.916666666666666,171,0,0
/global/archives/16952,google,35,37,31,1.1290322580645162,27.677419354838708,165,0,0
/global/archives/category/corporate/sk-on,google,33,23,18,1.8333333333333333,38.27777777777778,135,0,0
/global/archives/16719,google,32,32,11,2.909090909090909,10.181818181818182,99,0,0
/global/archives/15490,google,30,30,18,1.6666666666666667,56.05555555555556,123,0,0
/global/archives/16154,google,30,31,10,3,45.5,101,0,0
/global/archives/16376,google,30,32,15,2,22.8,104,0,0
/global/latestnews,google,28,26,10,2.8,15.4,95,0,0
/global/archives/16131,google,27,23,4,6.75,2.5,76,0,0
/global/archives/category/press-room/financial-results,google,27,15,13,2.076923076923077,17.846153846153847,107,0,0
/global/archives/16970,(direct),26,27,25,1.04,33.28,105,0,0
/global/archives/9236,google,26,33,17,1.5294117647058822,50.470588235294116,120,0,0
/global/archives/category/press-room/press-release,google,25,21,14,1.7857142857142858,24.214285714285715,98,0,0
/global/archives/15865,google,24,19,2,12,67.5,72,0,0
/global/archives/16286,google,23,16,15,1.5333333333333334,24,82,0,0
/global/,skinnovation.com,22,19,16,1.375,21.1875,96,0,0
/global/archives/15664,google,22,23,16,1.375,29.3125,85,0,0
/global/archives/14766,google,21,18,11,1.9090909090909092,31.272727272727273,72,0,0
/global/archives/16834,(direct),21,21,16,1.3125,53.5,84,0,0
/global/archives/16939,google,20,22,18,1.1111111111111112,41.666666666666664,89,0,0
/global/archives/16939,electrive.com,19,18,14,1.3571428571428572,15.642857142857142,86,0,0
/global/archives/3269,google,18,19,14,1.2857142857142858,17.071428571428573,76,0,0
/global/latestnews,linkedin.com,17,8,2,8.5,17.5,61,0,0
/global/archives/16970,google,16,18,14,1.1428571428571428,20,67,0,0
/global/archives/14634,google,15,14,6,2.5,18,47,0,0
/global/archives/16939,linkedin.com,15,15,10,1.5,21.9,60,0,0
/global/,ozmailer.com,14,12,10,1.4,11.5,56,0,0
/global/archives/3820,google,13,13,11,1.1818181818181819,32.36363636363637,56,0,0
