# ----------------------------------------
# 보고서 CSV 내보내기
# 계정: skinno global
# 속성: skinno 글로벌 - GA4
# ----------------------------------------
# 
# 모든 사용자
# 시작일: 20240101
# 종료일: 20240107
국가,조회수,세션수,사용자,새 사용자 수,참여 세션수,참여율,사용자당 참여 세션수,평균 참여 시간,이벤트 수,전환,총 수익
South Korea,708,462,316,262,216,0.4675324675324675,0.6835443037974683,36.9746835443038,2900,0,0
United States,348,235,187,169,120,0.5106382978723404,0.6417112299465241,60.25133689839572,1495,0,0
India,440,374,135,78,114,0.3048128342245989,0.8444444444444444,21.97037037037037,1451,0,0
Singapore,102,87,61,53,32,0.367816091954023,0.5245901639344263,35.278688524590166,432,0,0
France,70,73,60,54,12,0.1643835616438356,0.2,6.516666666666667,281,0,0
United Kingdom,94,60,52,48,23,0.38333333333333336,0.4423076923076923,40.63461538461539,402,0,0
Japan,89,66,45,33,28,0.42424242424242425,0.6222222222222222,33,369,0,0
Germany,97,68,42,39,30,0.4411764705882353,0.7142857142857143,90.30952380952381,397,0,0
China,74,44,29,26,18,0.4090909090909091,0.6206896551724138,23.20689655172414,276,0,0
Vietnam,44,32,23,21,8,0.25,0.34782608695652173,29.130434782608695,172,0,0
Hong Kong,52,30,22,19,17,0.5666666666666667,0.7727272727272727,102.63636363636364,211,0,0
Canada,66,30,20,19,16,0.5333333333333333,0.8,185.45,282,0,0
Malaysia,36,32,17,12,13,0.40625,0.7647058823529411,29.058823529411764,143,0,0
Poland,19,15,14,13,9,0.6,0.6428571428571429,27.857142857142858,88,0,0
Thailand,24,17,14,13,12,0.7058823529411765,0.8571428571428571,52.857142857142854,109,0,0
Indonesia,24,16,11,7,10,0.625,0.9090909090909091,99.18181818181819,101,0,0
Taiwan,34,22,11,11,9,0.4090909090909091,0.8181818181818182,70.72727272727273,150,0,0
Egypt,15,14,10,10,2,0.14285714285714285,0.2,0.6,58,0,0
Belgium,9,9,9,9,4,0.4444444444444444,0.4444444444444444,10.222222222222221,41,0,0
Hungary,20,11,9,8,8,0.7272727272727273,0.8888888888888888,79.88888888888889,88,0,0
Philippines,10,9,9,7,8,0.8888888888888888,0.8888888888888888,16.444444444444443,44,0,0
Australia,9,10,8,8,7,0.7,0.875,190.5,47,0,0
Sweden,18,10,8,7,4,0.4,0.5,28,76,0,0
Italy,7,8,7,6,2,0.25,0.2857142857142857,15.142857142857142,32,0,0
Mexico,26,9,7,6,5,0.5555555555555556,0.7142857142857143,189,99,0,0
Jordan,15,9,6,6,3,0.3333333333333333,0.5,0,45,0,0
Ukraine,7,7,6,6,3,0.42857142857142855,0.5,7,32,0,0
Austria,11,5,5,4,5,1,1,96.8,51,0,0
Slovakia,5,5,5,5,3,0.6,0.6,6.6,21,0,0
Türkiye,6,6,5,5,4,0.6666666666666666,0.8,43.8,25,0,0
Israel,6,5,4,4,1,0.2,0.25,22,29,0,0
Netherlands,8,6,4,4,4,0.6666666666666666,1,18,30,0,0
Pakistan,12,8,4,4,4,0.5,1,78,45,0,0
Serbia,5,6,4,4,0,0,0,0,21,0,0
Bangladesh,3,4,3,3,1,0.25,0.3333333333333333,5,15,0,0
Bulgaria,3,3,3,3,2,0.6666666666666666,0.6666666666666666,15.666666666666666,15,0,0
Czechia,6,4,3,1,2,0.5,0.6666666666666666,1,17,0,0
Ghana,9,8,3,1,2,0.25,0.6666666666666666,22,27,0,0
Iran,4,4,3,3,4,1,1.3333333333333333,42,18,0,0
Jamaica,5,4,3,2,3,0.75,1,23,18,0,0
Portugal,3,3,3,3,2,0.6666666666666666,0.6666666666666666,36.666666666666664,14,0,0
Argentina,2,2,2,1,1,0.5,0.5,6,7,0,0
Brazil,7,4,2,2,3,0.75,1.5,76.5,29,0,0
Croatia,2,2,2,2,1,0.5,0.5,9,9,0,0
Cyprus,2,3,2,1,1,0.3333333333333333,0.5,20,10,0,0
Kazakhstan,2,2,2,2,1,0.5,0.5,0.5,7,0,0
Lebanon,15,14,2,1,10,0.7142857142857143,5,6,44,0,0
Morocco,2,2,2,2,0,0,0,0,7,0,0
Nigeria,3,3,2,2,0,0,0,0,10,0,0
Norway,6,2,2,1,1,0.5,0.5,39,23,0,0
Saudi Arabia,3,4,2,2,2,0.5,1,56.5,15,0,0
Spain,5,5,2,1,4,0.8,2,58.5,23,0,0
Tanzania,6,4,2,1,1,0.25,0.5,0,16,0,0
(not set),1,1,1,1,0,0,0,0,4,0,0
Algeria,1,1,1,1,0,0,0,11,5,0,0
Armenia,1,1,1,1,1,1,1,14,5,0,0
Azerbaijan,1,1,1,0,0,0,0,8,4,0,0
Cambodia,1,1,1,1,0,0,0,0,3,0,0
Chile,1,1,1,1,1,1,1,56,5,0,0
Colombia,8,2,1,1,2,1,2,104,29,0,0
Denmark,1,1,1,1,1,1,1,62,6,0,0
Dominican Republic,1,1,1,1,0,0,0,0,3,0,0
Finland,1,1,1,1,0,0,0,7,6,0,0
Georgia,2,1,1,1,1,1,1,0,6,0,0
Iraq,2,3,1,1,0,0,0,0,8,0,0
Ireland,4,1,1,1,1,1,1,98,10,0,0
Kosovo,1,1,1,0,0,0,0,0,3,0,0
Libya,1,1,1,1,0,0,0,0,3,0,0
Myanmar (Burma),2,1,1,1,1,1,1,18,7,0,0
Nepal,1,1,1,1,0,0,0,0,3,0,0
Oman,1,1,1,1,0,0,0,0,4,0,0
Papua New Guinea,1,1,1,1,0,0,0,3,5,0,0
Qatar,1,1,1,1,0,0,0,24,6,0,0
Russia,1,2,1,1,0,0,0,0,6,0,0
Sri Lanka,1,1,1,0,1,1,1,19,5,0,0
Switzerland,2,2,1,1,0,0,0,0,9,0,0
Tunisia,1,1,1,1,1,1,1,21,5,0,0
Uzbekistan,1,1,1,1,0,0,0,8,4,0,0
Venezuela,6,4,1,0,3,0.75,3,0,16,0,0
Belarus,1,2,0,0,0,0,0,0,5,0,0
Greece,2,2,0,0,1,0.5,0,0,6,0,0
Honduras,1,1,0,0,0,0,0,0,3,0,0
Romania,2,2,0,0,0,0,0,0,6,0,0
Senegal,3,3,0,0,1,0.3333333333333333,0,0,9,0,0
Uganda,2,2,0,0,0,0,0,0,6,0,0
United Arab Emirates,1,1,0,0,0,0,0,0,3,0,0
Yemen,1,1,0,0,0,0,0,0,2,0,0
