# ----------------------------------------
# 보고서 CSV 내보내기
# 계정: skinno global
# 속성: skinno 글로벌 - GA4
# ----------------------------------------
# 
# 모든 사용자
# 시작일: 20240108
# 종료일: 20240114
페이지 경로 및 화면 클래스,국가,조회수,세션수,사용자,사용자당 조회수,평균 참여 시간,이벤트 수,전환,총 수익
/global/,South Korea,200,143,54,3.7037037037037037,19.185185185185187,743,0,0
/global/archives/17047,United States,163,162,134,1.2164179104477613,29.955223880597014,699,0,0
/global/,United States,75,51,30,2.5,25.666666666666668,291,0,0
/global/archives/17022,United States,59,54,43,1.372093023255814,47.883720930232556,268,0,0
/global/archives/17010,South Korea,54,43,33,1.6363636363636365,22.757575757575758,196,0,0
/global/archives/16881,India,48,41,16,3,7.875,142,0,0
/global/archives/17010,United States,44,44,38,1.1578947368421053,46.89473684210526,179,0,0
/global/archives/category/press-room/press-release,France,42,42,42,1,0.7619047619047619,168,0,0
/global/archives/14766,India,37,23,6,6.166666666666667,3.3333333333333335,96,0,0
/global/archives/16939,South Korea,37,29,22,1.6818181818181819,38.40909090909091,144,0,0
/global/archives/16939,United States,37,41,32,1.15625,53.65625,183,0,0
/global/archives/17022,South Korea,37,37,26,1.4230769230769231,19.076923076923077,149,0,0
/global/archives/17047,South Korea,36,36,31,1.1612903225806452,25.387096774193548,144,0,0
/global/latestnews,South Korea,35,24,10,3.5,23.9,124,0,0
/global/archives/17134,United States,32,26,21,1.5238095238095237,132.42857142857142,139,0,0
/global/archives/16480,India,31,30,5,6.2,2.2,87,0,0
/global/archives/17010,Hungary,30,27,23,1.3043478260869565,7.130434782608695,131,0,0
/global/,United Kingdom,27,27,27,1,0.8888888888888888,108,0,0
/global/archives/16376,India,27,25,6,4.5,0.3333333333333333,77,0,0
/global/latestnews,Germany,25,23,2,12.5,44,74,0,0
/global/archives/16939,Germany,24,29,20,1.2,22.15,118,0,0
/global/archives/16881,United States,23,21,20,1.15,26.4,100,0,0
/global/archives/16952,United States,22,21,20,1.1,19.05,94,0,0
/global/archives/category/corporate/sk-on,South Korea,22,15,11,2,17.363636363636363,79,0,0
/global/,China,21,12,10,2.1,74,87,0,0
/global/archives/17010,India,20,18,13,1.5384615384615385,20.46153846153846,84,0,0
/global/archives/tag/sk-wonderland,United States,20,19,8,2.5,111.625,77,0,0
/global/archives/16154,India,19,18,6,3.1666666666666665,0,58,0,0
/global/archives/16952,South Korea,19,18,13,1.4615384615384615,56.53846153846154,71,0,0
/global/latestnews,United States,19,17,11,1.7272727272727273,25.90909090909091,72,0,0
/global/archives/16881,South Korea,18,20,12,1.5,32.583333333333336,68,0,0
/global/archives/category/press-room/press-release,India,16,13,8,2,69.5,61,0,0
/global/archives/category/press-room,South Korea,15,9,6,2.5,28.333333333333332,58,0,0
/global/archives/category/corporate/sk-on,United States,14,9,7,2,121.14285714285714,55,0,0
/global/,India,13,11,7,1.8571428571428572,13.714285714285714,53,0,0
/global/archives/15490,Canada,13,14,12,1.0833333333333333,58,62,0,0
/global/archives/17010,Japan,13,13,10,1.3,41.4,53,0,0
/global/archives/category/corporate/sk-on,Germany,13,6,6,2.1666666666666665,33.666666666666664,51,0,0
/global/,Singapore,12,12,8,1.5,14.25,47,0,0
