# ----------------------------------------
# 보고서 CSV 내보내기
# 계정: skinno global
# 속성: skinno 글로벌 - GA4
# ----------------------------------------
# 
# 모든 사용자
# 시작일: 20240115
# 종료일: 20240121
페이지 경로 및 화면 클래스,기기 카테고리,조회수,세션수,사용자,사용자당 조회수,평균 참여 시간,이벤트 수,전환,총 수익
/global/,desktop,314,218,171,1.8362573099415205,16.994152046783626,1333,0,0
/global/archives/17216,mobile,248,242,217,1.1428571428571428,16.87557603686636,1001,0,0
/global/archives/17216,desktop,155,170,125,1.24,40.16,679,0,0
/global/archives/17047,desktop,121,122,91,1.3296703296703296,36.13186813186813,551,0,0
/global/archives/category/press-room/financial-results,desktop,106,51,40,2.65,32.675,424,0,0
/global/archives/category/press-room/press-release,desktop,81,72,52,1.5576923076923077,26.26923076923077,318,0,0
/global/archives/category/corporate/sk-on,desktop,67,49,37,1.8108108108108107,36.24324324324324,275,0,0
/global/latestnews,desktop,65,55,22,2.9545454545454546,26.227272727272727,231,0,0
/global/,mobile,63,50,35,1.8,14.571428571428571,248,0,0
/global/archives/17144,desktop,62,61,46,1.3478260869565217,35,263,0,0
/global/archives/16613,mobile,54,54,25,2.16,1.36,176,0,0
/global/archives/17022,desktop,53,55,46,1.1521739130434783,51.17391304347826,256,0,0
/global/archives/17169,desktop,52,56,44,1.1818181818181819,45.25,199,0,0
/global/archives/17047,mobile,48,48,36,1.3333333333333333,49.94444444444444,189,0,0
/global/archives/17134,desktop,48,45,32,1.5,66.25,190,0,0
/global/archives/17010,desktop,41,37,31,1.3225806451612903,28.838709677419356,162,0,0
/global/archives/category/corporate,desktop,40,25,21,1.9047619047619047,20.19047619047619,151,0,0
/global/archives/16286,desktop,39,33,23,1.6956521739130435,38.21739130434783,159,0,0
/global/archives/15490,desktop,37,41,29,1.2758620689655173,32.93103448275862,174,0,0
/global/archives/16480,mobile,34,31,8,4.25,8.375,98,0,0
/global/archives/16939,desktop,33,36,25,1.32,46.76,148,0,0
/global/archives/category/press-room,desktop,33,25,22,1.5,22.045454545454547,126,0,0
/global/archives/17144,mobile,31,29,28,1.1071428571428572,16.071428571428573,124,0,0
/global/who-we-are,desktop,31,23,21,1.4761904761904763,25.095238095238095,121,0,0
/global/archives/category/press-room/press-release,mobile,27,27,27,1,1.4444444444444444,111,0,0
/global/sustainability-report,desktop,27,29,19,1.4210526315789473,7.315789473684211,113,0,0
/global/archives/16952,desktop,26,21,20,1.3,24.85,96,0,0
/global/archives/9236,desktop,26,25,21,1.2380952380952381,87.14285714285714,128,0,0
/global/archives/category/corporate/sk-innovation,desktop,26,26,22,1.1818181818181819,10.090909090909092,105,0,0
/global/archives/16881,desktop,25,25,20,1.25,34.85,112,0,0
/global/archives/category/people/ceo-leaders,desktop,24,13,9,2.6666666666666665,62.111111111111114,93,0,0
/global/archives/16881,mobile,23,20,5,4.6,8,70,0,0
/global/archives/17010,mobile,22,22,19,1.1578947368421053,11.526315789473685,88,0,0
/global/archives/10774,desktop,21,24,21,1,13.666666666666666,99,0,0
/global/archives/13130,desktop,21,16,13,1.6153846153846154,34.46153846153846,75,0,0
/global/archives/15664,desktop,21,25,18,1.1666666666666667,36.05555555555556,107,0,0
/global/archives/15865,mobile,21,17,2,10.5,17.5,61,0,0
/global/archives/16154,mobile,21,21,6,3.5,21.833333333333332,62,0,0
/global/archives/16970,desktop,21,16,16,1.3125,32.1875,87,0,0
/global/archives/6216,desktop,21,29,19,1.105263157894737,36,109,0,0
/global/archives/tag/green-bonds,desktop,21,17,12,1.75,14.416666666666666,101,0,0
/global/archives/15374,desktop,20,22,19,1.0526315789473684,20.526315789473685,94,0,0
/global/archives/15664,mobile,20,19,11,1.8181818181818181,12.363636363636363,71,0,0
/global/archives/category/corporate/sk-on,mobile,20,13,12,1.6666666666666667,20.083333333333332,78,0,0
/global/archives/12106,desktop,17,21,12,1.4166666666666667,24.25,78,0,0
/global/archives/16131,mobile,17,15,7,2.4285714285714284,0.2857142857142857,52,0,0
/global/archives/16463,desktop,17,16,16,1.0625,49.5625,75,0,0
/global/archives/16719,mobile,16,16,3,5.333333333333333,0,42,0,0
/global/archives/16376,mobile,15,13,3,5,14.666666666666666,44,0,0
/global/archives/12022,desktop,14,13,12,1.1666666666666667,38.583333333333336,65,0,0
/global/archives/14766,desktop,14,12,10,1.4,51.6,58,0,0
/global/archives/3820,desktop,14,15,11,1.2727272727272727,53.45454545454545,63,0,0
/global/family-site-links,desktop,14,10,8,1.75,13.5,94,0,0
/global/archives/16060,desktop,13,14,10,1.3,32.4,64,0,0
/global/archives/17169,mobile,13,13,10,1.3,14.5,44,0,0
