# ----------------------------------------
# 보고서 CSV 내보내기
# 계정: skinno global
# 속성: skinno 글로벌 - GA4
# ----------------------------------------
# 
# 모든 사용자
# 시작일: 20240115
# 종료일: 20240121
페이지 경로 및 화면 클래스,조회수,세션수,사용자,사용자당 조회수,평균 참여 시간,이벤트 수,전환,총 수익
/global/archives/17216,408,417,346,1.1791907514450868,25.395953757225435,1702,0,0
/global/,385,273,208,1.8509615384615385,16.596153846153847,1606,0,0
/global/archives/17047,170,171,128,1.328125,40.6171875,745,0,0
/global/archives/category/press-room/press-release,111,102,82,1.353658536585366,17.146341463414632,441,0,0
/global/archives/category/press-room/financial-results,109,52,41,2.658536585365854,33.21951219512195,436,0,0
/global/archives/17144,93,90,74,1.2567567567567568,27.83783783783784,387,0,0
/global/archives/category/corporate/sk-on,89,64,51,1.7450980392156863,42.92156862745098,362,0,0
/global/latestnews,69,59,25,2.76,27.44,247,0,0
/global/archives/17169,66,70,55,1.2,38.85454545454545,246,0,0
/global/archives/16613,64,64,31,2.064516129032258,1.4838709677419355,209,0,0
/global/archives/17010,63,59,50,1.26,22.26,250,0,0
/global/archives/17022,62,62,52,1.1923076923076923,50.11538461538461,288,0,0
/global/archives/17134,57,54,38,1.5,62.18421052631579,226,0,0
/global/archives/16881,48,45,25,1.92,29.48,182,0,0
/global/archives/16480,46,42,19,2.4210526315789473,36.05263157894737,149,0,0
/global/archives/15490,44,48,32,1.375,30.0625,196,0,0
/global/archives/15664,41,44,29,1.4137931034482758,27.06896551724138,178,0,0
/global/archives/16286,40,34,24,1.6666666666666667,36.625,163,0,0
/global/archives/16939,40,43,32,1.25,37.15625,178,0,0
/global/archives/category/corporate,40,25,21,1.9047619047619047,20.19047619047619,151,0,0
/global/archives/9236,33,30,25,1.32,87.92,156,0,0
/global/archives/category/press-room,33,25,22,1.5,22.045454545454547,126,0,0
/global/archives/16154,32,32,15,2.1333333333333333,24.666666666666668,107,0,0
/global/who-we-are,31,23,21,1.4761904761904763,25.095238095238095,121,0,0
/global/archives/category/corporate/sk-innovation,30,29,25,1.2,9.36,117,0,0
/global/archives/16952,29,24,21,1.380952380952381,24.142857142857142,108,0,0
/global/archives/15865,28,24,7,4,27.285714285714285,84,0,0
/global/sustainability-report,28,30,20,1.4,15.3,119,0,0
/global/archives/16376,27,24,12,2.25,35.166666666666664,97,0,0
/global/archives/16970,27,22,21,1.2857142857142858,30.523809523809526,112,0,0
/global/archives/10774,26,29,26,1,19.23076923076923,123,0,0
/global/archives/category/people/ceo-leaders,26,14,10,2.6,59.8,101,0,0
/global/archives/15374,24,26,22,1.0909090909090908,19.227272727272727,110,0,0
/global/archives/6216,23,31,21,1.0952380952380953,33.19047619047619,117,0,0
/global/archives/14766,22,20,14,1.5714285714285714,37.714285714285715,83,0,0
/global/archives/13130,21,16,13,1.6153846153846154,34.46153846153846,75,0,0
/global/archives/16719,21,22,7,3,18,60,0,0
/global/archives/tag/green-bonds,21,17,12,1.75,14.416666666666666,101,0,0
/global/archives/16131,20,19,10,2,10.1,68,0,0
/global/archives/16463,18,17,17,1.0588235294117647,53.705882352941174,79,0,0
/global/archives/category/corporate/sk-energy,18,16,13,1.3846153846153846,12.461538461538462,61,0,0
/global/archives/12106,17,21,12,1.4166666666666667,24.25,78,0,0
/global/archives/12928,17,16,9,1.8888888888888888,32.333333333333336,66,0,0
/global/archives/12022,16,15,14,1.1428571428571428,33.857142857142854,75,0,0
/global/archives/tag/solid-power,16,13,13,1.2307692307692308,12,73,0,0
/global/archives/3820,15,16,12,1.25,49,67,0,0
/global/family-site-links,14,10,8,1.75,13.5,94,0,0
/global/archives/16060,13,14,10,1.3,32.4,64,0,0
/global/archives/tag/financial-results,13,9,4,3.25,21.75,47,0,0
/global/archives/13521,12,14,12,1,23.916666666666668,55,0,0
/global/archives/14491,12,14,12,1,11.5,53,0,0
/global/archives/category/corporate/sk-enmove,12,9,8,1.5,11.125,50,0,0
/global/archives/category/insight,12,8,7,1.7142857142857142,11.857142857142858,42,0,0
/global/archives/tag/sk-wonderland,12,9,9,1.3333333333333333,14.555555555555555,55,0,0
/global/archives/11807,11,12,6,1.8333333333333333,35.166666666666664,52,0,0
/global/archives/14634,11,10,5,2.2,66.4,46,0,0
/global/archives/15259,11,11,9,1.2222222222222223,12.666666666666666,42,0,0
/global/archives/16834,11,13,11,1,21,50,0,0
/global/archives/7761,11,12,10,1.1,53.7,51,0,0
/global/archives/category/corporate/sk-geo-centric,11,5,3,3.6666666666666665,255.66666666666666,39,0,0
/global/archives/category/corporate/sk-ie-technology,11,5,4,2.75,28,46,0,0
/global/archives/12306,10,9,9,1.1111111111111112,39.888888888888886,41,0,0
