# ----------------------------------------
# 보고서 CSV 내보내기
# 계정: skinno global
# 속성: skinno 글로벌 - GA4
# ----------------------------------------
# 
# 모든 사용자
# 시작일: 20240708
# 종료일: 20240714
페이지 경로 및 화면 클래스,기기 카테고리,조회수,사용자,사용자당 조회수,평균 참여 시간,이벤트 수,주요 이벤트,총 수익
/global/archives/18388,mobile,807,602,1.340531561461794,8.767441860465116,2929,0,0
/global/,desktop,328,170,1.9294117647058824,23.21764705882353,1369,0,0
/pagead/aclk,mobile,180,144,1.25,0,636,0,0
/global/archives/18388,desktop,157,120,1.3083333333333333,21.675,587,0,0
/global/archives/category/press-room/financial-results,desktop,131,49,2.673469387755102,39.36734693877551,533,0,0
/global/archives/18478,desktop,122,94,1.297872340425532,20.138297872340427,500,0,0
/global/latestnews,desktop,110,82,1.3414634146341464,22.20731707317073,430,0,0
/global/archives/category/press-room/press-release,desktop,92,62,1.4838709677419355,19.096774193548388,364,0,0
/global/archives/category/corporates/sk-on,desktop,88,46,1.9130434782608696,51.19565217391305,358,0,0
/global/,mobile,87,55,1.5818181818181818,14.818181818181818,326,0,0
/global/archives/18388,tablet,83,58,1.4310344827586208,0.8448275862068966,292,0,0
/global/archives/18445,desktop,70,62,1.1290322580645162,43.54838709677419,282,0,0
/global/archives/18436,desktop,68,57,1.1929824561403508,15.929824561403509,264,0,0
/global/archives/18478,mobile,68,53,1.2830188679245282,16.22641509433962,274,0,0
/global/archives/17426,desktop,61,38,1.605263157894737,60.578947368421055,250,0,0
/global/archives/18065,desktop,57,38,1.5,43.078947368421055,230,0,0
/global/archives/category/corporates,desktop,45,32,1.40625,61.5625,164,0,0
/global/archives/category/press-room,desktop,44,29,1.5172413793103448,19,164,0,0
/global/archives/18283,desktop,43,33,1.303030303030303,47,171,0,0
/global/archives/18421,desktop,41,29,1.4137931034482758,36.206896551724135,164,0,0
/global/archives/category/corporates/sk-innovation,desktop,40,27,1.4814814814814814,17.333333333333332,157,0,0
/global/archives/18361,desktop,32,29,1.103448275862069,19.379310344827587,125,0,0
/global/archives/15664,desktop,28,20,1.4,27.25,114,0,0
/global/archives/18374,desktop,27,24,1.125,55,99,0,0
/global/archives/10774,desktop,26,12,2.1666666666666665,58.333333333333336,104,0,0
/global/archives/15374,desktop,26,23,1.1304347826086956,48.26086956521739,118,0,0
/global/archives/category/corporates/sk-on,mobile,26,21,1.2380952380952381,9.095238095238095,97,0,0
/global/archives/15490,desktop,24,21,1.1428571428571428,43.04761904761905,116,0,0
/global/archives/category/people,desktop,24,21,1.1428571428571428,12.238095238095237,85,0,0
/global/archives/category/insight,desktop,22,21,1.0476190476190477,8.904761904761905,73,0,0
/global/archives/13521,desktop,21,19,1.105263157894737,29.68421052631579,102,0,0
/global/archives/category/press-room/press-release,mobile,21,20,1.05,10.85,82,0,0
/global/archives/17216,desktop,20,19,1.0526315789473684,10.631578947368421,85,0,0
/global/archives/6216,desktop,19,17,1.1176470588235294,23.352941176470587,98,0,0
/global/archives/14491,desktop,18,13,1.3846153846153846,52.46153846153846,79,0,0
/global/archives/17595,desktop,18,12,1.5,30.583333333333332,77,0,0
/global/archives/18140,mobile,18,7,2.5714285714285716,74.57142857142857,62,0,0
/global/archives/12106,desktop,16,13,1.2307692307692308,25.384615384615383,68,0,0
/global/archives/13780,desktop,16,12,1.3333333333333333,20.75,67,0,0
/global/archives/16463,desktop,16,13,1.2307692307692308,18.23076923076923,72,0,0
/global/archives/category/corporates/sk-energy,desktop,16,11,1.4545454545454546,30.181818181818183,59,0,0
/global/archives/16834,desktop,15,12,1.25,55.75,66,0,0
/global/sustainability-report,desktop,15,14,1.0714285714285714,6,74,0,0
/global/archives/15462,desktop,14,12,1.1666666666666667,27.083333333333332,63,0,0
/global/archives/16939,desktop,14,10,1.4,7,66,0,0
/global/archives/17499,desktop,14,13,1.0769230769230769,99.76923076923077,67,0,0
/global/archives/3820,desktop,14,13,1.0769230769230769,47.15384615384615,68,0,0
/global/archives/17169,desktop,13,11,1.1818181818181819,28.636363636363637,62,0,0
/global/archives/18445,mobile,13,11,1.1818181818181819,5.090909090909091,47,0,0
/global/archives/11087,desktop,12,13,0.9230769230769231,25,60,0,0
/global/archives/14634,desktop,12,9,1.3333333333333333,99.44444444444444,50,0,0
/global/archives/15687,desktop,12,10,1.2,153.6,52,0,0
/global/archives/17514,mobile,12,2,6,456,53,0,0
/global/archives/17950,desktop,12,9,1.3333333333333333,81.88888888888889,52,0,0
/global/archives/9910,desktop,12,9,1.3333333333333333,132.88888888888889,57,0,0
/global/archives/9910,mobile,12,9,1.3333333333333333,72,54,0,0
/global/archives/category/corporates/sk-enterm,desktop,12,9,1.3333333333333333,10.666666666666666,54,0,0
/global/archives/12022,desktop,11,12,0.9166666666666666,13.333333333333334,57,0,0
/global/archives/17356,desktop,11,8,1.375,81.25,49,0,0
/global/archives/17989,desktop,11,9,1.2222222222222223,32.77777777777778,40,0,0
/global/archives/18107,mobile,11,11,1,152.1818181818182,52,0,0
/global/archives/category/people/inno-people,desktop,11,10,1.1,30.1,41,0,0
/global/archives/14755,desktop,10,7,1.4285714285714286,23,44,0,0
/global/archives/17990,desktop,10,8,1.25,48.875,41,0,0
/global/archives/18065,mobile,10,10,1,3,38,0,0
/global/archives/18361,mobile,10,7,1.4285714285714286,37.857142857142854,40,0,0
/global/archives/6824,desktop,10,4,2.5,130.75,41,0,0
/global/archives/category/insight/trend_report,mobile,10,3,3.3333333333333335,65.33333333333333,35,0,0
/global/latestnews,mobile,10,9,1.1111111111111112,11.88888888888889,35,0,0
