# ----------------------------------------
# 보고서 CSV 내보내기
# 계정: skinno global
# 속성: skinno 글로벌 - GA4
# ----------------------------------------
# 
# 모든 사용자
# 시작일: 20240708
# 종료일: 20240714
페이지 경로 및 화면 클래스,조회수,사용자,사용자당 조회수,평균 참여 시간,이벤트 수,주요 이벤트,총 수익
/global/archives/18388,1047,780,1.3423076923076922,10.164102564102564,3808,0,0
/global/,415,224,1.8526785714285714,21.258928571428573,1695,0,0
/global/archives/18478,190,147,1.2925170068027212,18.727891156462587,774,0,0
/pagead/aclk,180,144,1.25,0,636,0,0
/global/archives/category/press-room/financial-results,135,52,2.5961538461538463,37.38461538461539,546,0,0
/global/latestnews,120,91,1.3186813186813187,21.186813186813186,465,0,0
/global/archives/category/corporates/sk-on,115,68,1.6911764705882353,37.44117647058823,459,0,0
/global/archives/category/press-room/press-release,114,83,1.3734939759036144,16.89156626506024,450,0,0
/global/archives/18445,83,73,1.1369863013698631,37.75342465753425,329,0,0
/global/archives/18436,77,65,1.1846153846153846,17.73846153846154,299,0,0
/global/archives/18065,67,48,1.3958333333333333,34.729166666666664,268,0,0
/global/archives/17426,61,38,1.605263157894737,60.578947368421055,250,0,0
/global/archives/18283,50,39,1.2820512820512822,40,198,0,0
/global/archives/category/corporates,49,35,1.4,56.457142857142856,177,0,0
/global/archives/18421,45,33,1.3636363636363635,32.03030303030303,175,0,0
/global/archives/category/press-room,45,30,1.5,18.366666666666667,168,0,0
/global/archives/category/corporates/sk-innovation,44,30,1.4666666666666666,17.833333333333332,169,0,0
/global/archives/18361,42,36,1.1666666666666667,22.97222222222222,165,0,0
/global/archives/10774,32,15,2.1333333333333333,99.66666666666667,128,0,0
/global/archives/18374,31,27,1.1481481481481481,50.666666666666664,113,0,0
/global/archives/15664,30,21,1.4285714285714286,26.047619047619047,121,0,0
/global/archives/17216,29,28,1.0357142857142858,22.678571428571427,126,0,0
/global/archives/15490,28,23,1.2173913043478262,41.869565217391305,132,0,0
/global/archives/15374,27,24,1.125,58.375,122,0,0
/global/archives/category/insight,26,25,1.04,12.96,85,0,0
/global/archives/18140,25,14,1.7857142857142858,51.142857142857146,93,0,0
/global/archives/category/people,25,22,1.1363636363636365,11.681818181818182,89,0,0
/global/archives/9910,24,18,1.3333333333333333,102.44444444444444,111,0,0
/global/archives/category/corporates/sk-energy,24,13,1.8461538461538463,48.46153846153846,89,0,0
/global/archives/13521,22,20,1.1,38.7,108,0,0
/global/archives/6216,22,19,1.1578947368421053,24.05263157894737,112,0,0
/global/archives/14491,20,14,1.4285714285714286,49.214285714285715,89,0,0
/global/archives/17595,20,14,1.4285714285714286,26.214285714285715,87,0,0
/global/archives/18107,20,19,1.0526315789473684,129,94,0,0
/global/archives/15687,18,16,1.125,104.8125,80,0,0
/global/archives/16463,18,16,1.125,17.9375,83,0,0
/global/archives/17169,18,16,1.125,37.3125,85,0,0
/global/archives/17499,18,17,1.0588235294117647,119.23529411764706,88,0,0
/global/archives/17514,18,6,3,248.5,78,0,0
/global/archives/16834,17,14,1.2142857142857142,53.357142857142854,74,0,0
/global/archives/category/insight/trend_report,17,9,1.8888888888888888,34,63,0,0
/global/archives/12106,16,13,1.2307692307692308,25.384615384615383,68,0,0
/global/archives/13780,16,12,1.3333333333333333,20.75,67,0,0
/global/archives/16060,16,13,1.2307692307692308,69.07692307692308,62,0,0
/global/archives/17817,16,9,1.7777777777777777,25.555555555555557,57,0,0
/global/archives/3820,16,15,1.0666666666666667,43.6,77,0,0
/global/sustainability-report,16,15,1.0666666666666667,6,79,0,0
/global/archives/14634,15,11,1.3636363636363635,92.9090909090909,62,0,0
/global/archives/17623,15,13,1.1538461538461537,29.076923076923077,65,0,0
/global/archives/11087,14,15,0.9333333333333333,24.933333333333334,67,0,0
/global/archives/15462,14,12,1.1666666666666667,27.083333333333332,63,0,0
/global/archives/16939,14,10,1.4,7,66,0,0
/global/archives/17990,14,12,1.1666666666666667,49.5,58,0,0
/global/archives/category/corporates/sk-enterm,14,10,1.4,9.6,60,0,0
/global/archives/12022,13,14,0.9285714285714286,23.5,69,0,0
/global/archives/17356,13,9,1.4444444444444444,72.22222222222223,54,0,0
/global/archives/17569,13,7,1.8571428571428572,29.857142857142858,57,0,0
/global/archives/17950,13,10,1.3,76.6,55,0,0
/global/archives/17989,13,11,1.1818181818181819,27,48,0,0
/global/archives/13595,12,9,1.3333333333333333,31,48,0,0
/global/archives/14755,12,8,1.5,24.75,50,0,0
/global/archives/category/people/inno-people,12,11,1.0909090909090908,28.363636363636363,44,0,0
/global/terms-and-conditions,12,7,1.7142857142857142,13.857142857142858,45,0,0
/global/archives/12306,11,9,1.2222222222222223,21,47,0,0
