# ----------------------------------------
# 보고서 CSV 내보내기
# 계정: skinno global
# 속성: skinno 글로벌 - GA4
# ----------------------------------------
# 
# 모든 사용자
# 시작일: 20240708
# 종료일: 20240714
페이지 경로 및 화면 클래스,국가,조회수,사용자,사용자당 조회수,평균 참여 시간,이벤트 수,주요 이벤트,총 수익
/global/archives/18388,Poland,558,396,1.4090909090909092,4.1313131313131315,2027,0,0
/global/archives/18388,United States,394,312,1.2628205128205128,7.477564102564102,1422,0,0
/pagead/aclk,United States,180,144,1.25,0,636,0,0
/global/,South Korea,145,51,2.843137254901961,21.686274509803923,598,0,0
/global/archives/18478,United States,95,76,1.25,14.789473684210526,404,0,0
/global/,United States,65,52,1.25,11.634615384615385,262,0,0
/global/latestnews,China,52,57,0.9122807017543859,21.789473684210527,207,0,0
/global/,China,48,17,2.823529411764706,52,181,0,0
/global/archives/18478,South Korea,38,28,1.3571428571428572,23.642857142857142,147,0,0
/global/archives/category/press-room/financial-results,India,33,3,11,193.33333333333334,133,0,0
/global/,Japan,32,16,2,37.1875,135,0,0
/global/archives/category/corporates/sk-on,Japan,29,9,3.2222222222222223,54.55555555555556,116,0,0
/global/archives/category/press-room/press-release,France,28,29,0.9655172413793104,2,114,0,0
/global/,India,27,13,2.076923076923077,24.23076923076923,113,0,0
/global/archives/18388,South Korea,25,12,2.0833333333333335,6.166666666666667,90,0,0
/global/archives/18445,South Korea,25,17,1.4705882352941178,97.88235294117646,95,0,0
/global/latestnews,South Korea,25,10,2.5,11.5,99,0,0
/global/archives/10774,United States,24,8,3,112.75,93,0,0
/global/,United Kingdom,22,21,1.0476190476190477,1.6666666666666667,91,0,0
/global/archives/9910,Malaysia,19,14,1.3571428571428572,113.64285714285714,89,0,0
/global/archives/category/corporates/sk-on,South Korea,19,10,1.9,113.4,77,0,0
/global/archives/category/corporates/sk-on,United States,18,14,1.2857142857142858,17.428571428571427,72,0,0
/global/archives/category/press-room/press-release,United States,18,12,1.5,28.833333333333332,70,0,0
/global/archives/category/press-room/press-release,India,17,12,1.4166666666666667,11.666666666666666,69,0,0
/global/archives/18421,South Korea,16,11,1.4545454545454546,38.18181818181818,69,0,0
/global/archives/18436,India,16,13,1.2307692307692308,39,61,0,0
/global/archives/18478,India,16,11,1.4545454545454546,16.90909090909091,62,0,0
/global/latestnews,Germany,16,2,8,31,52,0,0
/global/archives/18436,United States,15,14,1.0714285714285714,4.071428571428571,57,0,0
/global/archives/18445,United States,15,12,1.25,46.083333333333336,58,0,0
/global/archives/18140,India,13,2,6.5,0,38,0,0
/global/archives/18388,(not set),13,13,1,0,52,0,0
/global/archives/category/press-room/financial-results,Singapore,13,5,2.6,14.8,51,0,0
/global/,Poland,12,5,2.4,79.4,41,0,0
/global/archives/category/corporates/sk-on,China,12,8,1.5,18,41,0,0
/global/archives/18436,South Korea,11,10,1.1,2,42,0,0
/global/archives/category/corporates/sk-innovation,United States,11,7,1.5714285714285714,16.714285714285715,43,0,0
