# ----------------------------------------
# 보고서 CSV 내보내기
# 계정: skinno global
# 속성: skinno 글로벌 - GA4
# ----------------------------------------
# 
# 모든 사용자
# 시작일: 20240715
# 종료일: 20240721
페이지 경로 및 화면 클래스,기기 카테고리,조회수,세션수,사용자,사용자당 조회수,평균 참여 시간,이벤트 수,주요 이벤트,총 수익
/global/archives/18546,desktop,595,649,463,1.285097192224622,55.76025917926566,2666,0,0
/global/archives/18546,mobile,455,426,392,1.1607142857142858,19.900510204081634,1841,0,0
/global/,desktop,407,289,218,1.8669724770642202,22.701834862385322,1724,0,0
/global/archives/18388,mobile,150,109,80,1.875,1.225,491,0,0
/global/latestnews,desktop,132,132,94,1.4042553191489362,19.72340425531915,502,0,0
/global/archives/category/press-room/financial-results,desktop,110,53,40,2.75,23.875,425,0,0
/global/archives/category/press-room/press-release,desktop,102,92,66,1.5454545454545454,23.015151515151516,401,0,0
/global/archives/category/corporates/sk-enterm,desktop,94,61,49,1.9183673469387754,14.020408163265307,406,0,0
/global/archives/17426,desktop,91,72,50,1.82,74.72,390,0,0
/global/archives/18065,desktop,67,50,31,2.161290322580645,95.87096774193549,256,0,0
/global/archives/18283,mobile,50,45,38,1.3157894736842106,56.89473684210526,200,0,0
/global/archives/18500,desktop,49,50,42,1.1666666666666667,8.095238095238095,193,0,0
/global/archives/category/corporates/sk-innovation,desktop,49,45,38,1.2894736842105263,13.605263157894736,182,0,0
/global/archives/18478,desktop,47,42,38,1.236842105263158,11.421052631578947,178,0,0
/global/archives/18388,desktop,43,36,29,1.4827586206896552,32.96551724137931,155,0,0
/global/archives/category/corporates/sk-on,desktop,40,39,31,1.2903225806451613,23.161290322580644,153,0,0
/global/archives/category/corporates,desktop,39,28,27,1.4444444444444444,9.925925925925926,150,0,0
/global/archives/category/press-room,desktop,33,34,24,1.375,14,130,0,0
/global/,mobile,32,22,20,1.6,16.15,129,0,0
/global/archives/17216,desktop,31,38,28,1.1071428571428572,37.82142857142857,140,0,0
/global/archives/17216,mobile,30,29,23,1.3043478260869565,60,113,0,0
/global/archives/13521,desktop,29,28,24,1.2083333333333333,59,127,0,0
