# ----------------------------------------
# 보고서 CSV 내보내기
# 계정: skinno global
# 속성: skinno 글로벌 - GA4
# ----------------------------------------
# 
# 모든 사용자
# 시작일: 20240722
# 종료일: 20240728
페이지 경로 및 화면 클래스,세션 소스,조회수,세션수,사용자,사용자당 조회수,평균 참여 시간,이벤트 수,주요 이벤트,총 수익
/global/archives/18546,(direct),241,231,177,1.3615819209039548,28.627118644067796,988,0,0
/global/archives/18546,google,182,194,118,1.5423728813559323,78.03389830508475,798,0,0
/global/,google,136,81,57,2.3859649122807016,38.719298245614034,581,0,0
/global/,(direct),80,71,63,1.2698412698412698,14.396825396825397,331,0,0
/global/archives/18546,linkedin.com,79,78,70,1.1285714285714286,26.314285714285713,342,0,0
/global/archives/18546,m.facebook.com,76,71,72,1.0555555555555556,1.1805555555555556,306,0,0
/global/archives/category/press-room/press-release,(direct),64,61,53,1.2075471698113207,4.981132075471698,250,0,0
/global/latestnews,(direct),60,59,47,1.2765957446808511,18.80851063829787,222,0,0
/global/archives/17426,google,57,44,35,1.6285714285714286,24.685714285714287,236,0,0
/global/archives/category/press-room/financial-results,google,50,36,33,1.5151515151515151,16.96969696969697,208,0,0
/global/latestnews,google,50,48,21,2.380952380952381,16.095238095238095,176,0,0
/global/,skinnovation.com,44,30,26,1.6923076923076923,21.615384615384617,190,0,0
/global/archives/9910,google,43,42,31,1.3870967741935485,79.61290322580645,200,0,0
/global/archives/18546,lm.facebook.com,37,31,30,1.2333333333333334,1.0666666666666667,140,0,0
/global/archives/category/press-room/press-release,google,33,23,20,1.65,76.25,128,0,0
/global/archives/category/corporates/sk-enterm,google,32,22,16,2,11.6875,132,0,0
/global/archives/category/corporates/sk-innovation,google,30,21,20,1.5,30.5,117,0,0
/global/archives/category/corporates/sk-on,google,30,24,19,1.5789473684210527,25.473684210526315,121,0,0
/global/archives/6216,google,27,27,21,1.2857142857142858,64.33333333333333,133,0,0
/global/archives/18065,google,26,20,13,2,38.84615384615385,108,0,0
/global/archives/18546,l.facebook.com,24,21,18,1.3333333333333333,157.72222222222223,111,0,0
/global/archives/18546,skinnovation.com,23,23,16,1.4375,63.0625,93,0,0
/global/archives/18107,google,22,21,17,1.2941176470588236,73.47058823529412,98,0,0
/global/archives/category/corporates/sk-energy,google,21,16,15,1.4,15,73,0,0
/global/archives/12022,google,20,15,15,1.3333333333333333,32.8,92,0,0
/global/archives/17216,google,20,18,16,1.25,21.375,80,0,0
/global/archives/17313,skenmove.com,20,20,17,1.1764705882352942,4.470588235294118,79,0,0
/global/,linkedin.com,19,13,6,3.1666666666666665,14,75,0,0
/global/archives/15374,google,19,24,16,1.1875,39.875,87,0,0
/global/archives/15490,google,19,22,14,1.3571428571428572,26.928571428571427,82,0,0
/global/archives/15664,google,19,18,14,1.3571428571428572,79.92857142857143,85,0,0
/global/archives/16834,google,18,14,13,1.3846153846153846,38.53846153846154,74,0,0
/global/archives/category/corporates,google,18,13,11,1.6363636363636365,26,73,0,0
/global/archives/18546,stocktwits.com,17,17,17,1,45.705882352941174,79,0,0
/global/archives/18332,google,16,15,5,3.2,253,72,0,0
/global/archives/category/press-room/financial-results,(direct),16,13,9,1.7777777777777777,22.77777777777778,63,0,0
/global/archives/16532,google,15,14,11,1.3636363636363635,49.81818181818182,62,0,0
/global/archives/17499,google,15,19,12,1.25,38.083333333333336,70,0,0
/global/archives/category/press-room,google,15,12,10,1.5,23.9,58,0,0
/global/archives/10774,google,14,15,14,1,19.785714285714285,66,0,0
/global/archives/16463,google,14,15,14,1,26.714285714285715,68,0,0
/global/archives/18478,google,14,13,11,1.2727272727272727,8.727272727272727,54,0,0
/global/archives/3820,google,14,16,11,1.2727272727272727,36.63636363636363,64,0,0
/global/archives/18140,google,13,14,4,3.25,0,41,0,0
/global/archives/18388,(direct),12,10,7,1.7142857142857142,12.428571428571429,41,0,0
/global/archives/18388,google,12,10,5,2.4,49.2,36,0,0
/global/archives/18571,linkedin.com,12,11,10,1.2,9.7,49,0,0
/global/archives/category/corporates,skinnovation.com,12,2,2,6,114,48,0,0
/global/archives/14766,google,11,13,8,1.375,33.375,46,0,0
/global/archives/15937,google,11,10,8,1.375,36.625,43,0,0
/global/archives/16448,google,11,12,10,1.1,51.9,46,0,0
/global/archives/8360,(direct),11,9,8,1.375,31.375,43,0,0
/global/archives/10985,google,10,5,4,2.5,128.5,42,0,0
/global/archives/13521,google,10,14,11,0.9090909090909091,13.909090909090908,49,0,0
/global/archives/17569,google,10,9,7,1.4285714285714286,42.142857142857146,39,0,0
/global/archives/18283,google,10,7,6,1.6666666666666667,29,40,0,0
/global/archives/18445,google,10,12,8,1.25,68.625,43,0,0
/global/archives/18571,newsletter,10,7,6,1.6666666666666667,2,33,0,0
/global/archives/category/corporates/sk-enmove,google,10,5,4,2.5,57,37,0,0
/global/archives/category/people,google,10,7,7,1.4285714285714286,12.857142857142858,39,0,0
/global/archives/13595,google,9,9,7,1.2857142857142858,52.142857142857146,34,0,0
/global/archives/14491,(direct),9,9,9,1,0,34,0,0
/global/archives/16376,google,9,10,8,1.125,91.375,37,0,0
/global/archives/17169,google,9,11,7,1.2857142857142858,9.857142857142858,45,0,0
/global/archives/17595,google,9,9,7,1.2857142857142858,19.571428571428573,44,0,0
/global/archives/18571,(direct),9,9,9,1,3.7777777777777777,33,0,0
/global/sustainability-report,google,9,7,6,1.5,14.166666666666666,44,0,0
/global/archives/14354,google,8,4,4,2,20.25,24,0,0
/global/archives/16970,google,8,8,7,1.1428571428571428,51.285714285714285,32,0,0
/global/archives/17426,(direct),8,8,7,1.1428571428571428,2.142857142857143,31,0,0
/global/archives/18283,(direct),8,8,7,1.1428571428571428,2,33,0,0
/global/archives/18361,google,8,9,9,0.8888888888888888,39.111111111111114,32,0,0
/global/archives/18436,google,8,9,8,1,35.625,29,0,0
/global/archives/3962,google,8,8,7,1.1428571428571428,73.14285714285714,38,0,0
/global/archives/category/corporates/sk-innovation,(direct),8,6,4,2,10,24,0,0
/global/archives/category/insight/trend_report,google,8,8,5,1.6,13.2,31,0,0
/global/who-we-are,google,8,6,6,1.3333333333333333,7.666666666666667,34,0,0
/global/,eng.sk-on.com,7,7,6,1.1666666666666667,19.833333333333332,31,0,0
/global/,eng.skietechnology.com,7,6,6,1.1666666666666667,23.333333333333332,34,0,0
/global/archives/11087,google,7,7,5,1.4,9,31,0,0
/global/archives/12274/skee,google,7,6,6,1.1666666666666667,7.166666666666667,34,0,0
/global/archives/12306,google,7,7,7,1,50.857142857142854,30,0,0
/global/archives/15687,google,7,5,5,1.4,40.6,31,0,0
/global/archives/16060,google,7,8,6,1.1666666666666667,22.166666666666668,34,0,0
/global/archives/17476,google,7,9,7,1,20.857142857142858,40,0,0
/global/archives/18374,google,7,9,7,1,33.857142857142854,26,0,0
/global/archives/9668,google,7,8,6,1.1666666666666667,11,37,0,0
/global/archives/9740,google,7,8,7,1,7.857142857142857,33,0,0
/global/archives/category/corporates/sk-earthon,google,7,4,3,2.3333333333333335,91.33333333333333,27,0,0
/global/archives/category/corporates/sk-innovation,skinnovation.com,7,4,4,1.75,26.25,23,0,0
/global/archives/category/insight,google,7,6,6,1.1666666666666667,20.166666666666668,28,0,0
/global/archives/10939,google,6,7,6,1,33.166666666666664,28,0,0
/global/archives/12106,google,6,8,6,1,7.5,30,0,0
/global/archives/13780,google,6,6,6,1,20.166666666666668,26,0,0
/global/archives/14243,google,6,6,6,1,116,25,0,0
/global/archives/17047,google,6,6,5,1.2,36.2,28,0,0
/global/archives/17356,google,6,7,5,1.2,29.6,28,0,0
/global/archives/17990,google,6,8,3,2,126.66666666666667,27,0,0
/global/archives/18065,(direct),6,6,6,1,12.166666666666666,26,0,0
/global/archives/18388,skinnovation.com,6,9,4,1.5,154,30,0,0
/global/archives/18478,(direct),6,6,4,1.5,2.5,24,0,0
/global/archives/18546,statics.teams.cdn.office.net,6,4,3,2,61.666666666666664,23,0,0
/global/archives/8350,google,6,8,3,2,74,28,0,0
/global/archives/category/people/inno-people,google,6,4,4,1.5,24.25,24,0,0
/global/archives/category/press-room,gateway.zscalerthree.net,6,7,1,6,0,23,0,0
/global/archives/tag/financial-results,google,6,3,3,2,17.666666666666668,23,0,0
/global/,skincheonpetrochem.com,5,2,2,2.5,121.5,23,0,0
/global/archives/10535,google,5,6,5,1,13.2,23,0,0
/global/archives/10654,google,5,5,5,1,76.8,21,0,0
/global/archives/12147,google,5,4,3,1.6666666666666667,46.666666666666664,23,0,0
/global/archives/13521,(direct),5,5,5,1,18.8,21,0,0
/global/archives/14491,google,5,7,4,1.25,16.5,28,0,0
/global/archives/15103,google,5,4,4,1.25,16.75,24,0,0
/global/archives/15204,google,5,3,3,1.6666666666666667,166.66666666666666,22,0,0
/global/archives/15574,bing,5,7,2,2.5,226.5,22,0,0
/global/archives/15574,google,5,5,5,1,13.6,21,0,0
/global/archives/15592,google,5,5,4,1.25,10,23,0,0
/global/archives/16154,google,5,5,3,1.6666666666666667,159.66666666666666,22,0,0
/global/archives/17623,google,5,6,5,1,97.4,25,0,0
/global/archives/17817,google,5,4,4,1.25,10.25,19,0,0
/global/archives/17989,google,5,5,5,1,41.8,18,0,0
/global/archives/18208,google,5,7,4,1.25,27,20,0,0
/global/archives/18421,google,5,6,5,1,17.8,19,0,0
/global/archives/18500,google,5,4,4,1.25,12.25,19,0,0
/global/archives/18546,lnkd.in,5,6,5,1,2.2,25,0,0
/global/archives/18571,google,5,5,5,1,6.4,22,0,0
/global/archives/4499,google,5,5,5,1,51.6,21,0,0
/global/archives/4612,google,5,5,3,1.6666666666666667,10.666666666666666,18,0,0
/global/archives/489,google,5,4,4,1.25,79.25,23,0,0
/global/archives/822,google,5,5,5,1,32,27,0,0
/global/archives/category/corporates/sk-energy,skinnovation.com,5,2,2,2.5,166.5,20,0,0
/global/archives/category/corporates/sk-innovation,(not set),5,1,1,5,86,18,0,0
/global/archives/category/corporates/sk-rading-international,google,5,4,4,1.25,15.75,20,0,0
/global/archives/category/insight,(direct),5,6,5,1,19.2,20,0,0
/global/archives/category/press-room/issue-fact,google,5,6,5,1,6.8,19,0,0
/global/archives/tag/nmc,google,5,3,3,1.6666666666666667,30.333333333333332,22,0,0
/global/archives/tag/ulsan-complex,google,5,4,4,1.25,10,22,0,0
/global/latestnews,linkedin.com,5,4,1,5,28,21,0,0
/global/,bing,4,4,4,1,11.75,16,0,0
/global/,eng.skearthon.com,4,4,4,1,17.75,21,0,0
/global/archives/10845,google,4,6,3,1.3333333333333333,42,20,0,0
/global/archives/11004,google,4,5,3,1.3333333333333333,28.333333333333332,16,0,0
/global/archives/11853,google,4,4,4,1,46.75,20,0,0
/global/archives/12008,(direct),4,4,4,1,6,16,0,0
