# ----------------------------------------
# 보고서 CSV 내보내기
# 계정: skinno global
# 속성: skinno 글로벌 - GA4
# ----------------------------------------
# 
# 모든 사용자
# 시작일: 20240812
# 종료일: 20240818
페이지 경로 및 화면 클래스,조회수,세션수,사용자,사용자당 조회수,평균 참여 시간,이벤트 수,주요 이벤트,총 수익
/global/archives/18659,1434,1241,1145,1.252401746724891,5.124890829694323,5504,0,0
/global/,255,185,145,1.7586206896551724,14.151724137931035,1076,0,0
/global/archives/18546,147,160,106,1.3867924528301887,76.93396226415095,637,0,0
/global/archives/category/press-room/financial-results,118,58,43,2.744186046511628,24.441860465116278,471,0,0
/global/latestnews,100,105,71,1.408450704225352,19.91549295774648,373,0,0
/global/archives/18608,85,52,41,2.073170731707317,67.58536585365853,341,0,0
/global/archives/tag/sko,62,60,57,1.087719298245614,6.368421052631579,290,0,0
/global/archives/category/press-room/press-release,61,53,45,1.3555555555555556,23.133333333333333,244,0,0
/global/archives/17426,58,47,36,1.6111111111111112,79.30555555555556,261,0,0
/global/archives/18690,57,57,51,1.1176470588235294,18.274509803921568,232,0,0
/global/archives/category/corporates/sk-on,42,36,26,1.6153846153846154,20.884615384615383,164,0,0
/global/archives/18743,38,38,33,1.1515151515151516,28.727272727272727,149,0,0
/global/archives/18107,34,35,30,1.1333333333333333,38.766666666666666,152,0,0
/global/archives/category/corporates/sk-innovation,31,25,23,1.3478260869565217,23.217391304347824,114,0,0
/global/archives/category/corporates,30,28,24,1.25,17.541666666666668,116,0,0
/global/archives/17216,28,25,20,1.4,58.85,117,0,0
/global/archives/9910,28,23,23,1.2173913043478262,74.82608695652173,122,0,0
/global/archives/category/press-room,26,21,17,1.5294117647058822,13.705882352941176,95,0,0
/global/archives/18065,24,21,19,1.263157894736842,33,99,0,0
/pagead/aclk,24,20,19,1.263157894736842,0,80,0,0
/global/archives/6216,23,26,20,1.15,58.6,116,0,0
/global/archives/category/corporates/sk-energy,22,20,17,1.2941176470588236,64.47058823529412,88,0,0
/global/archives/15490,21,23,18,1.1666666666666667,20.38888888888889,105,0,0
/global/archives/15374,19,24,18,1.0555555555555556,35.833333333333336,97,0,0
/global/archives/15687,19,21,17,1.1176470588235294,7.764705882352941,84,0,0
/global/archives/18140,17,19,9,1.8888888888888888,9.333333333333334,57,0,0
/global/archives/18436,17,18,12,1.4166666666666667,25.75,72,0,0
/global/archives/12306,15,12,11,1.3636363636363635,24.818181818181817,58,0,0
/global/archives/15664,15,15,12,1.25,94.16666666666667,73,0,0
/global/archives/18388,15,16,13,1.1538461538461537,146.23076923076923,66,0,0
/global/archives/category/corporates/sk-earthon,15,16,12,1.25,52.666666666666664,55,0,0
/global/archives/12022,14,14,10,1.4,28.7,62,0,0
/global/archives/14634,14,15,10,1.4,77.5,63,0,0
/global/archives/16463,14,14,13,1.0769230769230769,21.846153846153847,69,0,0
/global/archives/category/corporates/sk-enterm,14,11,5,2.8,8.2,50,0,0
/global/archives/category/corporates/sk-ie-technology,14,9,8,1.75,16.75,59,0,0
/global/archives/category/people,14,16,15,0.9333333333333333,21.266666666666666,53,0,0
/global/archives/10774,13,12,10,1.3,38.1,56,0,0
/global/archives/16834,13,14,9,1.4444444444444444,18.11111111111111,52,0,0
/global/archives/category/corporate/sk-enmove,13,10,10,1.3,14.2,58,0,0
/global/archives/category/corporates/sk-geo-centric,13,9,7,1.8571428571428572,19.428571428571427,45,0,0
/global/archives/category/insight,13,13,13,1,13.076923076923077,48,0,0
/global/archives/13780,12,12,9,1.3333333333333333,6.666666666666667,47,0,0
/global/archives/16060,12,9,9,1.3333333333333333,174.66666666666666,54,0,0
/global/archives/16376,12,11,10,1.2,24.7,54,0,0
/global/archives/18695,12,10,10,1.2,10,39,0,0
/global/archives/3820,12,13,11,1.0909090909090908,21,53,0,0
/global/archives/7445,12,13,10,1.2,98,55,0,0
/global/archives/17356,11,10,9,1.2222222222222223,43.333333333333336,41,0,0
/global/archives/17499,11,14,7,1.5714285714285714,20.714285714285715,50,0,0
/global/archives/17569,11,11,10,1.1,17.3,51,0,0
/global/archives/9548,11,12,9,1.2222222222222223,45.44444444444444,48,0,0
/global/archives/category/insight/trend_report,11,12,10,1.1,11.2,43,0,0
/global/archives/18361,10,10,9,1.1111111111111112,7,35,0,0
/global/archives/8327,10,4,4,2.5,49.5,40,0,0
/global/archives/category/corporates/sk-enmove,10,9,7,1.4285714285714286,11,36,0,0
/global/archives/category/people/inno-people,10,10,10,1,17.7,37,0,0
/global/archives/tag/pouch-type-battery,10,6,6,1.6666666666666667,15.166666666666666,46,0,0
/global/archives/16154,9,9,8,1.125,21.625,39,0,0
/global/archives/17460,9,9,9,1,4.222222222222222,39,0,0
/global/archives/17623,9,9,8,1.125,43.5,43,0,0
/global/archives/18022,9,8,5,1.8,22.4,32,0,0
/global/archives/7991,9,7,2,4.5,1,26,0,0
/global/archives/category/corporates/sk-rading-international,9,7,6,1.5,19,38,0,0
/global/archives/10939,8,7,6,1.3333333333333333,20.5,31,0,0
/global/archives/11161,8,8,7,1.1428571428571428,20.428571428571427,36,0,0
/global/archives/12692,8,9,5,1.6,2,33,0,0
/global/archives/13595,8,6,6,1.3333333333333333,34.333333333333336,36,0,0
/global/archives/15259,8,8,7,1.1428571428571428,14.571428571428571,33,0,0
/global/archives/16532,8,11,8,1,90.25,41,0,0
/global/archives/16939,8,8,6,1.3333333333333333,44.333333333333336,35,0,0
/global/archives/17595,8,9,6,1.3333333333333333,17.333333333333332,39,0,0
/global/archives/3962,8,9,8,1,36.5,39,0,0
/global/archives/tag/g-15-ap-block,8,5,5,1.6,8.6,34,0,0
/global/archives/14065,7,7,7,1,53.142857142857146,34,0,0
/global/archives/16970,7,9,6,1.1666666666666667,7.166666666666667,31,0,0
/global/archives/18283,7,8,6,1.1666666666666667,18.333333333333332,30,0,0
/global/archives/18301,7,7,6,1.1666666666666667,9.5,31,0,0
/global/archives/18639,7,8,8,0.875,10.25,27,0,0
/global/archives/tag/2024-q2,7,4,3,2.3333333333333335,15,27,0,0
/global/terms-and-conditions,7,8,6,1.1666666666666667,8,28,0,0
/global/archives/12147,6,6,6,1,23.5,27,0,0
/global/archives/12190,6,7,6,1,8,29,0,0
/global/archives/12220,6,7,6,1,3.6666666666666665,28,0,0
/global/archives/13329,6,8,6,1,15.666666666666666,28,0,0
/global/archives/13521,6,6,6,1,24.5,27,0,0
/global/archives/14083,6,6,4,1.5,10.25,22,0,0
/global/archives/14226,6,7,6,1,62.333333333333336,27,0,0
/global/archives/14243,6,6,5,1.2,12.6,25,0,0
/global/archives/15353,6,5,5,1.2,35.8,22,0,0
/global/archives/15592,6,5,5,1.2,3.4,25,0,0
/global/archives/16493,6,6,6,1,48.5,30,0,0
/global/archives/18445,6,6,5,1.2,14,25,0,0
/global/archives/3709,6,6,6,1,6,23,0,0
/global/archives/tag/board-of-directors,6,2,2,3,24,20,0,0
/global/sustainability-report,6,7,6,1,3.5,27,0,0
/global/archives/10322,5,6,3,1.6666666666666667,7,21,0,0
/global/archives/12274/skee,5,4,4,1.25,9.5,24,0,0
/global/archives/14193,5,4,3,1.6666666666666667,18.666666666666668,20,0,0
/global/archives/14491,5,7,5,1,24.4,24,0,0
/global/archives/15103,5,3,3,1.6666666666666667,25.333333333333332,19,0,0
/global/archives/15204,5,6,6,0.8333333333333334,12.5,19,0,0
/global/archives/16169,5,4,4,1.25,19.5,21,0,0
/global/archives/16286,5,5,4,1.25,2.5,19,0,0
/global/archives/16448,5,8,5,1,12,28,0,0
/global/archives/17047,5,6,5,1,15,25,0,0
/global/archives/17737,5,5,5,1,148.4,25,0,0
/global/archives/17950,5,6,5,1,28.2,24,0,0
/global/archives/18374,5,5,4,1.25,81.75,19,0,0
/global/archives/18478,5,7,3,1.6666666666666667,7.333333333333333,20,0,0
/global/archives/4518,5,4,3,1.6666666666666667,85.33333333333333,24,0,0
/global/archives/489,5,4,4,1.25,57.5,18,0,0
/global/archives/6824,5,5,4,1.25,27.5,22,0,0
/global/archives/category/corporate/sk-on,5,4,3,1.6666666666666667,22,20,0,0
/global/archives/category/people/onsite-report,5,6,5,1,15.4,20,0,0
/global/archives/tag/financial-results,5,5,5,1,7.6,18,0,0
/global/archives/10133,4,3,2,2,6,13,0,0
/global/archives/10913,4,4,4,1,5.5,16,0,0
/global/archives/11214,4,4,3,1.3333333333333333,38.333333333333336,19,0,0
/global/archives/11400,4,3,3,1.3333333333333333,32,14,0,0
/global/archives/11537,4,5,4,1,37.5,20,0,0
/global/archives/11807,4,4,3,1.3333333333333333,60.666666666666664,18,0,0
/global/archives/12036,4,4,3,1.3333333333333333,10.666666666666666,15,0,0
/global/archives/12106,4,4,4,1,29.75,19,0,0
/global/archives/14179,4,3,2,2,26,17,0,0
/global/archives/14565,4,2,2,2,21.5,13,0,0
/global/archives/15007,4,4,4,1,82,19,0,0
/global/archives/15462,4,6,4,1,50.75,20,0,0
/global/archives/15638,4,1,1,4,27,16,0,0
/global/archives/15654,4,3,3,1.3333333333333333,14.666666666666666,15,0,0
/global/archives/15937,4,5,2,2,24,16,0,0
/global/archives/15985,4,4,4,1,10.25,21,0,0
/global/archives/16131,4,4,4,1,26,13,0,0
/global/archives/16719,4,3,3,1.3333333333333333,13,16,0,0
/global/archives/17446,4,5,4,1,43.5,15,0,0
/global/archives/1768,4,4,3,1.3333333333333333,103,21,0,0
/global/archives/17817,4,4,4,1,89,15,0,0
/global/archives/17978,4,4,4,1,42.25,22,0,0
/global/archives/18421,4,4,4,1,80.5,17,0,0
/global/archives/3464,4,3,2,2,38,15,0,0
/global/archives/4360,4,3,3,1.3333333333333333,28,19,0,0
/global/archives/5892,4,3,3,1.3333333333333333,14.666666666666666,19,0,0
/global/archives/7043,4,4,3,1.3333333333333333,170.33333333333334,18,0,0
/global/archives/7302,4,5,2,2,55,19,0,0
/global/archives/9668,4,4,3,1.3333333333333333,13,16,0,0
/global/archives/category/corporate/sk-incheon-petrochem,4,2,2,2,13,16,0,0
/global/archives/category/corporates/sk-incheon-petrochem,4,4,3,1.3333333333333333,110,15,0,0
/global/archives/category/press-room/issue-fact,4,3,3,1.3333333333333333,10,15,0,0
