# ----------------------------------------
# 보고서 CSV 내보내기
# 계정: skinno global
# 속성: skinno 글로벌 - GA4
# ----------------------------------------
# 
# 모든 사용자
# 시작일: 20240812
# 종료일: 20240818
국가,조회수,세션수,사용자,새 사용자 수,참여 세션수,참여율,사용자당 참여 세션수,평균 참여 시간,이벤트 수,주요 이벤트,총 수익,사용자 키 이벤트 비율
Malaysia,1413,1165,1078,1057,343,0.2944206008583691,0.3181818181818182,6.761595547309833,5417,0,0,0
South Korea,519,338,244,221,161,0.47633136094674555,0.6598360655737705,34.09836065573771,2255,0,0,0
United States,350,265,230,214,130,0.49056603773584906,0.5652173913043478,37.93478260869565,1496,0,0,0
India,248,152,105,88,87,0.5723684210526315,0.8285714285714286,46.17142857142857,1022,0,0,0
Singapore,177,131,86,76,67,0.5114503816793893,0.7790697674418605,65.18604651162791,741,0,0,0
United Kingdom,176,122,83,77,62,0.5081967213114754,0.7469879518072289,147.80722891566265,734,0,0,0
Germany,139,93,59,56,34,0.3655913978494624,0.576271186440678,46.40677966101695,530,0,0,0
China,132,103,83,70,55,0.5339805825242718,0.6626506024096386,27.819277108433734,528,0,0,0
Australia,116,102,90,88,40,0.39215686274509803,0.4444444444444444,12.3,493,0,0,0
Japan,81,50,40,33,36,0.72,0.9,52.05,347,0,0,0
Hong Kong,75,47,38,33,32,0.6808510638297872,0.8421052631578947,34.94736842105263,321,0,0,0
Taiwan,72,41,29,27,26,0.6341463414634146,0.896551724137931,54.793103448275865,310,0,0,0
France,55,35,27,24,14,0.4,0.5185185185185185,58.48148148148148,222,0,0,0
Vietnam,43,30,19,17,13,0.43333333333333335,0.6842105263157895,31.473684210526315,182,0,0,0
Sweden,42,29,22,20,12,0.41379310344827586,0.5454545454545454,97.04545454545455,187,0,0,0
Canada,40,38,30,30,24,0.631578947368421,0.8,56.3,202,0,0,0
Indonesia,40,35,28,27,22,0.6285714285714286,0.7857142857142857,37.17857142857143,167,0,0,0
Philippines,40,16,13,12,9,0.5625,0.6923076923076923,46.84615384615385,172,0,0,0
Thailand,32,19,13,13,12,0.631578947368421,0.9230769230769231,49.84615384615385,146,0,0,0
Austria,27,4,4,4,4,1,1,108.75,111,0,0,0
Hungary,27,19,16,13,8,0.42105263157894735,0.5,37.75,123,0,0,0
Netherlands,26,18,15,15,9,0.5,0.6,46.8,115,0,0,0
Spain,25,16,13,11,7,0.4375,0.5384615384615384,36.84615384615385,99,0,0,0
Peru,22,5,3,3,4,0.8,1.3333333333333333,266,95,0,0,0
Poland,18,14,8,5,5,0.35714285714285715,0.625,24.625,71,0,0,0
Russia,17,10,7,7,6,0.6,0.8571428571428571,126.28571428571429,72,0,0,0
(not set),16,16,16,16,0,0,0,0,63,0,0,0
Pakistan,14,6,6,5,3,0.5,0.5,117.16666666666667,63,0,0,0
New Zealand,12,3,3,2,2,0.6666666666666666,0.6666666666666666,166.66666666666666,48,0,0,0
United Arab Emirates,12,6,5,5,5,0.8333333333333334,1,53.6,48,0,0,0
Finland,10,8,8,7,4,0.5,0.5,6,42,0,0,0
Belgium,9,9,6,3,5,0.5555555555555556,0.8333333333333334,44.333333333333336,40,0,0,0
Czechia,9,3,3,3,2,0.6666666666666666,0.6666666666666666,18,32,0,0,0
Mexico,8,4,4,4,3,0.75,0.75,59,34,0,0,0
Saudi Arabia,8,7,6,6,4,0.5714285714285714,0.6666666666666666,36.833333333333336,35,0,0,0
Switzerland,8,8,7,7,5,0.625,0.7142857142857143,26.428571428571427,39,0,0,0
Türkiye,8,5,5,5,4,0.8,0.8,12,33,0,0,0
Latvia,7,1,1,1,1,1,1,181,30,0,0,0
Israel,6,2,2,2,2,1,1,92.5,24,0,0,0
Italy,6,6,5,4,2,0.3333333333333333,0.4,10.8,24,0,0,0
Uruguay,6,2,1,1,1,0.5,1,38,20,0,0,0
Brazil,5,4,4,4,3,0.75,0.75,46.75,24,0,0,0
Slovakia,5,2,2,2,2,1,1,77.5,21,0,0,0
Argentina,4,4,3,3,3,0.75,1,130,18,0,0,0
Egypt,4,6,3,2,4,0.6666666666666666,1.3333333333333333,18.666666666666668,22,0,0,0
Sri Lanka,4,6,1,1,2,0.3333333333333333,2,74,19,0,0,0
Ukraine,4,3,3,3,2,0.6666666666666666,0.6666666666666666,15.333333333333334,21,0,0,0
Uzbekistan,4,4,4,3,2,0.5,0.5,27.25,18,0,0,0
Colombia,3,3,2,2,0,0,0,2.5,13,0,0,0
Denmark,3,3,3,2,1,0.3333333333333333,0.3333333333333333,4,12,0,0,0
Ireland,3,3,3,3,0,0,0,0,11,0,0,0
Jordan,3,2,2,2,1,0.5,0.5,7.5,12,0,0,0
Bangladesh,2,3,2,1,1,0.3333333333333333,0.5,24.5,9,0,0,0
Greece,2,2,1,1,1,0.5,1,0,8,0,0,0
Kazakhstan,2,2,2,2,1,0.5,0.5,0,9,0,0,0
Morocco,2,2,1,1,1,0.5,1,30,9,0,0,0
Norway,2,2,2,2,1,0.5,0.5,9.5,9,0,0,0
