# ----------------------------------------
# 보고서 CSV 내보내기
# 계정: skinno global
# 속성: skinno 글로벌 - GA4
# ----------------------------------------
# 
# 모든 사용자
# 시작일: 20240819
# 종료일: 20240825
페이지 경로 및 화면 클래스,국가,조회수,세션수,사용자,사용자당 조회수,평균 참여 시간,이벤트 수,주요 이벤트,총 수익
/global/,South Korea,114,81,43,2.6511627906976742,14.627906976744185,446,0,0
/global/archives/18743,United States,63,62,61,1.0327868852459017,4.885245901639344,225,0,0
/global/latestnews,China,54,57,57,0.9473684210526315,21.24561403508772,213,0,0
/global/archives/18546,South Korea,33,29,21,1.5714285714285714,75.80952380952381,137,0,0
/global/archives/18546,Singapore,29,30,24,1.2083333333333333,51.333333333333336,125,0,0
/global/archives/18743,South Korea,29,28,20,1.45,33.95,113,0,0
/global/,United States,28,25,24,1.1666666666666667,41.333333333333336,130,0,0
/global/archives/18753,South Korea,27,21,13,2.076923076923077,27.846153846153847,94,0,0
/global/,United Kingdom,25,25,25,1,1.44,102,0,0
/global/latestnews,Germany,25,25,1,25,9,63,0,0
/global/archives/18546,United States,22,26,22,1,21.727272727272727,97,0,0
/global/archives/18659,Malaysia,20,18,7,2.857142857142857,1.7142857142857142,63,0,0
/global/archives/18708,South Korea,20,17,13,1.5384615384615385,8.846153846153847,78,0,0
/global/archives/18546,Australia,17,23,11,1.5454545454545454,73.0909090909091,86,0,0
/global/archives/category/corporates/sk-on,South Korea,16,12,7,2.2857142857142856,20,66,0,0
/global/archives/18283,(not set),15,15,15,1,0,59,0,0
/global/archives/18659,Australia,15,13,12,1.25,44.916666666666664,62,0,0
/global/archives/18690,South Korea,15,13,11,1.3636363636363635,17.90909090909091,59,0,0
/global/archives/category/press-room/press-release,South Korea,13,10,6,2.1666666666666665,8.333333333333334,54,0,0
/global/archives/18608,South Korea,12,10,9,1.3333333333333333,14.666666666666666,50,0,0
/global/archives/4921,United States,12,10,9,1.3333333333333333,141.11111111111111,58,0,0
/global/archives/9910,Malaysia,12,14,12,1,68.75,67,0,0
/global/archives/category/press-room/press-release,United States,12,11,11,1.0909090909090908,8.181818181818182,48,0,0
/global/archives/6216,South Korea,11,15,10,1.1,29.9,55,0,0
/global/archives/category/insight/trend_report,South Korea,11,7,4,2.75,23.75,40,0,0
/global/archives/category/press-room/financial-results,Singapore,11,4,4,2.75,20.5,43,0,0
/global/archives/category/press-room/press-release,India,11,8,4,2.75,24.75,41,0,0
/global/latestnews,South Korea,11,13,4,2.75,9.5,47,0,0
/global/,Japan,10,9,8,1.25,11.25,47,0,0
/global/archives/18546,Poland,10,11,0,0,0,32,0,0
/global/archives/18546,Vietnam,10,14,4,2.5,113,43,0,0
/global/archives/category/press-room/financial-results,Japan,10,3,3,3.3333333333333335,15,39,0,0
/global/latestnews,United States,10,7,6,1.6666666666666667,21.666666666666668,42,0,0
/global/archives/15490,Canada,9,10,7,1.2857142857142858,23.857142857142858,36,0,0
/global/archives/18107,United States,9,11,8,1.125,130.875,47,0,0
/global/archives/category/press-room/financial-results,Taiwan,9,6,3,3,13.666666666666666,37,0,0
/global/archives/category/press-room/press-release,France,9,9,9,1,0.6666666666666666,35,0,0
/global/archives/14565,South Korea,8,7,5,1.6,47.4,34,0,0
/global/archives/15490,India,8,8,4,2,0.25,28,0,0
/global/archives/17426,South Korea,8,6,6,1.3333333333333333,13,33,0,0
/global/archives/18140,(not set),8,8,8,1,0,32,0,0
/global/archives/18374,South Korea,8,8,5,1.6,8.8,29,0,0
/global/archives/18546,France,8,9,7,1.1428571428571428,5.285714285714286,33,0,0
/global/archives/18546,India,8,8,8,1,6.75,32,0,0
/global/archives/18546,Japan,8,10,7,1.1428571428571428,11.142857142857142,37,0,0
/global/archives/18546,Netherlands,8,9,8,1,1,32,0,0
/global/archives/18608,United States,8,7,6,1.3333333333333333,36.666666666666664,31,0,0
/global/archives/category/press-room/financial-results,Germany,8,4,3,2.6666666666666665,65.66666666666667,31,0,0
/global/archives/category/press-room/financial-results,United States,8,6,5,1.6,15.4,32,0,0
/global/archives/category/press-room/press-release,Japan,8,7,3,2.6666666666666665,120.33333333333333,32,0,0
/global/who-we-are,Hong Kong,8,4,3,2.6666666666666665,71.66666666666667,32,0,0
/global/,China,7,8,7,1,5.571428571428571,28,0,0
/global/archives/15490,South Korea,7,5,5,1.4,8.6,30,0,0
/global/archives/17216,United States,7,7,6,1.1666666666666667,87.83333333333333,35,0,0
/global/archives/17623,South Korea,7,7,7,1,16.428571428571427,36,0,0
/global/archives/18140,South Korea,7,10,5,1.4,31.8,24,0,0
/global/archives/18546,Finland,7,8,8,0.875,1.5,29,0,0
/global/archives/18546,Hong Kong,7,8,5,1.4,54.4,33,0,0
/global/archives/18608,Singapore,7,3,1,7,476,25,0,0
/global/archives/18743,United Kingdom,7,8,8,0.875,2,24,0,0
/global/archives/category/corporates/sk-geo-centric,South Korea,7,4,4,1.75,19.5,27,0,0
