# ----------------------------------------
# 보고서 CSV 내보내기
# 계정: skinno global
# 속성: skinno 글로벌 - GA4
# ----------------------------------------
# 
# 모든 사용자
# 시작일: 20240826
# 종료일: 20240901
페이지 경로 및 화면 클래스,국가,조회수,세션수,활성 사용자,활성 사용자당 조회수,활성 사용자당 평균 참여 시간,이벤트 수,주요 이벤트,총 수익
/global/,South Korea,77,58,47,1.6382978723404256,12,318,0,0
/global/latestnews,China,71,80,77,0.922077922077922,21.38961038961039,281,0,0
/global/archives/18770,United States,53,51,45,1.1777777777777778,24.355555555555554,230,0,0
/global/archives/18770,South Korea,44,41,31,1.4193548387096775,14.67741935483871,181,0,0
/global/archives/18546,Singapore,35,38,26,1.3461538461538463,24.46153846153846,159,0,0
/global/archives/18546,South Korea,35,37,23,1.5217391304347827,42.78260869565217,140,0,0
/global/archives/18783,South Korea,28,22,18,1.5555555555555556,4.944444444444445,97,0,0
/global/,United Kingdom,27,27,27,1,0.4444444444444444,107,0,0
/global/archives/18770,Singapore,22,23,21,1.0476190476190477,13.285714285714286,96,0,0
/global/archives/9910,Malaysia,20,21,19,1.0526315789473684,40.26315789473684,90,0,0
/global/,India,19,14,11,1.7272727272727273,25.09090909090909,77,0,0
/global/archives/18743,South Korea,18,19,11,1.6363636363636365,23.636363636363637,69,0,0
/global/archives/18770,India,18,20,12,1.5,22.666666666666668,78,0,0
/global/archives/18659,Malaysia,17,15,4,4.25,0,47,0,0
/global/archives/18107,United States,16,14,12,1.3333333333333333,122.16666666666667,74,0,0
/global/latestnews,Germany,16,16,1,16,10,46,0,0
/global/archives/18608,Singapore,15,8,7,2.142857142857143,98.28571428571429,64,0,0
/global/archives/category/press-room/financial-results,United States,15,6,4,3.75,71,61,0,0
/global/archives/18546,India,14,13,11,1.2727272727272727,55.63636363636363,54,0,0
/global/archives/18546,United States,14,19,13,1.0769230769230769,21.076923076923077,68,0,0
/global/archives/18770,Australia,14,14,10,1.4,19.8,58,0,0
/global/,United States,13,10,9,1.4444444444444444,24.11111111111111,53,0,0
/global/archives/category/press-room/financial-results,India,13,7,4,3.25,36,51,0,0
/global/archives/17569,South Korea,12,11,8,1.5,48.375,49,0,0
/global/archives/18753,Singapore,12,9,8,1.5,38.5,53,0,0
/global/,Japan,11,7,7,1.5714285714285714,19.714285714285715,47,0,0
/global/,Singapore,11,7,7,1.5714285714285714,17.571428571428573,47,0,0
/global/archives/15374,Singapore,11,12,11,1,6.636363636363637,48,0,0
/global/archives/15490,Canada,11,13,8,1.375,25.75,52,0,0
/global/archives/16463,United States,11,12,10,1.1,12.6,47,0,0
/global/archives/17476,South Korea,11,11,8,1.375,22.125,46,0,0
/global/archives/18770,Indonesia,11,10,6,1.8333333333333333,3.6666666666666665,43,0,0
/global/archives/category/press-room/financial-results,Singapore,11,5,4,2.75,26.75,41,0,0
/global/archives/category/press-room/press-release,India,11,12,6,1.8333333333333333,21.166666666666668,43,0,0
/global/archives/17623,South Korea,10,12,10,1,50.3,52,0,0
/global/archives/18770,United Kingdom,10,12,8,1.25,59.75,46,0,0
/global/archives/6216,United States,10,9,9,1.1111111111111112,91.66666666666667,45,0,0
/global/archives/category/people,South Korea,10,7,7,1.4285714285714286,17.285714285714285,43,0,0
/global/archives/tag/sko,South Korea,10,3,3,3.3333333333333335,29.666666666666668,40,0,0
/global/latestnews,South Korea,10,13,7,1.4285714285714286,9.285714285714286,39,0,0
/global/,China,9,8,6,1.5,6.666666666666667,32,0,0
/global/404,South Korea,9,6,3,3,3,37,0,0
/global/archives/11807,Japan,9,7,6,1.5,23.833333333333332,34,0,0
/global/archives/17216,South Korea,9,10,8,1.125,8.5,40,0,0
/global/archives/18546,Japan,9,9,8,1.125,7.875,38,0,0
/global/archives/18753,India,9,10,6,1.5,21.166666666666668,30,0,0
/global/archives/category/press-room/press-release,Japan,9,8,3,3,26,34,0,0
/global/archives/15490,Singapore,8,5,1,8,0,21,0,0
/global/archives/17426,South Korea,8,7,6,1.3333333333333333,31,35,0,0
/global/archives/18753,South Korea,8,8,3,2.6666666666666665,73.33333333333333,30,0,0
/global/archives/4921,United States,8,8,6,1.3333333333333333,15.833333333333334,37,0,0
/global/archives/9951,South Korea,8,6,3,2.6666666666666665,103,31,0,0
/global/archives/category/press-room,Singapore,8,7,3,2.6666666666666665,33.333333333333336,31,0,0
/global/,Germany,7,6,6,1.1666666666666667,10.833333333333334,30,0,0
/global/,Thailand,7,2,2,3.5,126,33,0,0
/global/archives/10774,United States,7,8,7,1,84.71428571428571,36,0,0
