# ----------------------------------------
# 보고서 CSV 내보내기
# 계정: skinno global
# 속성: skinno 글로벌 - GA4
# ----------------------------------------
# 
# 모든 사용자
# 시작일: 20240923
# 종료일: 20240929
페이지 경로 및 화면 클래스,조회수,세션수,활성 사용자,활성 사용자당 조회수,활성 사용자당 평균 참여 시간,이벤트 수,주요 이벤트,총 수익
/global/archives/19078,707,575,443,1.5959367945823928,15.584650112866818,2424,0,0
/global/,228,183,136,1.6764705882352942,17.058823529411764,947,0,0
/global/latestnews,142,159,124,1.1451612903225807,19.556451612903224,541,0,0
/global/archives/19045,80,73,41,1.951219512195122,23.29268292682927,286,0,0
/global/archives/category/press-room/financial-results,74,35,31,2.3870967741935485,33.54838709677419,301,0,0
/global/archives/17426,47,37,34,1.3823529411764706,26.058823529411764,212,0,0
/global/archives/18107,47,44,40,1.175,69.275,216,0,0
/global/archives/18546,44,47,36,1.2222222222222223,55.333333333333336,196,0,0
/global/archives/category/press-room/press-release,43,41,29,1.4827586206896552,11.241379310344827,165,0,0
/global/archives/19128,35,37,22,1.5909090909090908,8.863636363636363,136,0,0
/global/archives/category/corporates/sk-energy,35,23,18,1.9444444444444444,24.27777777777778,131,0,0
/global/archives/category/corporates/sk-on,35,27,27,1.2962962962962963,22.62962962962963,134,0,0
/global/archives/9910,33,40,28,1.1785714285714286,44.107142857142854,161,0,0
/global/archives/18608,32,33,27,1.1851851851851851,39,139,0,0
/global/archives/19108,29,28,22,1.3181818181818181,18.863636363636363,110,0,0
/global/archives/16060,26,25,20,1.3,33.65,107,0,0
/global/archives/3820,26,26,17,1.5294117647058822,58.05882352941177,114,0,0
/global/archives/15374,25,28,18,1.3888888888888888,67,119,0,0
/global/archives/6216,25,30,22,1.1363636363636365,31.545454545454547,122,0,0
/global/archives/category/corporates/sk-innovation,25,21,18,1.3888888888888888,19.77777777777778,92,0,0
/global/archives/category/press-room,24,20,14,1.7142857142857142,24.571428571428573,91,0,0
/global/archives/18445,23,26,19,1.2105263157894737,80.52631578947368,92,0,0
/global/archives/17216,21,20,20,1.05,44,91,0,0
/global/archives/17623,21,21,17,1.2352941176470589,49.64705882352941,99,0,0
/global/archives/17595,19,17,14,1.3571428571428572,40.57142857142857,82,0,0
/global/archives/4612,19,20,13,1.4615384615384615,87.15384615384616,81,0,0
/global/archives/10774,18,19,18,1,14.666666666666666,83,0,0
/global/archives/12950,18,18,13,1.3846153846153846,29.53846153846154,81,0,0
/global/archives/18659,18,20,15,1.2,19.2,73,0,0
/global/archives/category/corporates/sk-enterm,18,10,8,2.25,10.125,72,0,0
/global/archives/category/people/inno-people,18,16,14,1.2857142857142858,13.285714285714286,64,0,0
/global/archives/18770,17,22,15,1.1333333333333333,34.93333333333333,73,0,0
/global/archives/12022,16,19,15,1.0666666666666667,8.4,81,0,0
/global/archives/16463,16,19,15,1.0666666666666667,22.533333333333335,80,0,0
/global/archives/19095,16,18,15,1.0666666666666667,6.666666666666667,65,0,0
/global/archives/15687,15,13,12,1.25,22.583333333333332,66,0,0
/global/archives/17460,15,16,15,1,13.533333333333333,70,0,0
/global/archives/8067,15,10,4,3.75,146,57,0,0
/global/archives/12692,14,13,8,1.75,56.125,61,0,0
/global/archives/14243,14,16,7,2,52.57142857142857,61,0,0
/global/archives/14264,14,9,6,2.3333333333333335,89.16666666666667,56,0,0
/global/archives/category/people,14,12,12,1.1666666666666667,14.083333333333334,50,0,0
/global/archives/10913,13,14,10,1.3,112,56,0,0
/global/archives/12306,13,13,11,1.1818181818181819,40.27272727272727,52,0,0
/global/archives/13521,13,15,12,1.0833333333333333,11.75,59,0,0
/global/archives/16448,13,12,9,1.4444444444444444,10.444444444444445,52,0,0
/global/archives/16834,13,11,9,1.4444444444444444,32.333333333333336,55,0,0
/global/archives/18140,13,14,7,1.8571428571428572,73.71428571428571,47,0,0
/global/archives/18283,13,13,13,1,18.153846153846153,55,0,0
/global/archives/822,13,13,13,1,65.84615384615384,62,0,0
/global/archives/9740,13,9,8,1.625,80.75,61,0,0
/global/archives/11807,12,11,9,1.3333333333333333,35.111111111111114,54,0,0
/global/archives/17499,12,12,10,1.2,139.6,60,0,0
/global/archives/category/corporates,12,10,10,1.2,14.5,48,0,0
/global/archives/10133,11,9,9,1.2222222222222223,16.77777777777778,50,0,0
/global/archives/12106,11,10,10,1.1,16.2,42,0,0
/global/archives/15490,11,12,11,1,83.18181818181819,56,0,0
/global/archives/category/corporates/sk-earthon,11,9,6,1.8333333333333333,23.333333333333332,35,0,0
/global/archives/category/insight,11,9,9,1.2222222222222223,7.111111111111111,41,0,0
/global/archives/tag/vwbe,11,9,9,1.2222222222222223,29.666666666666668,52,0,0
/global/archives/11087,10,9,9,1.1111111111111112,24.333333333333332,48,0,0
/global/archives/13780,10,10,7,1.4285714285714286,62.714285714285715,47,0,0
/global/archives/17356,10,9,9,1.1111111111111112,19,40,0,0
/global/archives/17569,10,11,8,1.25,29.75,48,0,0
/global/archives/17737,10,13,9,1.1111111111111112,51,53,0,0
/global/archives/18388,10,12,9,1.1111111111111112,46.77777777777778,41,0,0
/global/archives/6807,10,8,8,1.25,26.875,46,0,0
/global/archives/9709,10,9,7,1.4285714285714286,34.57142857142857,43,0,0
/global/archives/15985,9,7,5,1.8,15,43,0,0
/global/archives/18022,9,11,6,1.5,4.5,38,0,0
/global/archives/category/corporates/sk-geo-centric,9,7,6,1.5,33.166666666666664,35,0,0
/global/archives/category/corporates/sk-rading-international,9,7,5,1.8,15,32,0,0
/global/archives/category/insight/trend_report,9,10,6,1.5,17.666666666666668,32,0,0
/global/archives/11853,8,7,5,1.6,27.4,33,0,0
/global/archives/14065,8,6,3,2.6666666666666665,7.666666666666667,23,0,0
/global/archives/15664,8,8,8,1,29,37,0,0
/global/archives/16286,8,9,8,1,3.375,34,0,0
/global/archives/18361,8,8,8,1,11.125,33,0,0
/global/archives/18708,8,12,6,1.3333333333333333,90.66666666666667,37,0,0
/global/archives/tag/sinopec-sk-wuhan-petrochemical,8,8,6,1.3333333333333333,11.5,36,0,0
/global/legal-notices,8,7,4,2,145.75,29,0,0
/pagead/aclk,8,6,6,1.3333333333333333,0,27,0,0
/global/archives/14491,7,11,7,1,14.857142857142858,36,0,0
/global/archives/16970,7,6,4,1.75,13.75,29,0,0
/global/archives/17476,7,7,7,1,38.142857142857146,35,0,0
/global/archives/18301,7,7,7,1,30,34,0,0
/global/archives/18374,7,8,7,1,128.85714285714286,26,0,0
