# ----------------------------------------
# 보고서 CSV 내보내기
# 계정: skinno global
# 속성: skinno 글로벌 - GA4
# ----------------------------------------
# 
# 모든 사용자
# 시작일: 20240923
# 종료일: 20240929
국가,조회수,세션수,활성 사용자,새 사용자 수,참여 세션수,참여율,활성 사용자당 참여 세션수,활성 사용자당 평균 참여 시간,이벤트 수,주요 이벤트,총 수익,사용자 키 이벤트 비율
South Korea,569,391,268,227,217,0.5549872122762148,0.8097014925373134,41.35820895522388,2449,0,0,0
United States,452,311,257,239,175,0.5627009646302251,0.6809338521400778,44.81322957198444,1886,0,0,0
United Arab Emirates,392,270,189,177,100,0.37037037037037035,0.5291005291005291,3.740740740740741,1197,0,0,0
India,286,186,130,109,114,0.6129032258064516,0.8769230769230769,42.26923076923077,1161,0,0,0
Germany,250,211,171,164,50,0.23696682464454977,0.29239766081871343,12.953216374269006,960,0,0,0
Singapore,170,115,81,68,58,0.5043478260869565,0.7160493827160493,39.48148148148148,738,0,0,0
China,153,141,131,111,105,0.7446808510638298,0.8015267175572519,27.14503816793893,623,0,0,0
Japan,130,78,57,43,47,0.6025641025641025,0.8245614035087719,72.50877192982456,549,0,0,0
United Kingdom,128,112,77,70,53,0.4732142857142857,0.6883116883116883,26.038961038961038,548,0,0,0
Vietnam,60,46,26,25,23,0.5,0.8846153846153846,22.576923076923077,232,0,0,0
Thailand,58,46,32,31,24,0.5217391304347826,0.75,112.15625,274,0,0,0
France,51,42,30,26,22,0.5238095238095238,0.7333333333333333,121.93333333333334,218,0,0,0
Malaysia,51,42,28,27,22,0.5238095238095238,0.7857142857142857,52.857142857142854,209,0,0,0
Iran,48,45,38,37,28,0.6222222222222222,0.7368421052631579,3.9210526315789473,173,0,0,0
Hong Kong,46,37,30,24,24,0.6486486486486487,0.8,55.1,202,0,0,0
Philippines,46,29,23,21,18,0.6206896551724138,0.782608695652174,55.78260869565217,194,0,0,0
Hungary,42,21,17,15,14,0.6666666666666666,0.8235294117647058,54.705882352941174,162,0,0,0
Indonesia,35,28,20,19,10,0.35714285714285715,0.5,24.65,154,0,0,0
Taiwan,34,24,21,19,15,0.625,0.7142857142857143,74.76190476190476,154,0,0,0
Pakistan,33,26,23,23,16,0.6153846153846154,0.6956521739130435,44.30434782608695,143,0,0,0
Canada,32,33,27,26,23,0.696969696969697,0.8518518518518519,43.629629629629626,162,0,0,0
Spain,31,21,19,17,15,0.7142857142857143,0.7894736842105263,44.73684210526316,139,0,0,0
Sweden,28,15,10,10,10,0.6666666666666666,1,66.8,118,0,0,0
Australia,27,20,16,15,10,0.5,0.625,57.8125,113,0,0,0
Austria,27,14,10,10,7,0.5,0.7,229.9,112,0,0,0
Poland,27,20,11,10,15,0.75,1.3636363636363635,40.36363636363637,99,0,0,0
(not set),22,22,22,22,0,0,0,0,87,0,0,0
Netherlands,19,15,13,12,9,0.6,0.6923076923076923,42.30769230769231,86,0,0,0
Ukraine,14,6,6,6,5,0.8333333333333334,0.8333333333333334,72.33333333333333,61,0,0,0
Ireland,12,11,10,9,8,0.7272727272727273,0.8,31.6,54,0,0,0
Belgium,11,10,8,7,6,0.6,0.75,32.5,51,0,0,0
Kuwait,10,6,5,4,3,0.5,0.6,145.8,42,0,0,0
Portugal,9,6,5,5,5,0.8333333333333334,1,315.4,41,0,0,0
Russia,9,6,3,3,4,0.6666666666666666,1.3333333333333333,88,39,0,0,0
Denmark,8,3,2,2,2,0.6666666666666666,1,57,37,0,0,0
Italy,8,9,6,4,3,0.3333333333333333,0.5,21,39,0,0,0
Switzerland,8,6,5,5,2,0.3333333333333333,0.4,21.2,31,0,0,0
Brazil,7,8,6,6,4,0.5,0.6666666666666666,42.166666666666664,33,0,0,0
Norway,7,8,6,6,5,0.625,0.8333333333333334,15.166666666666666,35,0,0,0
Laos,6,1,1,1,1,1,1,31,30,0,0,0
Türkiye,6,5,5,4,2,0.4,0.4,1.8,22,0,0,0
Bulgaria,4,3,3,3,1,0.3333333333333333,0.3333333333333333,0,15,0,0,0
Chile,4,3,3,3,3,1,1,56.333333333333336,19,0,0,0
Saudi Arabia,4,3,3,3,1,0.3333333333333333,0.3333333333333333,12.666666666666666,18,0,0,0
Argentina,3,3,1,0,1,0.3333333333333333,1,8,10,0,0,0
Bangladesh,3,2,2,2,2,1,1,13,14,0,0,0
Finland,3,3,3,3,0,0,0,3,12,0,0,0
Slovakia,3,3,3,3,3,1,1,23.666666666666668,16,0,0,0
Belarus,2,3,1,1,0,0,0,0,9,0,0,0
Brunei,2,1,1,1,1,1,1,2,8,0,0,0
Cambodia,2,2,2,2,1,0.5,0.5,53,9,0,0,0
Croatia,2,2,2,2,2,1,1,14,10,0,0,0
Estonia,2,2,2,2,1,0.5,0.5,28.5,10,0,0,0
Georgia,2,1,1,1,1,1,1,124,7,0,0,0
Jordan,2,2,1,1,1,0.5,1,1,8,0,0,0
Kazakhstan,2,2,2,2,1,0.5,0.5,19,8,0,0,0
Lebanon,2,2,0,0,1,0.5,0,0,6,0,0,0
Lithuania,2,2,2,2,0,0,0,0,6,0,0,0
Luxembourg,2,1,1,1,1,1,1,15,9,0,0,0
Mexico,2,2,2,2,1,0.5,0.5,12.5,11,0,0,0
New Zealand,2,2,1,1,1,0.5,1,22,8,0,0,0
Nigeria,2,2,2,2,1,0.5,0.5,0,7,0,0,0
Azerbaijan,1,1,1,1,0,0,0,5,5,0,0,0
Colombia,1,1,1,1,1,1,1,116,6,0,0,0
Egypt,1,1,1,1,1,1,1,228,6,0,0,0
Fiji,1,1,1,1,1,1,1,23,5,0,0,0
Iraq,1,2,1,1,0,0,0,0,6,0,0,0
Morocco,1,1,1,1,0,0,0,8,5,0,0,0
Nicaragua,1,1,1,1,1,1,1,37,5,0,0,0
Palestine,1,1,1,1,0,0,0,0,4,0,0,0
Panama,1,1,1,1,1,1,1,153,5,0,0,0
Peru,1,1,1,1,0,0,0,0,4,0,0,0
Serbia,1,1,1,1,1,1,1,16,5,0,0,0
South Africa,1,1,1,1,1,1,1,419,5,0,0,0
Uganda,1,1,1,1,1,1,1,189,6,0,0,0
