"날짜","Tweets published","노출수","참여","참여율","리트윗","답글","마음","사용자 프로필 클릭수","URL 클릭 수","해시태그 클릭수","상세 정보 조회 수 ","고유 주소 클릭 수","앱 열기","앱 설치 수","팔로우","트윗을 이메일로 전송","전화 걸기","미디어 조회수","미디어 참여","노출수 프로모션","참여 프로모션","참여율 프로모션","리트윗 프로모션","답글 프로모션","마음 프로모션","사용자 프로필 클릭수 프로모션","URL 클릭 수 프로모션","해시태그 클릭수 프로모션","상세 정보 조회 수  프로모션","고유 주소 클릭 수 프로모션","앱 열기 프로모션","앱 설치 수 프로모션","팔로우 프로모션","트윗을 이메일로 전송 프로모션","전화 걸기 프로모션","미디어 조회수 프로모션","미디어 참여 프로모션"
"2024-03-07","0","1133","47","0.04148278905560459","1","0","32","1","0","0","4","0","0","0","5","0","0","32","4","382916","1316","0.0034367850912471664","1","0","52","95","0","40","669","0","0","0","0","0","0","459","459"
"2024-03-08","0","1043","92","0.08820709491850431","1","1","69","2","0","0","8","0","0","0","6","0","0","33","5","313895","1112","0.003542585896557766","1","0","74","80","0","33","539","0","0","0","2","0","0","383","383"
"2024-03-09","0","699","44","0.06294706723891273","1","1","28","0","1","0","0","0","0","0","8","0","0","23","5","331222","1041","0.003142907174040372","1","0","46","91","0","30","504","0","0","0","2","0","0","367","367"
"2024-03-10","0","1589","102","0.06419131529263687","5","2","43","2","0","0","28","0","0","0","13","0","0","39","9","343646","1244","0.003620004306757535","2","1","68","109","0","37","619","0","0","0","6","0","0","402","402"
"2024-03-11","0","2986","153","0.05123911587407903","3","1","52","7","3","2","21","0","0","0","12","0","0","153","52","381933","1330","0.0034822861601380346","1","0","58","90","0","47","685","0","0","0","1","0","0","448","448"
"2024-03-12","0","638","60","0.09404388714733543","0","1","30","3","2","0","7","0","0","0","9","0","0","47","8","302860","1043","0.0034438354355147594","0","0","52","58","0","38","583","0","0","0","2","0","0","310","310"
"2024-03-13","0","21702","254","0.011703990415629896","3","3","73","20","2","8","90","0","0","0","19","0","0","68","36","366669","1634","0.0044563352778664135","2","0","108","85","0","35","765","0","0","0","2","0","0","637","637"
"2024-03-14","0","3536","146","0.041289592760180995","0","6","77","6","0","3","10","0","0","0","9","0","0","50","35","418838","1761","0.004204489563984165","0","0","118","103","0","43","815","0","0","0","0","0","0","682","682"
"2024-03-15","0","1153","94","0.08152645273200347","3","0","28","8","0","1","15","0","0","0","7","0","0","59","32","113392","513","0.004524128686327078","0","0","20","42","0","19","247","0","0","0","1","0","0","184","184"
"2024-03-16","0","2072","36","0.017374517374517374","0","0","13","2","0","1","4","0","0","0","6","0","0","18","10","8222","124","0.015081488688883484","0","0","22","10","0","3","46","0","0","0","3","0","0","40","40"
